Serial Number
	1040822
Project ID
	02330001
Location
	Frampton
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		370       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-16,13:00:00,0,526.0990,8.071
2,2016-11-16,13:15:00,0,526.2180,8.070
3,2016-11-16,13:30:00,0,526.3410,8.071
4,2016-11-16,13:45:00,0,526.4030,8.071
5,2016-11-16,14:00:00,0,526.5421,8.070
6,2016-11-16,14:15:00,0,526.6260,8.071
7,2016-11-16,14:30:00,0,526.5360,8.072
8,2016-11-16,14:45:00,0,526.7850,8.071
9,2016-11-16,15:00:00,0,526.8880,8.072
10,2016-11-16,15:15:00,0,527.1541,8.071
11,2016-11-16,15:30:00,0,527.1870,8.072
12,2016-11-16,15:45:00,0,527.3880,8.072
13,2016-11-16,16:00:00,0,527.4230,8.073
14,2016-11-16,16:15:00,0,527.4800,8.072
15,2016-11-16,16:30:00,0,527.6890,8.073
16,2016-11-16,16:45:00,0,527.8620,8.073
17,2016-11-16,17:00:00,0,527.8020,8.073
18,2016-11-16,17:15:00,0,527.8550,8.074
19,2016-11-16,17:30:00,0,527.9460,8.075
20,2016-11-16,17:45:00,0,527.9130,8.074
21,2016-11-16,18:00:00,0,528.1411,8.074
22,2016-11-16,18:15:00,0,528.4010,8.075
23,2016-11-16,18:30:00,0,528.3630,8.074
24,2016-11-16,18:45:00,0,528.5270,8.076
25,2016-11-16,19:00:00,0,528.6980,8.075
26,2016-11-16,19:15:00,0,528.7350,8.075
27,2016-11-16,19:30:00,0,528.8510,8.076
28,2016-11-16,19:45:00,0,529.0020,8.075
29,2016-11-16,20:00:00,0,529.0240,8.076
30,2016-11-16,20:15:00,0,529.1130,8.075
31,2016-11-16,20:30:00,0,529.3430,8.077
32,2016-11-16,20:45:00,0,529.5140,8.075
33,2016-11-16,21:00:00,0,529.6040,8.077
34,2016-11-16,21:15:00,0,529.7310,8.076
35,2016-11-16,21:30:00,0,529.7780,8.077
36,2016-11-16,21:45:00,0,529.8460,8.076
37,2016-11-16,22:00:00,0,529.7800,8.076
38,2016-11-16,22:15:00,0,529.7710,8.075
39,2016-11-16,22:30:00,0,529.9130,8.077
40,2016-11-16,22:45:00,0,530.0650,8.077
41,2016-11-16,23:00:00,0,530.0250,8.076
42,2016-11-16,23:15:00,0,529.9180,8.077
43,2016-11-16,23:30:00,0,530.0660,8.077
44,2016-11-16,23:45:00,0,530.1230,8.076
45,2016-11-17,00:00:00,0,530.1330,8.076
46,2016-11-17,00:15:00,0,530.0790,8.076
47,2016-11-17,00:30:00,0,530.2290,8.076
48,2016-11-17,00:45:00,0,530.2250,8.076
49,2016-11-17,01:00:00,0,530.5090,8.075
50,2016-11-17,01:15:00,0,530.6890,8.076
51,2016-11-17,01:30:00,0,530.7880,8.076
52,2016-11-17,01:45:00,0,530.9960,8.076
53,2016-11-17,02:00:00,0,531.1570,8.076
54,2016-11-17,02:15:00,0,531.1940,8.075
55,2016-11-17,02:30:00,0,531.2330,8.076
56,2016-11-17,02:45:00,0,531.3870,8.076
57,2016-11-17,03:00:00,0,531.4410,8.075
58,2016-11-17,03:15:00,0,531.5630,8.076
59,2016-11-17,03:30:00,0,531.7680,8.076
60,2016-11-17,03:45:00,0,531.9600,8.075
61,2016-11-17,04:00:00,0,532.0450,8.075
62,2016-11-17,04:15:00,0,532.3620,8.075
63,2016-11-17,04:30:00,0,532.3270,8.075
64,2016-11-17,04:45:00,0,532.3521,8.075
65,2016-11-17,05:00:00,0,532.5210,8.075
66,2016-11-17,05:15:00,0,532.7220,8.075
67,2016-11-17,05:30:00,0,533.0630,8.075
68,2016-11-17,05:45:00,0,533.2930,8.076
69,2016-11-17,06:00:00,0,533.4500,8.075
70,2016-11-17,06:15:00,0,533.6970,8.075
71,2016-11-17,06:30:00,0,534.0840,8.076
72,2016-11-17,06:45:00,0,534.3090,8.075
73,2016-11-17,07:00:00,0,534.4050,8.074
74,2016-11-17,07:15:00,0,534.4580,8.075
75,2016-11-17,07:30:00,0,534.6250,8.075
76,2016-11-17,07:45:00,0,534.7030,8.074
