Serial Number
	1040970
Project ID
	02270001-BARO
Location
	Tourville-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		296       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,13:00:00,0,91.8314,5.001
2,2017-04-24,13:15:00,0,91.7231,4.339
3,2017-04-24,13:30:00,0,91.6377,3.880
4,2017-04-24,13:45:00,0,91.5917,3.563
5,2017-04-24,14:00:00,0,91.3846,3.339
6,2017-04-24,14:15:00,0,91.5418,3.183
7,2017-04-24,14:30:00,0,91.6833,3.076
8,2017-04-24,14:45:00,0,91.6700,3.007
9,2017-04-24,15:00:00,0,91.6802,2.964
10,2017-04-24,15:15:00,0,91.5884,2.943
11,2017-04-24,15:30:00,0,91.7434,2.937
12,2017-04-24,15:45:00,0,91.7515,2.941
13,2017-04-24,16:00:00,0,91.8288,2.955
14,2017-04-24,16:15:00,0,91.8100,2.973
15,2017-04-24,16:30:00,0,91.8249,2.997
16,2017-04-24,16:45:00,0,91.7832,3.021
17,2017-04-24,17:00:00,0,91.8046,3.050
18,2017-04-24,17:15:00,0,91.8261,3.081
19,2017-04-24,17:30:00,0,91.8143,3.112
20,2017-04-24,17:45:00,0,91.8148,3.144
21,2017-04-24,18:00:00,0,91.9220,3.176
22,2017-04-24,18:15:00,0,91.9661,3.205
23,2017-04-24,18:30:00,0,92.0143,3.230
24,2017-04-24,18:45:00,0,92.0262,3.253
25,2017-04-24,19:00:00,0,92.0824,3.271
26,2017-04-24,19:15:00,0,92.1071,3.286
27,2017-04-24,19:30:00,0,92.2686,3.293
28,2017-04-24,19:45:00,0,92.3420,3.284
29,2017-04-24,20:00:00,0,92.6516,3.271
30,2017-04-24,20:15:00,0,93.1300,3.234
31,2017-04-24,20:30:00,0,93.5130,3.176
32,2017-04-24,20:45:00,0,93.7683,3.096
33,2017-04-24,21:00:00,0,93.9390,3.001
34,2017-04-24,21:15:00,0,93.9336,2.904
35,2017-04-24,21:30:00,0,94.2071,2.806
36,2017-04-24,21:45:00,0,94.4679,2.707
37,2017-04-24,22:00:00,0,94.4990,2.613
38,2017-04-24,22:15:00,0,94.6379,2.531
39,2017-04-24,22:30:00,0,94.7054,2.453
40,2017-04-24,22:45:00,0,94.8476,2.377
41,2017-04-24,23:00:00,0,94.8213,2.302
42,2017-04-24,23:15:00,0,95.1560,2.227
43,2017-04-24,23:30:00,0,95.0590,2.161
44,2017-04-24,23:45:00,0,95.2821,2.103
45,2017-04-25,00:00:00,0,95.3883,2.052
46,2017-04-25,00:15:00,0,95.5010,1.994
47,2017-04-25,00:30:00,0,95.4548,1.936
48,2017-04-25,00:45:00,0,95.4955,1.880
49,2017-04-25,01:00:00,0,95.5470,1.826
50,2017-04-25,01:15:00,0,95.7922,1.767
51,2017-04-25,01:30:00,0,95.9934,1.712
52,2017-04-25,01:45:00,0,96.1951,1.659
53,2017-04-25,02:00:00,0,96.1468,1.610
54,2017-04-25,02:15:00,0,96.2755,1.561
55,2017-04-25,02:30:00,0,96.6719,1.516
56,2017-04-25,02:45:00,0,96.5121,1.472
57,2017-04-25,03:00:00,0,96.6537,1.425
58,2017-04-25,03:15:00,0,96.7577,1.384
59,2017-04-25,03:30:00,0,96.9138,1.348
60,2017-04-25,03:45:00,0,96.9954,1.314
61,2017-04-25,04:00:00,0,96.9411,1.284
62,2017-04-25,04:15:00,0,97.2239,1.240
63,2017-04-25,04:30:00,0,97.3300,1.200
64,2017-04-25,04:45:00,0,97.3000,1.162
65,2017-04-25,05:00:00,0,97.2721,1.129
66,2017-04-25,05:15:00,0,97.6610,1.096
67,2017-04-25,05:30:00,0,97.7216,1.061
68,2017-04-25,05:45:00,0,97.5993,1.024
69,2017-04-25,06:00:00,0,97.5623,1.001
70,2017-04-25,06:15:00,0,97.7286,1.000
71,2017-04-25,06:30:00,0,98.0161,1.031
72,2017-04-25,06:45:00,0,98.3085,1.105
73,2017-04-25,07:00:00,0,98.4968,1.217
74,2017-04-25,07:15:00,0,98.7971,1.356
75,2017-04-25,07:30:00,0,98.8019,1.519
76,2017-04-25,07:45:00,0,98.8497,1.677
77,2017-04-25,08:00:00,0,98.8283,1.821
78,2017-04-25,08:15:00,0,98.9570,1.946
79,2017-04-25,08:30:00,0,98.8491,2.053
80,2017-04-25,08:45:00,0,98.6362,2.144
81,2017-04-25,09:00:00,0,98.5659,2.228
82,2017-04-25,09:15:00,0,98.3658,2.303
83,2017-04-25,09:30:00,0,98.2634,2.370
84,2017-04-25,09:45:00,0,98.2135,2.432
85,2017-04-25,10:00:00,0,98.1014,2.489
86,2017-04-25,10:15:00,0,98.0874,2.543
87,2017-04-25,10:30:00,0,97.8751,2.594
88,2017-04-25,10:45:00,0,97.8128,2.642
89,2017-04-25,11:00:00,0,97.7661,2.688
90,2017-04-25,11:15:00,0,97.4293,2.733
91,2017-04-25,11:30:00,0,97.1992,2.777
92,2017-04-25,11:45:00,0,96.8360,2.819
93,2017-04-25,12:00:00,0,96.5555,2.862
94,2017-04-25,12:15:00,0,96.4627,2.905
95,2017-04-25,12:30:00,0,96.2840,2.949
96,2017-04-25,12:45:00,0,95.8303,2.992
97,2017-04-25,13:00:00,0,95.6919,3.034
98,2017-04-25,13:15:00,0,95.5025,3.078
99,2017-04-25,13:30:00,0,95.2692,3.121
100,2017-04-25,13:45:00,0,95.0745,3.164
101,2017-04-25,14:00:00,0,94.9602,3.208
102,2017-04-25,14:15:00,0,94.7221,3.254
103,2017-04-25,14:30:00,0,94.6271,3.299
104,2017-04-25,14:45:00,0,94.4346,3.347
105,2017-04-25,15:00:00,0,94.3981,3.394
106,2017-04-25,15:15:00,0,94.1701,3.442
107,2017-04-25,15:30:00,0,94.0387,3.491
108,2017-04-25,15:45:00,0,93.8450,3.538
109,2017-04-25,16:00:00,0,93.6921,3.582
110,2017-04-25,16:15:00,0,93.6005,3.624
111,2017-04-25,16:30:00,0,93.1922,3.664
112,2017-04-25,16:45:00,0,93.1934,3.700
113,2017-04-25,17:00:00,0,92.9938,3.732
114,2017-04-25,17:15:00,0,92.8705,3.762
115,2017-04-25,17:30:00,0,92.6682,3.789
116,2017-04-25,17:45:00,0,92.5588,3.814
117,2017-04-25,18:00:00,0,92.6065,3.839
118,2017-04-25,18:15:00,0,92.6269,3.861
119,2017-04-25,18:30:00,0,92.3083,3.880
120,2017-04-25,18:45:00,0,92.3373,3.897
121,2017-04-25,19:00:00,0,92.2257,3.909
122,2017-04-25,19:15:00,0,92.2675,3.918
123,2017-04-25,19:30:00,0,92.3405,3.924
124,2017-04-25,19:45:00,0,92.2118,3.929
125,2017-04-25,20:00:00,0,92.0191,3.929
126,2017-04-25,20:15:00,0,92.1629,3.927
127,2017-04-25,20:30:00,0,92.1994,3.926
128,2017-04-25,20:45:00,0,92.0111,3.920
129,2017-04-25,21:00:00,0,92.2772,3.914
130,2017-04-25,21:15:00,0,92.1705,3.907
131,2017-04-25,21:30:00,0,92.0342,3.897
132,2017-04-25,21:45:00,0,91.8679,3.888
133,2017-04-25,22:00:00,0,91.7488,3.877
134,2017-04-25,22:15:00,0,91.5858,3.867
135,2017-04-25,22:30:00,0,91.4372,3.857
136,2017-04-25,22:45:00,0,91.2242,3.850
137,2017-04-25,23:00:00,0,91.1378,3.843
138,2017-04-25,23:15:00,0,90.8799,3.838
139,2017-04-25,23:30:00,0,90.6798,3.832
140,2017-04-25,23:45:00,0,90.5859,3.829
141,2017-04-26,00:00:00,0,90.6213,3.826
142,2017-04-26,00:15:00,0,90.3708,3.823
143,2017-04-26,00:30:00,0,90.2518,3.821
144,2017-04-26,00:45:00,0,90.2265,3.819
145,2017-04-26,01:00:00,0,90.2539,3.816
146,2017-04-26,01:15:00,0,89.9309,3.814
147,2017-04-26,01:30:00,0,89.7394,3.810
148,2017-04-26,01:45:00,0,89.5222,3.806
149,2017-04-26,02:00:00,0,89.3565,3.802
150,2017-04-26,02:15:00,0,89.2058,3.797
151,2017-04-26,02:30:00,0,88.9445,3.793
152,2017-04-26,02:45:00,0,88.7535,3.789
153,2017-04-26,03:00:00,0,88.4028,3.785
154,2017-04-26,03:15:00,0,88.1345,3.782
155,2017-04-26,03:30:00,0,87.9795,3.781
156,2017-04-26,03:45:00,0,87.6115,3.781
157,2017-04-26,04:00:00,0,87.4539,3.781
158,2017-04-26,04:15:00,0,87.2849,3.783
159,2017-04-26,04:30:00,0,87.0263,3.785
160,2017-04-26,04:45:00,0,86.8917,3.786
161,2017-04-26,05:00:00,0,86.6885,3.788
162,2017-04-26,05:15:00,0,86.6740,3.789
163,2017-04-26,05:30:00,0,86.5988,3.790
164,2017-04-26,05:45:00,0,86.3875,3.791
165,2017-04-26,06:00:00,0,86.3623,3.792
166,2017-04-26,06:15:00,0,86.3756,3.791
167,2017-04-26,06:30:00,0,86.3901,3.790
168,2017-04-26,06:45:00,0,86.2684,3.790
169,2017-04-26,07:00:00,0,86.1713,3.789
170,2017-04-26,07:15:00,0,86.1702,3.787
171,2017-04-26,07:30:00,0,86.1681,3.785
172,2017-04-26,07:45:00,0,86.1804,3.784
173,2017-04-26,08:00:00,0,86.0592,3.783
174,2017-04-26,08:15:00,0,85.7846,3.781
175,2017-04-26,08:30:00,0,85.4692,3.782
176,2017-04-26,08:45:00,0,85.2074,3.782
177,2017-04-26,09:00:00,0,85.2536,3.784
178,2017-04-26,09:15:00,0,85.1140,3.788
179,2017-04-26,09:30:00,0,85.1328,3.794
180,2017-04-26,09:45:00,0,84.9666,3.800
181,2017-04-26,10:00:00,0,84.8753,3.811
182,2017-04-26,10:15:00,0,84.9296,3.822
183,2017-04-26,10:30:00,0,84.6962,3.833
184,2017-04-26,10:45:00,0,84.6361,3.844
