Serial Number
	1040974
Project ID
	02340004-BARO
Location
	Saint-Théophile-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		314       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-25,14:00:00,0,93.9853,4.776
2,2017-04-25,14:15:00,0,93.8609,3.788
3,2017-04-25,14:30:00,0,93.9521,3.136
4,2017-04-25,14:45:00,0,93.7182,2.697
5,2017-04-25,15:00:00,0,93.6833,2.392
6,2017-04-25,15:15:00,0,93.5454,2.182
7,2017-04-25,15:30:00,0,93.2961,2.035
8,2017-04-25,15:45:00,0,93.3063,1.930
9,2017-04-25,16:00:00,0,93.1990,1.857
10,2017-04-25,16:15:00,0,93.1029,1.806
11,2017-04-25,16:30:00,0,92.9490,1.768
12,2017-04-25,16:45:00,0,92.8229,1.741
13,2017-04-25,17:00:00,0,92.6797,1.721
14,2017-04-25,17:15:00,0,92.5242,1.708
15,2017-04-25,17:30:00,0,92.4207,1.697
16,2017-04-25,17:45:00,0,92.5526,1.690
17,2017-04-25,18:00:00,0,92.7575,1.685
18,2017-04-25,18:15:00,0,92.7768,1.682
19,2017-04-25,18:30:00,0,92.7698,1.680
20,2017-04-25,18:45:00,0,92.6234,1.678
21,2017-04-25,19:00:00,0,92.3949,1.678
22,2017-04-25,19:15:00,0,92.1052,1.676
23,2017-04-25,19:30:00,0,91.8403,1.677
24,2017-04-25,19:45:00,0,91.5570,1.676
25,2017-04-25,20:00:00,0,91.4407,1.676
26,2017-04-25,20:15:00,0,91.3210,1.676
27,2017-04-25,20:30:00,0,91.3510,1.677
28,2017-04-25,20:45:00,0,91.1354,1.677
29,2017-04-25,21:00:00,0,91.1215,1.678
30,2017-04-25,21:15:00,0,91.0035,1.679
31,2017-04-25,21:30:00,0,90.7851,1.681
32,2017-04-25,21:45:00,0,90.6280,1.682
33,2017-04-25,22:00:00,0,90.5529,1.684
34,2017-04-25,22:15:00,0,90.5030,1.685
35,2017-04-25,22:30:00,0,90.3963,1.687
36,2017-04-25,22:45:00,0,90.1415,1.688
37,2017-04-25,23:00:00,0,90.0149,1.691
38,2017-04-25,23:15:00,0,89.7912,1.691
39,2017-04-25,23:30:00,0,89.7558,1.694
40,2017-04-25,23:45:00,0,89.5944,1.694
41,2017-04-26,00:00:00,0,89.5305,1.696
42,2017-04-26,00:15:00,0,89.4055,1.697
43,2017-04-26,00:30:00,0,89.3224,1.700
44,2017-04-26,00:45:00,0,89.1121,1.701
45,2017-04-26,01:00:00,0,88.9324,1.702
46,2017-04-26,01:15:00,0,88.7747,1.704
47,2017-04-26,01:30:00,0,88.5617,1.705
48,2017-04-26,01:45:00,0,88.1251,1.706
49,2017-04-26,02:00:00,0,87.9379,1.709
50,2017-04-26,02:15:00,0,87.7159,1.710
51,2017-04-26,02:30:00,0,87.5443,1.712
52,2017-04-26,02:45:00,0,87.2760,1.713
53,2017-04-26,03:00:00,0,86.9676,1.715
54,2017-04-26,03:15:00,0,86.5846,1.716
55,2017-04-26,03:30:00,0,86.5036,1.717
56,2017-04-26,03:45:00,0,86.2784,1.720
57,2017-04-26,04:00:00,0,86.1378,1.720
58,2017-04-26,04:15:00,0,86.1791,1.723
59,2017-04-26,04:30:00,0,86.0214,1.724
60,2017-04-26,04:45:00,0,85.7800,1.727
61,2017-04-26,05:00:00,0,85.7376,1.727
62,2017-04-26,05:15:00,0,85.6695,1.729
63,2017-04-26,05:30:00,0,85.4094,1.732
64,2017-04-26,05:45:00,0,85.4529,1.733
65,2017-04-26,06:00:00,0,85.3740,1.734
66,2017-04-26,06:15:00,0,85.3509,1.738
67,2017-04-26,06:30:00,0,85.3482,1.739
68,2017-04-26,06:45:00,0,85.3691,1.742
69,2017-04-26,07:00:00,0,85.3337,1.744
70,2017-04-26,07:15:00,0,85.2945,1.747
71,2017-04-26,07:30:00,0,85.3460,1.751
72,2017-04-26,07:45:00,0,85.3397,1.757
73,2017-04-26,08:00:00,0,85.3713,1.765
74,2017-04-26,08:15:00,0,85.1846,1.777
75,2017-04-26,08:30:00,0,84.8966,1.794
76,2017-04-26,08:45:00,0,84.7024,1.819
77,2017-04-26,09:00:00,0,84.6482,1.847
78,2017-04-26,09:15:00,0,84.4294,1.881
79,2017-04-26,09:30:00,0,84.3607,1.917
80,2017-04-26,09:45:00,0,84.3934,1.954
81,2017-04-26,10:00:00,0,84.4776,1.993
82,2017-04-26,10:15:00,0,84.4899,2.029
83,2017-04-26,10:30:00,0,84.3591,2.064
84,2017-04-26,10:45:00,0,84.2829,2.099
85,2017-04-26,11:00:00,0,84.0517,2.133
86,2017-04-26,11:15:00,0,84.0973,2.168
87,2017-04-26,11:30:00,0,84.0635,2.205
88,2017-04-26,11:45:00,0,83.9397,2.243
89,2017-04-26,12:00:00,0,83.6446,2.278
90,2017-04-26,12:15:00,0,83.4584,2.315
91,2017-04-26,12:30:00,0,83.2659,2.355
92,2017-04-26,12:45:00,0,83.1340,2.403
93,2017-04-26,13:00:00,0,82.8083,2.454
94,2017-04-26,13:15:00,0,82.8465,2.507
