Serial Number
	1040985
Project ID
	01370001-BARO
Location
	St-Pamphile-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		371       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-17,13:00:00,0,93.2612,7.337
2,2016-11-17,13:15:00,0,93.3052,6.910
3,2016-11-17,13:30:00,0,93.2704,6.635
4,2016-11-17,13:45:00,0,93.3348,6.458
5,2016-11-17,14:00:00,0,93.6099,6.339
6,2016-11-17,14:15:00,0,93.6496,6.260
7,2016-11-17,14:30:00,0,93.8014,6.210
8,2016-11-17,14:45:00,0,93.8394,6.171
9,2016-11-17,15:00:00,0,93.9038,6.149
10,2016-11-17,15:15:00,0,94.0315,6.132
11,2016-11-17,15:30:00,0,94.4049,6.115
12,2016-11-17,15:45:00,0,94.3195,6.106
13,2016-11-17,16:00:00,0,94.4086,6.093
14,2016-11-17,16:15:00,0,94.8237,6.078
15,2016-11-17,16:30:00,0,95.0254,6.066
16,2016-11-17,16:45:00,0,95.1622,6.050
17,2016-11-17,17:00:00,0,95.2416,6.041
18,2016-11-17,17:15:00,0,95.4149,6.032
19,2016-11-17,17:30:00,0,95.4750,6.022
20,2016-11-17,17:45:00,0,95.6166,6.008
21,2016-11-17,18:00:00,0,95.6584,5.995
22,2016-11-17,18:15:00,0,96.0017,5.982
23,2016-11-17,18:30:00,0,96.0714,5.968
24,2016-11-17,18:45:00,0,96.2737,5.953
25,2016-11-17,19:00:00,0,96.1879,5.918
26,2016-11-17,19:15:00,0,96.3096,5.872
27,2016-11-17,19:30:00,0,96.5339,5.817
28,2016-11-17,19:45:00,0,96.8675,5.781
29,2016-11-17,20:00:00,0,96.9817,5.737
30,2016-11-17,20:15:00,0,97.0310,5.685
31,2016-11-17,20:30:00,0,97.2703,5.651
32,2016-11-17,20:45:00,0,97.5096,5.618
33,2016-11-17,21:00:00,0,97.6318,5.597
34,2016-11-17,21:15:00,0,97.5615,5.597
35,2016-11-17,21:30:00,0,97.7240,5.562
36,2016-11-17,21:45:00,0,97.5825,5.552
37,2016-11-17,22:00:00,0,97.5717,5.535
38,2016-11-17,22:15:00,0,97.4162,5.513
39,2016-11-17,22:30:00,0,97.6275,5.512
40,2016-11-17,22:45:00,0,97.8973,5.478
41,2016-11-17,23:00:00,0,98.1291,5.480
42,2016-11-17,23:15:00,0,97.9494,5.468
43,2016-11-17,23:30:00,0,97.7804,5.448
44,2016-11-17,23:45:00,0,97.6768,5.433
45,2016-11-18,00:00:00,0,97.7450,5.366
46,2016-11-18,00:15:00,0,97.7826,5.267
47,2016-11-18,00:30:00,0,97.8454,5.238
48,2016-11-18,00:45:00,0,97.9118,5.232
49,2016-11-18,01:00:00,0,97.9880,5.240
50,2016-11-18,01:15:00,0,98.3066,5.251
51,2016-11-18,01:30:00,0,98.4884,5.268
52,2016-11-18,01:45:00,0,98.5051,5.245
53,2016-11-18,02:00:00,0,98.3286,5.243
54,2016-11-18,02:15:00,0,98.4311,5.268
55,2016-11-18,02:30:00,0,98.5742,5.268
56,2016-11-18,02:45:00,0,98.4171,5.269
57,2016-11-18,03:00:00,0,98.5442,5.268
58,2016-11-18,03:15:00,0,98.6944,5.255
59,2016-11-18,03:30:00,0,98.7555,5.240
60,2016-11-18,03:45:00,0,98.8129,5.229
61,2016-11-18,04:00:00,0,98.9572,5.205
62,2016-11-18,04:15:00,0,98.9648,5.177
63,2016-11-18,04:30:00,0,98.9385,5.170
64,2016-11-18,04:45:00,0,99.0506,5.172
65,2016-11-18,05:00:00,0,99.1385,5.163
66,2016-11-18,05:15:00,0,99.0517,5.171
67,2016-11-18,05:30:00,0,99.1257,5.162
68,2016-11-18,05:45:00,0,99.1327,5.129
69,2016-11-18,06:00:00,0,99.0292,5.131
70,2016-11-18,06:15:00,0,99.2164,5.109
71,2016-11-18,06:30:00,0,99.5891,5.089
72,2016-11-18,06:45:00,0,99.7565,5.089
73,2016-11-18,07:00:00,0,99.8547,5.117
74,2016-11-18,07:15:00,0,99.7764,5.122
75,2016-11-18,07:30:00,0,99.9384,5.128
76,2016-11-18,07:45:00,0,99.6556,5.140
77,2016-11-18,08:00:00,0,99.9566,5.160
78,2016-11-18,08:15:00,0,100.0470,5.214
79,2016-11-18,08:30:00,0,99.9721,5.266
80,2016-11-18,08:45:00,0,99.9121,5.309
81,2016-11-18,09:00:00,0,100.0990,5.364
82,2016-11-18,09:15:00,0,100.0150,5.424
83,2016-11-18,09:30:00,0,100.0820,5.490
84,2016-11-18,09:45:00,0,100.2700,5.564
85,2016-11-18,10:00:00,0,100.2950,5.625
86,2016-11-18,10:15:00,0,100.0900,5.672
87,2016-11-18,10:30:00,0,100.0200,5.711
88,2016-11-18,10:45:00,0,99.8471,5.750
89,2016-11-18,11:00:00,0,99.7388,5.773
90,2016-11-18,11:15:00,0,99.5473,5.790
91,2016-11-18,11:30:00,0,99.5215,5.811
92,2016-11-18,11:45:00,0,99.3338,5.829
93,2016-11-18,12:00:00,0,99.0555,5.843
94,2016-11-18,12:15:00,0,98.8023,5.858
95,2016-11-18,12:30:00,0,98.7202,5.870
96,2016-11-18,12:45:00,0,98.6870,5.885
97,2016-11-18,13:00:00,0,98.9401,5.896
98,2016-11-18,13:15:00,0,98.8977,5.899
99,2016-11-18,13:30:00,0,98.8098,5.910
100,2016-11-18,13:45:00,0,98.8258,5.922
101,2016-11-18,14:00:00,0,98.6607,5.930
102,2016-11-18,14:15:00,0,98.4665,5.931
103,2016-11-18,14:30:00,0,98.4412,5.936
104,2016-11-18,14:45:00,0,98.4622,5.938
105,2016-11-18,15:00:00,0,98.6108,5.936
106,2016-11-18,15:15:00,0,98.7068,5.932
