Serial Number
	1040985
Project ID
	01370001-BARO
Location
	St-Pamphile-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		371       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,13:30:00,0,101.8400,5.467
2,2017-04-24,13:45:00,0,101.5020,4.398
3,2017-04-24,14:00:00,0,101.1400,3.743
4,2017-04-24,14:15:00,0,101.0100,3.349
5,2017-04-24,14:30:00,0,100.9350,3.113
6,2017-04-24,14:45:00,0,100.9530,2.979
7,2017-04-24,15:00:00,0,100.9920,2.908
8,2017-04-24,15:15:00,0,100.9740,2.860
9,2017-04-24,15:30:00,0,100.9880,2.842
10,2017-04-24,15:45:00,0,101.1140,2.834
11,2017-04-24,16:00:00,0,101.1820,2.825
12,2017-04-24,16:15:00,0,101.2520,2.816
13,2017-04-24,16:30:00,0,101.2470,2.797
14,2017-04-24,16:45:00,0,101.1440,2.776
15,2017-04-24,17:00:00,0,101.2740,2.754
16,2017-04-24,17:15:00,0,101.2780,2.726
17,2017-04-24,17:30:00,0,101.2680,2.694
18,2017-04-24,17:45:00,0,101.2750,2.672
19,2017-04-24,18:00:00,0,101.3440,2.653
20,2017-04-24,18:15:00,0,101.4170,2.621
21,2017-04-24,18:30:00,0,101.4050,2.591
22,2017-04-24,18:45:00,0,101.3980,2.561
23,2017-04-24,19:00:00,0,101.4740,2.525
24,2017-04-24,19:15:00,0,101.5230,2.479
25,2017-04-24,19:30:00,0,101.6960,2.414
26,2017-04-24,19:45:00,0,101.6610,2.288
27,2017-04-24,20:00:00,0,101.8710,2.062
28,2017-04-24,20:15:00,0,102.1130,1.788
29,2017-04-24,20:30:00,0,102.5610,1.495
30,2017-04-24,20:45:00,0,102.6070,1.228
31,2017-04-24,21:00:00,0,102.7940,1.014
32,2017-04-24,21:15:00,0,102.9930,0.813
33,2017-04-24,21:30:00,0,103.0650,0.657
34,2017-04-24,21:45:00,0,103.1260,0.548
35,2017-04-24,22:00:00,0,103.1910,0.431
36,2017-04-24,22:15:00,0,103.1710,0.342
37,2017-04-24,22:30:00,0,103.4130,0.236
38,2017-04-24,22:45:00,0,103.3970,0.150
39,2017-04-24,23:00:00,0,103.2880,0.047
40,2017-04-24,23:15:00,0,103.3010,-0.016
41,2017-04-24,23:30:00,0,103.7480,-0.061
42,2017-04-24,23:45:00,0,103.7410,-0.135
43,2017-04-25,00:00:00,0,103.6740,-0.195
44,2017-04-25,00:15:00,0,103.9160,-0.242
45,2017-04-25,00:30:00,0,103.9930,-0.287
46,2017-04-25,00:45:00,0,103.7010,-0.296
47,2017-04-25,01:00:00,0,103.9500,-0.279
48,2017-04-25,01:15:00,0,104.1100,-0.305
49,2017-04-25,01:30:00,0,104.4250,-0.325
50,2017-04-25,01:45:00,0,104.6320,-0.328
51,2017-04-25,02:00:00,0,104.6530,-0.351
52,2017-04-25,02:15:00,0,104.7920,-0.386
53,2017-04-25,02:30:00,0,105.0650,-0.466
54,2017-04-25,02:45:00,0,105.0830,-0.500
55,2017-04-25,03:00:00,0,105.2320,-0.564
56,2017-04-25,03:15:00,0,105.1000,-0.599
57,2017-04-25,03:30:00,0,105.0140,-0.612
58,2017-04-25,03:45:00,0,105.0530,-0.640
59,2017-04-25,04:00:00,0,105.2110,-0.625
60,2017-04-25,04:15:00,0,105.2930,-0.662
61,2017-04-25,04:30:00,0,105.4950,-0.675
62,2017-04-25,04:45:00,0,105.5590,-0.694
63,2017-04-25,05:00:00,0,105.7180,-0.712
64,2017-04-25,05:15:00,0,105.7210,-0.720
65,2017-04-25,05:30:00,0,106.0040,-0.726
66,2017-04-25,05:45:00,0,105.9900,-0.778
67,2017-04-25,06:00:00,0,106.0120,-0.784
68,2017-04-25,06:15:00,0,106.2760,-0.772
69,2017-04-25,06:30:00,0,106.3920,-0.684
70,2017-04-25,06:45:00,0,106.8580,-0.468
71,2017-04-25,07:00:00,0,107.2160,-0.213
72,2017-04-25,07:15:00,0,107.2870,0.022
73,2017-04-25,07:30:00,0,107.3910,0.410
74,2017-04-25,07:45:00,0,107.6980,0.716
75,2017-04-25,08:00:00,0,107.8440,0.889
76,2017-04-25,08:15:00,0,107.9240,1.021
77,2017-04-25,08:30:00,0,107.7800,1.113
78,2017-04-25,08:45:00,0,107.7180,1.191
79,2017-04-25,09:00:00,0,107.7260,1.282
80,2017-04-25,09:15:00,0,107.5900,1.374
81,2017-04-25,09:30:00,0,107.3940,1.453
82,2017-04-25,09:45:00,0,107.3190,1.522
83,2017-04-25,10:00:00,0,107.2650,1.598
84,2017-04-25,10:15:00,0,107.3630,1.676
85,2017-04-25,10:30:00,0,107.1890,1.760
86,2017-04-25,10:45:00,0,107.0300,1.830
87,2017-04-25,11:00:00,0,106.8810,1.899
88,2017-04-25,11:15:00,0,106.8300,1.969
89,2017-04-25,11:30:00,0,106.5140,2.043
90,2017-04-25,11:45:00,0,106.2510,2.109
91,2017-04-25,12:00:00,0,106.0150,2.179
92,2017-04-25,12:15:00,0,106.0210,2.254
93,2017-04-25,12:30:00,0,105.8170,2.316
94,2017-04-25,12:45:00,0,105.5050,2.373
95,2017-04-25,13:00:00,0,105.3530,2.429
96,2017-04-25,13:15:00,0,105.3130,2.493
97,2017-04-25,13:30:00,0,104.9900,2.547
98,2017-04-25,13:45:00,0,104.9010,2.604
99,2017-04-25,14:00:00,0,104.7820,2.648
100,2017-04-25,14:15:00,0,104.6120,2.691
101,2017-04-25,14:30:00,0,104.5960,2.732
102,2017-04-25,14:45:00,0,104.3860,2.770
103,2017-04-25,15:00:00,0,104.4230,2.819
104,2017-04-25,15:15:00,0,104.1330,2.856
105,2017-04-25,15:30:00,0,104.1550,2.888
106,2017-04-25,15:45:00,0,104.0140,2.913
107,2017-04-25,16:00:00,0,103.8400,2.914
108,2017-04-25,16:15:00,0,103.6860,2.897
109,2017-04-25,16:30:00,0,103.3340,2.882
110,2017-04-25,16:45:00,0,103.1130,2.871
111,2017-04-25,17:00:00,0,103.0070,2.857
112,2017-04-25,17:15:00,0,103.0270,2.851
113,2017-04-25,17:30:00,0,103.0480,2.844
114,2017-04-25,17:45:00,0,102.7750,2.831
115,2017-04-25,18:00:00,0,102.7430,2.813
116,2017-04-25,18:15:00,0,102.9370,2.787
117,2017-04-25,18:30:00,0,102.7480,2.758
118,2017-04-25,18:45:00,0,102.4770,2.723
119,2017-04-25,19:00:00,0,102.4290,2.686
120,2017-04-25,19:15:00,0,102.2650,2.650
121,2017-04-25,19:30:00,0,102.3030,2.617
122,2017-04-25,19:45:00,0,102.2510,2.585
123,2017-04-25,20:00:00,0,102.1140,2.551
124,2017-04-25,20:15:00,0,102.2850,2.521
125,2017-04-25,20:30:00,0,102.2620,2.500
126,2017-04-25,20:45:00,0,102.3240,2.473
127,2017-04-25,21:00:00,0,102.2560,2.449
128,2017-04-25,21:15:00,0,102.2750,2.430
129,2017-04-25,21:30:00,0,102.1430,2.402
130,2017-04-25,21:45:00,0,102.0100,2.384
131,2017-04-25,22:00:00,0,101.7130,2.366
132,2017-04-25,22:15:00,0,101.6030,2.346
133,2017-04-25,22:30:00,0,101.3830,2.335
134,2017-04-25,22:45:00,0,101.2080,2.326
135,2017-04-25,23:00:00,0,101.0500,2.314
136,2017-04-25,23:15:00,0,100.8500,2.307
137,2017-04-25,23:30:00,0,100.6640,2.290
138,2017-04-25,23:45:00,0,100.4090,2.278
139,2017-04-26,00:00:00,0,100.3520,2.274
140,2017-04-26,00:15:00,0,100.1640,2.263
141,2017-04-26,00:30:00,0,99.9556,2.258
142,2017-04-26,00:45:00,0,99.9100,2.253
143,2017-04-26,01:00:00,0,99.8702,2.249
144,2017-04-26,01:15:00,0,99.6723,2.244
145,2017-04-26,01:30:00,0,99.4513,2.237
146,2017-04-26,01:45:00,0,99.1338,2.223
147,2017-04-26,02:00:00,0,99.0984,2.216
148,2017-04-26,02:15:00,0,98.8656,2.212
149,2017-04-26,02:30:00,0,98.6413,2.210
150,2017-04-26,02:45:00,0,98.5002,2.206
151,2017-04-26,03:00:00,0,98.2143,2.198
152,2017-04-26,03:15:00,0,97.9386,2.191
153,2017-04-26,03:30:00,0,97.7369,2.187
154,2017-04-26,03:45:00,0,97.4189,2.177
155,2017-04-26,04:00:00,0,97.3422,2.171
156,2017-04-26,04:15:00,0,97.2177,2.165
157,2017-04-26,04:30:00,0,97.0203,2.166
158,2017-04-26,04:45:00,0,96.8047,2.161
159,2017-04-26,05:00:00,0,96.6508,2.154
160,2017-04-26,05:15:00,0,96.6797,2.155
161,2017-04-26,05:30:00,0,96.5521,2.155
162,2017-04-26,05:45:00,0,96.4581,2.150
163,2017-04-26,06:00:00,0,96.3326,2.157
164,2017-04-26,06:15:00,0,96.3884,2.154
165,2017-04-26,06:30:00,0,96.3155,2.149
166,2017-04-26,06:45:00,0,96.2903,2.145
167,2017-04-26,07:00:00,0,96.1648,2.147
168,2017-04-26,07:15:00,0,96.1750,2.152
169,2017-04-26,07:30:00,0,96.1637,2.164
170,2017-04-26,07:45:00,0,96.1020,2.179
171,2017-04-26,08:00:00,0,95.9561,2.189
172,2017-04-26,08:15:00,0,95.7362,2.203
173,2017-04-26,08:30:00,0,95.5243,2.215
174,2017-04-26,08:45:00,0,95.3322,2.229
175,2017-04-26,09:00:00,0,95.4556,2.239
176,2017-04-26,09:15:00,0,95.3896,2.248
177,2017-04-26,09:30:00,0,95.1864,2.272
178,2017-04-26,09:45:00,0,95.1338,2.287
179,2017-04-26,10:00:00,0,95.1740,2.301
180,2017-04-26,10:15:00,0,94.8607,2.323
181,2017-04-26,10:30:00,0,94.9150,2.342
182,2017-04-26,10:45:00,0,94.7352,2.364
183,2017-04-26,11:00:00,0,94.5819,2.385
184,2017-04-26,11:15:00,0,94.4440,2.407
185,2017-04-26,11:30:00,0,94.2407,2.438
186,2017-04-26,11:45:00,0,94.1887,2.461
187,2017-04-26,12:00:00,0,94.1393,2.495
188,2017-04-26,12:15:00,0,94.0160,2.540
189,2017-04-26,12:30:00,0,94.0594,2.582
190,2017-04-26,12:45:00,0,93.9071,2.613
191,2017-04-26,13:00:00,0,94.0068,2.640
192,2017-04-26,13:15:00,0,94.0771,2.675
193,2017-04-26,13:30:00,0,94.2477,2.710
194,2017-04-26,13:45:00,0,94.1382,2.740
195,2017-04-26,14:00:00,0,94.0605,2.763
196,2017-04-26,14:15:00,0,93.9387,2.791
197,2017-04-26,14:30:00,0,93.9237,2.821
198,2017-04-26,14:45:00,0,94.0444,2.854
199,2017-04-26,15:00:00,0,94.0009,2.884
200,2017-04-26,15:15:00,0,93.8100,2.915
201,2017-04-26,15:30:00,0,93.5938,2.946
202,2017-04-26,15:45:00,0,93.0477,2.982
203,2017-04-26,16:00:00,0,93.2634,3.028
204,2017-04-26,16:15:00,0,93.1609,3.092
205,2017-04-26,16:30:00,0,93.1582,3.166
206,2017-04-26,16:45:00,0,92.9855,3.225
207,2017-04-26,17:00:00,0,92.8648,3.269
208,2017-04-26,17:15:00,0,92.7393,3.303
209,2017-04-26,17:30:00,0,92.8112,3.333
210,2017-04-26,17:45:00,0,92.7876,3.354
211,2017-04-26,18:00:00,0,92.6117,3.368
