Serial Number
	1041147
Project ID
	02340004
Location
	Saint-Théophile
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		314       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-16,13:00:00,0,551.4990,6.418
2,2016-11-16,13:15:00,0,551.6230,6.406
3,2016-11-16,13:30:00,0,551.7321,6.395
4,2016-11-16,13:45:00,0,551.8960,6.393
5,2016-11-16,14:00:00,0,551.9870,6.387
6,2016-11-16,14:15:00,0,552.1190,6.384
7,2016-11-16,14:30:00,0,552.3630,6.384
8,2016-11-16,14:45:00,0,552.4460,6.383
9,2016-11-16,15:00:00,0,552.6151,6.382
10,2016-11-16,15:15:00,0,552.9310,6.383
11,2016-11-16,15:30:00,0,553.0870,6.380
12,2016-11-16,15:45:00,0,553.2590,6.380
13,2016-11-16,16:00:00,0,553.3720,6.378
14,2016-11-16,16:15:00,0,553.6050,6.379
15,2016-11-16,16:30:00,0,553.8210,6.379
16,2016-11-16,16:45:00,0,554.0050,6.381
17,2016-11-16,17:00:00,0,554.1640,6.382
18,2016-11-16,17:15:00,0,554.2940,6.379
19,2016-11-16,17:30:00,0,554.4860,6.379
20,2016-11-16,17:45:00,0,554.9840,6.378
21,2016-11-16,18:00:00,0,555.2310,6.379
22,2016-11-16,18:15:00,0,555.5950,6.382
23,2016-11-16,18:30:00,0,555.9610,6.378
24,2016-11-16,18:45:00,0,556.2370,6.379
25,2016-11-16,19:00:00,0,556.6801,6.381
26,2016-11-16,19:15:00,0,557.0070,6.379
27,2016-11-16,19:30:00,0,557.0790,6.381
28,2016-11-16,19:45:00,0,557.2620,6.378
29,2016-11-16,20:00:00,0,557.5681,6.379
30,2016-11-16,20:15:00,0,557.9771,6.379
31,2016-11-16,20:30:00,0,558.1400,6.381
32,2016-11-16,20:45:00,0,558.1780,6.378
33,2016-11-16,21:00:00,0,558.2780,6.377
34,2016-11-16,21:15:00,0,558.4250,6.380
35,2016-11-16,21:30:00,0,558.5000,6.379
36,2016-11-16,21:45:00,0,558.5270,6.378
37,2016-11-16,22:00:00,0,558.8110,6.379
38,2016-11-16,22:15:00,0,558.9440,6.377
39,2016-11-16,22:30:00,0,559.0060,6.381
40,2016-11-16,22:45:00,0,558.8840,6.378
41,2016-11-16,23:00:00,0,558.9570,6.379
42,2016-11-16,23:15:00,0,559.2321,6.380
43,2016-11-16,23:30:00,0,559.2870,6.378
44,2016-11-16,23:45:00,0,559.2470,6.380
45,2016-11-17,00:00:00,0,559.3070,6.378
46,2016-11-17,00:15:00,0,559.3160,6.378
47,2016-11-17,00:30:00,0,559.5220,6.381
48,2016-11-17,00:45:00,0,559.8040,6.379
49,2016-11-17,01:00:00,0,559.6950,6.379
50,2016-11-17,01:15:00,0,559.9771,6.381
51,2016-11-17,01:30:00,0,560.1220,6.379
52,2016-11-17,01:45:00,0,560.3260,6.381
53,2016-11-17,02:00:00,0,560.5440,6.378
54,2016-11-17,02:15:00,0,560.6780,6.378
55,2016-11-17,02:30:00,0,560.7050,6.378
56,2016-11-17,02:45:00,0,561.0540,6.381
57,2016-11-17,03:00:00,0,561.1590,6.380
58,2016-11-17,03:15:00,0,561.2680,6.378
59,2016-11-17,03:30:00,0,561.4431,6.379
60,2016-11-17,03:45:00,0,561.7061,6.378
61,2016-11-17,04:00:00,0,561.9550,6.379
62,2016-11-17,04:15:00,0,562.1331,6.379
63,2016-11-17,04:30:00,0,562.3980,6.382
64,2016-11-17,04:45:00,0,562.5260,6.379
65,2016-11-17,05:00:00,0,562.7240,6.378
66,2016-11-17,05:15:00,0,562.7850,6.381
67,2016-11-17,05:30:00,0,563.1730,6.379
68,2016-11-17,05:45:00,0,563.5280,6.380
69,2016-11-17,06:00:00,0,563.7830,6.379
70,2016-11-17,06:15:00,0,564.0390,6.381
71,2016-11-17,06:30:00,0,564.1770,6.381
72,2016-11-17,06:45:00,0,564.5490,6.381
73,2016-11-17,07:00:00,0,564.6840,6.381
74,2016-11-17,07:15:00,0,565.0470,6.379
75,2016-11-17,07:30:00,0,565.3701,6.381
76,2016-11-17,07:45:00,0,565.4630,6.381
77,2016-11-17,08:00:00,0,565.6050,6.380
78,2016-11-17,08:15:00,0,565.8920,6.379
79,2016-11-17,08:30:00,0,566.0430,6.382
80,2016-11-17,08:45:00,0,566.1740,6.378
81,2016-11-17,09:00:00,0,566.1770,6.379
82,2016-11-17,09:15:00,0,566.5200,6.381
83,2016-11-17,09:30:00,0,566.7170,6.379
84,2016-11-17,09:45:00,0,567.0040,6.381
85,2016-11-17,10:00:00,0,567.1970,6.379
86,2016-11-17,10:15:00,0,567.3470,6.381
87,2016-11-17,10:30:00,0,567.3740,6.379
88,2016-11-17,10:45:00,0,567.2200,6.379
89,2016-11-17,11:00:00,0,567.2061,6.380
90,2016-11-17,11:15:00,0,567.2460,6.379
91,2016-11-17,11:30:00,0,567.1580,6.382
92,2016-11-17,11:45:00,0,567.1520,6.378
93,2016-11-17,12:00:00,0,567.3410,6.382
94,2016-11-17,12:15:00,0,567.3480,6.378
95,2016-11-17,12:30:00,0,567.3040,6.379
96,2016-11-17,12:45:00,0,567.3220,6.379
97,2016-11-17,13:00:00,0,567.5050,6.379
98,2016-11-17,13:15:00,0,567.5941,6.379
99,2016-11-17,13:30:00,0,567.8230,6.380
100,2016-11-17,13:45:00,0,567.8940,6.379
101,2016-11-17,14:00:00,0,567.9901,6.380
102,2016-11-17,14:15:00,0,568.1400,6.379
103,2016-11-17,14:30:00,0,568.2840,6.380
104,2016-11-17,14:45:00,0,568.4790,6.379
105,2016-11-17,15:00:00,0,568.6110,6.381
106,2016-11-17,15:15:00,0,568.7840,6.381
107,2016-11-17,15:30:00,0,569.0300,6.381
108,2016-11-17,15:45:00,0,568.9620,6.379
109,2016-11-17,16:00:00,0,569.1880,6.381
110,2016-11-17,16:15:00,0,569.3850,6.380
111,2016-11-17,16:30:00,0,569.5860,6.382
112,2016-11-17,16:45:00,0,569.7480,6.380
113,2016-11-17,17:00:00,0,569.9080,6.382
114,2016-11-17,17:15:00,0,570.1660,6.381
115,2016-11-17,17:30:00,0,570.1810,6.380
116,2016-11-17,17:45:00,0,570.3230,6.380
117,2016-11-17,18:00:00,0,570.6030,6.379
118,2016-11-17,18:15:00,0,570.7890,6.382
119,2016-11-17,18:30:00,0,570.9130,6.379
120,2016-11-17,18:45:00,0,570.9330,6.381
121,2016-11-17,19:00:00,0,571.0050,6.379
122,2016-11-17,19:15:00,0,571.1350,6.381
123,2016-11-17,19:30:00,0,571.3410,6.380
124,2016-11-17,19:45:00,0,571.4440,6.379
125,2016-11-17,20:00:00,0,571.5530,6.379
126,2016-11-17,20:15:00,0,571.7370,6.380
127,2016-11-17,20:30:00,0,571.6970,6.381
128,2016-11-17,20:45:00,0,571.5260,6.381
129,2016-11-17,21:00:00,0,571.6500,6.381
130,2016-11-17,21:15:00,0,571.7921,6.381
131,2016-11-17,21:30:00,0,571.9740,6.380
132,2016-11-17,21:45:00,0,571.9270,6.382
133,2016-11-17,22:00:00,0,571.7050,6.381
134,2016-11-17,22:15:00,0,571.7180,6.382
135,2016-11-17,22:30:00,0,571.6060,6.382
136,2016-11-17,22:45:00,0,571.5920,6.382
137,2016-11-17,23:00:00,0,571.5640,6.379
138,2016-11-17,23:15:00,0,571.6510,6.380
139,2016-11-17,23:30:00,0,571.7921,6.381
140,2016-11-17,23:45:00,0,571.5590,6.381
141,2016-11-18,00:00:00,0,571.6801,6.382
142,2016-11-18,00:15:00,0,571.6440,6.382
143,2016-11-18,00:30:00,0,571.6760,6.382
144,2016-11-18,00:45:00,0,571.6270,6.381
145,2016-11-18,01:00:00,0,571.7050,6.379
146,2016-11-18,01:15:00,0,571.7830,6.381
147,2016-11-18,01:30:00,0,571.8720,6.381
148,2016-11-18,01:45:00,0,572.0250,6.382
149,2016-11-18,02:00:00,0,571.8630,6.383
150,2016-11-18,02:15:00,0,571.9490,6.379
151,2016-11-18,02:30:00,0,571.7500,6.379
152,2016-11-18,02:45:00,0,571.8600,6.379
153,2016-11-18,03:00:00,0,571.8160,6.383
154,2016-11-18,03:15:00,0,571.7760,6.382
155,2016-11-18,03:30:00,0,571.8540,6.381
156,2016-11-18,03:45:00,0,572.0720,6.382
157,2016-11-18,04:00:00,0,572.1640,6.381
158,2016-11-18,04:15:00,0,572.2410,6.379
159,2016-11-18,04:30:00,0,572.2590,6.380
160,2016-11-18,04:45:00,0,572.1310,6.380
161,2016-11-18,05:00:00,0,572.4370,6.382
162,2016-11-18,05:15:00,0,572.4010,6.383
163,2016-11-18,05:30:00,0,572.5070,6.380
164,2016-11-18,05:45:00,0,572.6950,6.382
165,2016-11-18,06:00:00,0,572.7610,6.383
166,2016-11-18,06:15:00,0,572.8420,6.382
167,2016-11-18,06:30:00,0,573.0000,6.382
168,2016-11-18,06:45:00,0,573.1201,6.381
169,2016-11-18,07:00:00,0,573.2830,6.381
170,2016-11-18,07:15:00,0,573.3460,6.379
171,2016-11-18,07:30:00,0,573.5031,6.381
172,2016-11-18,07:45:00,0,573.4390,6.380
173,2016-11-18,08:00:00,0,573.5180,6.381
174,2016-11-18,08:15:00,0,573.5310,6.379
175,2016-11-18,08:30:00,0,573.5040,6.381
176,2016-11-18,08:45:00,0,573.5690,6.382
177,2016-11-18,09:00:00,0,573.5811,6.383
178,2016-11-18,09:15:00,0,573.7841,6.379
179,2016-11-18,09:30:00,0,573.9760,6.381
180,2016-11-18,09:45:00,0,573.8620,6.381
181,2016-11-18,10:00:00,0,573.7340,6.382
182,2016-11-18,10:15:00,0,573.7180,6.382
183,2016-11-18,10:30:00,0,573.5520,6.382
184,2016-11-18,10:45:00,0,573.5960,6.381
185,2016-11-18,11:00:00,0,573.4700,6.381
186,2016-11-18,11:15:00,0,573.1790,6.382
187,2016-11-18,11:30:00,0,572.9470,6.381
188,2016-11-18,11:45:00,0,573.0240,6.381
189,2016-11-18,12:00:00,0,572.4800,6.381
190,2016-11-18,12:15:00,0,572.2050,6.382
191,2016-11-18,12:30:00,0,572.2360,6.383
192,2016-11-18,12:45:00,0,572.2480,6.381
193,2016-11-18,13:00:00,0,572.2600,6.380
194,2016-11-18,13:15:00,0,572.2061,6.382
195,2016-11-18,13:30:00,0,571.9771,6.383
196,2016-11-18,13:45:00,0,572.1920,6.381
197,2016-11-18,14:00:00,0,572.0760,6.381
198,2016-11-18,14:15:00,0,571.9570,6.383
199,2016-11-18,14:30:00,0,571.8770,6.382
200,2016-11-18,14:45:00,0,572.0510,6.381
201,2016-11-18,15:00:00,0,571.8940,6.383
202,2016-11-18,15:15:00,0,571.9590,6.381
203,2016-11-18,15:30:00,0,572.0910,6.380
204,2016-11-18,15:45:00,0,571.8490,6.381
205,2016-11-18,16:00:00,0,571.7791,6.381
206,2016-11-18,16:15:00,0,571.8140,6.381
207,2016-11-18,16:30:00,0,571.8701,6.383
208,2016-11-18,16:45:00,0,572.0190,6.382
209,2016-11-18,17:00:00,0,572.1010,6.381
210,2016-11-18,17:15:00,0,572.1950,6.383
211,2016-11-18,17:30:00,0,572.1960,6.383
212,2016-11-18,17:45:00,0,572.1570,6.382
213,2016-11-18,18:00:00,0,571.9720,6.381
214,2016-11-18,18:15:00,0,572.0540,6.381
215,2016-11-18,18:30:00,0,572.0551,6.382
216,2016-11-18,18:45:00,0,572.1541,6.382
217,2016-11-18,19:00:00,0,572.2290,6.382
218,2016-11-18,19:15:00,0,572.1470,6.381
219,2016-11-18,19:30:00,0,572.1750,6.381
220,2016-11-18,19:45:00,0,572.2191,6.382
221,2016-11-18,20:00:00,0,571.9870,6.381
