Serial Number
	1041147
Project ID
	02340004
Location
	Saint-Théophile
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		314       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-25,14:00:00,0,599.7200,6.642
2,2017-04-25,14:15:00,0,599.6970,6.632
3,2017-04-25,14:30:00,0,599.8430,6.625
4,2017-04-25,14:45:00,0,599.6570,6.621
5,2017-04-25,15:00:00,0,599.6960,6.617
6,2017-04-25,15:15:00,0,599.6040,6.615
7,2017-04-25,15:30:00,0,599.4230,6.614
8,2017-04-25,15:45:00,0,599.4420,6.613
9,2017-04-25,16:00:00,0,599.3280,6.612
10,2017-04-25,16:15:00,0,599.2500,6.611
11,2017-04-25,16:30:00,0,599.1671,6.611
12,2017-04-25,16:45:00,0,599.0601,6.611
13,2017-04-25,17:00:00,0,598.9460,6.611
14,2017-04-25,17:15:00,0,598.7940,6.610
15,2017-04-25,17:30:00,0,598.6860,6.611
16,2017-04-25,17:45:00,0,598.8330,6.610
17,2017-04-25,18:00:00,0,599.0090,6.610
18,2017-04-25,18:15:00,0,599.0601,6.610
19,2017-04-25,18:30:00,0,599.0640,6.610
20,2017-04-25,18:45:00,0,598.9440,6.610
21,2017-04-25,19:00:00,0,598.7210,6.610
22,2017-04-25,19:15:00,0,598.4310,6.609
23,2017-04-25,19:30:00,0,598.1870,6.610
24,2017-04-25,19:45:00,0,597.8990,6.609
25,2017-04-25,20:00:00,0,597.7860,6.609
26,2017-04-25,20:15:00,0,597.6500,6.609
27,2017-04-25,20:30:00,0,597.6610,6.609
28,2017-04-25,20:45:00,0,597.4200,6.609
29,2017-04-25,21:00:00,0,597.3950,6.609
30,2017-04-25,21:15:00,0,597.2520,6.609
31,2017-04-25,21:30:00,0,596.9650,6.609
32,2017-04-25,21:45:00,0,596.7770,6.609
33,2017-04-25,22:00:00,0,596.6770,6.608
34,2017-04-25,22:15:00,0,596.6310,6.609
35,2017-04-25,22:30:00,0,596.4750,6.609
36,2017-04-25,22:45:00,0,596.2401,6.610
37,2017-04-25,23:00:00,0,596.0910,6.609
38,2017-04-25,23:15:00,0,595.8530,6.609
39,2017-04-25,23:30:00,0,595.8120,6.608
40,2017-04-25,23:45:00,0,595.6360,6.609
41,2017-04-26,00:00:00,0,595.5900,6.609
42,2017-04-26,00:15:00,0,595.4800,6.608
43,2017-04-26,00:30:00,0,595.4000,6.608
44,2017-04-26,00:45:00,0,595.2280,6.608
45,2017-04-26,01:00:00,0,595.0830,6.609
46,2017-04-26,01:15:00,0,594.9600,6.608
47,2017-04-26,01:30:00,0,594.7640,6.609
48,2017-04-26,01:45:00,0,594.4041,6.609
49,2017-04-26,02:00:00,0,594.2160,6.608
50,2017-04-26,02:15:00,0,594.0460,6.609
51,2017-04-26,02:30:00,0,593.9720,6.608
