Serial Number
	1041166
Project ID
	02340003
Location
	Saint-Zacharie
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		452       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-25,12:00:00,0,579.6560,3.850
2,2017-04-25,12:15:00,0,579.3880,3.915
3,2017-04-25,12:30:00,0,579.2970,3.818
4,2017-04-25,12:45:00,0,579.1720,3.811
5,2017-04-25,13:00:00,0,579.4140,3.782
6,2017-04-25,13:15:00,0,579.4870,3.856
7,2017-04-25,13:30:00,0,579.3860,3.836
8,2017-04-25,13:45:00,0,579.6210,3.786
9,2017-04-25,14:00:00,0,579.9270,3.844
10,2017-04-25,14:15:00,0,580.0930,3.845
11,2017-04-25,14:30:00,0,580.3890,3.895
12,2017-04-25,14:45:00,0,580.7661,3.802
13,2017-04-25,15:00:00,0,581.2910,3.841
14,2017-04-25,15:15:00,0,581.5650,3.828
15,2017-04-25,15:30:00,0,581.7440,3.897
16,2017-04-25,15:45:00,0,582.0860,3.890
17,2017-04-25,16:00:00,0,582.4660,3.892
18,2017-04-25,16:15:00,0,582.5960,3.929
19,2017-04-25,16:30:00,0,582.8160,3.884
20,2017-04-25,16:45:00,0,583.2900,3.859
21,2017-04-25,17:00:00,0,583.6290,3.811
22,2017-04-25,17:15:00,0,583.9470,3.853
23,2017-04-25,17:30:00,0,584.0220,3.833
24,2017-04-25,17:45:00,0,584.2200,3.853
25,2017-04-25,18:00:00,0,584.2910,3.969
26,2017-04-25,18:15:00,0,584.6250,3.938
27,2017-04-25,18:30:00,0,584.6830,3.915
28,2017-04-25,18:45:00,0,584.6050,3.861
29,2017-04-25,19:00:00,0,584.4400,3.834
30,2017-04-25,19:15:00,0,584.3870,3.920
31,2017-04-25,19:30:00,0,584.0081,3.945
32,2017-04-25,19:45:00,0,583.6380,3.905
33,2017-04-25,20:00:00,0,583.4091,3.874
34,2017-04-25,20:15:00,0,583.2240,3.873
35,2017-04-25,20:30:00,0,582.9910,3.871
36,2017-04-25,20:45:00,0,582.5360,3.941
37,2017-04-25,21:00:00,0,582.2160,3.916
38,2017-04-25,21:15:00,0,581.9450,3.959
39,2017-04-25,21:30:00,0,581.5150,3.865
40,2017-04-25,21:45:00,0,581.0421,3.816
41,2017-04-25,22:00:00,0,580.6510,3.835
42,2017-04-25,22:15:00,0,580.2510,3.839
43,2017-04-25,22:30:00,0,579.9340,3.928
44,2017-04-25,22:45:00,0,579.4680,3.849
45,2017-04-25,23:00:00,0,578.9100,3.889
46,2017-04-25,23:15:00,0,578.5551,3.835
47,2017-04-25,23:30:00,0,578.3490,3.794
48,2017-04-25,23:45:00,0,578.1570,3.843
49,2017-04-26,00:00:00,0,578.1160,3.887
50,2017-04-26,00:15:00,0,578.0400,3.848
51,2017-04-26,00:30:00,0,577.8790,3.873
52,2017-04-26,00:45:00,0,577.7841,3.782
53,2017-04-26,01:00:00,0,577.7841,3.844
54,2017-04-26,01:15:00,0,577.7690,3.858
55,2017-04-26,01:30:00,0,577.6700,3.858
56,2017-04-26,01:45:00,0,577.7870,3.817
57,2017-04-26,02:00:00,0,577.8230,3.810
58,2017-04-26,02:15:00,0,577.8391,3.897
59,2017-04-26,02:30:00,0,578.0081,3.899
60,2017-04-26,02:45:00,0,577.9990,3.923
61,2017-04-26,03:00:00,0,578.1080,3.918
62,2017-04-26,03:15:00,0,578.2780,3.970
63,2017-04-26,03:30:00,0,578.4680,3.936
64,2017-04-26,03:45:00,0,578.6240,3.894
65,2017-04-26,04:00:00,0,578.9420,3.907
66,2017-04-26,04:15:00,0,579.1610,3.890
67,2017-04-26,04:30:00,0,579.3810,3.817
68,2017-04-26,04:45:00,0,579.6380,3.841
69,2017-04-26,05:00:00,0,579.7690,3.796
70,2017-04-26,05:15:00,0,579.9110,3.862
71,2017-04-26,05:30:00,0,580.0000,3.821
72,2017-04-26,05:45:00,0,580.1440,3.840
73,2017-04-26,06:00:00,0,580.2410,3.896
74,2017-04-26,06:15:00,0,580.2650,3.941
75,2017-04-26,06:30:00,0,580.1040,3.948
76,2017-04-26,06:45:00,0,580.1420,3.837
77,2017-04-26,07:00:00,0,580.1680,3.858
78,2017-04-26,07:15:00,0,579.9120,3.909
79,2017-04-26,07:30:00,0,579.7271,3.899
80,2017-04-26,07:45:00,0,579.6530,3.854
81,2017-04-26,08:00:00,0,579.2791,3.803
82,2017-04-26,08:15:00,0,578.9380,3.867
83,2017-04-26,08:30:00,0,578.2640,3.795
84,2017-04-26,08:45:00,0,577.6180,3.889
85,2017-04-26,09:00:00,0,577.1140,3.848
86,2017-04-26,09:15:00,0,576.5530,3.897
87,2017-04-26,09:30:00,0,576.0470,3.861
88,2017-04-26,09:45:00,0,575.5860,3.919
89,2017-04-26,10:00:00,0,575.1470,3.968
90,2017-04-26,10:15:00,0,574.7490,3.921
91,2017-04-26,10:30:00,0,574.2310,3.922
92,2017-04-26,10:45:00,0,573.6600,3.831
93,2017-04-26,11:00:00,0,573.1300,3.948
94,2017-04-26,11:15:00,0,572.6610,3.966
95,2017-04-26,11:30:00,0,572.3190,3.976
96,2017-04-26,11:45:00,0,572.1880,3.938
97,2017-04-26,12:00:00,0,571.7170,3.940
98,2017-04-26,12:15:00,0,571.3940,3.910
99,2017-04-26,12:30:00,0,571.1790,3.890
100,2017-04-26,12:45:00,0,571.0260,3.822
101,2017-04-26,13:00:00,0,570.7650,3.819
102,2017-04-26,13:15:00,0,570.6450,3.885
103,2017-04-26,13:30:00,0,570.7360,3.850
104,2017-04-26,13:45:00,0,570.8430,3.850
105,2017-04-26,14:00:00,0,570.9160,3.877
106,2017-04-26,14:15:00,0,571.2610,3.880
107,2017-04-26,14:30:00,0,571.5280,3.855
108,2017-04-26,14:45:00,0,571.6760,3.842
109,2017-04-26,15:00:00,0,571.9301,3.834
110,2017-04-26,15:15:00,0,572.1780,3.831
111,2017-04-26,15:30:00,0,572.6320,3.843
112,2017-04-26,15:45:00,0,572.9600,3.864
113,2017-04-26,16:00:00,0,573.0350,3.901
114,2017-04-26,16:15:00,0,573.3820,3.944
115,2017-04-26,16:30:00,0,573.7540,3.887
116,2017-04-26,16:45:00,0,574.2430,3.824
117,2017-04-26,17:00:00,0,574.4990,3.836
118,2017-04-26,17:15:00,0,574.8380,3.808
119,2017-04-26,17:30:00,0,575.1560,3.822
120,2017-04-26,17:45:00,0,575.3970,3.904
121,2017-04-26,18:00:00,0,575.8840,3.835
122,2017-04-26,18:15:00,0,576.0820,3.934
123,2017-04-26,18:30:00,0,576.1990,3.876
124,2017-04-26,18:45:00,0,576.3430,3.859
125,2017-04-26,19:00:00,0,576.2290,3.827
126,2017-04-26,19:15:00,0,576.3250,3.855
127,2017-04-26,19:30:00,0,576.5700,3.918
128,2017-04-26,19:45:00,0,576.6591,3.965
129,2017-04-26,20:00:00,0,576.5370,4.002
130,2017-04-26,20:15:00,0,576.4700,3.921
131,2017-04-26,20:30:00,0,576.5370,3.885
132,2017-04-26,20:45:00,0,576.3911,3.834
133,2017-04-26,21:00:00,0,576.1331,3.829
134,2017-04-26,21:15:00,0,575.7650,3.806
135,2017-04-26,21:30:00,0,575.8810,3.839
136,2017-04-26,21:45:00,0,575.8540,3.811
137,2017-04-26,22:00:00,0,575.8300,3.822
138,2017-04-26,22:15:00,0,575.4600,3.842
139,2017-04-26,22:30:00,0,575.2750,3.896
140,2017-04-26,22:45:00,0,574.8660,3.858
141,2017-04-26,23:00:00,0,574.4740,3.885
142,2017-04-26,23:15:00,0,574.1890,3.844
143,2017-04-26,23:30:00,0,573.9760,3.862
144,2017-04-26,23:45:00,0,573.8020,3.948
145,2017-04-27,00:00:00,0,573.7401,3.906
146,2017-04-27,00:15:00,0,573.6870,3.846
147,2017-04-27,00:30:00,0,573.4010,3.887
