Serial Number
	1041169
Project ID
	02330002
Location
	Saint-Luc-de-Bellechasse
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		563       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-17,19:00:00,0,535.4630,8.925
2,2016-11-17,19:15:00,0,535.5340,8.925
3,2016-11-17,19:30:00,0,535.5960,8.922
4,2016-11-17,19:45:00,0,535.6660,8.926
5,2016-11-17,20:00:00,0,535.6710,8.921
6,2016-11-17,20:15:00,0,535.7300,8.922
7,2016-11-17,20:30:00,0,535.8420,8.925
8,2016-11-17,20:45:00,0,536.0200,8.919
9,2016-11-17,21:00:00,0,536.0500,8.925
10,2016-11-17,21:15:00,0,536.0020,8.929
11,2016-11-17,21:30:00,0,536.0460,8.924
12,2016-11-17,21:45:00,0,536.1530,8.927
13,2016-11-17,22:00:00,0,536.2061,8.924
14,2016-11-17,22:15:00,0,536.1000,8.927
15,2016-11-17,22:30:00,0,536.1200,8.927
16,2016-11-17,22:45:00,0,535.9880,8.919
17,2016-11-17,23:00:00,0,536.0350,8.921
18,2016-11-17,23:15:00,0,536.0190,8.917
19,2016-11-17,23:30:00,0,536.0891,8.917
20,2016-11-17,23:45:00,0,535.9230,8.917
21,2016-11-18,00:00:00,0,536.1220,8.909
22,2016-11-18,00:15:00,0,536.0830,8.919
23,2016-11-18,00:30:00,0,536.1931,8.919
24,2016-11-18,00:45:00,0,536.2420,8.915
25,2016-11-18,01:00:00,0,536.2090,8.917
26,2016-11-18,01:15:00,0,536.3441,8.913
27,2016-11-18,01:30:00,0,536.3130,8.913
28,2016-11-18,01:45:00,0,536.3521,8.909
29,2016-11-18,02:00:00,0,536.3470,8.914
30,2016-11-18,02:15:00,0,536.2700,8.911
31,2016-11-18,02:30:00,0,536.3690,8.913
32,2016-11-18,02:45:00,0,536.3840,8.910
33,2016-11-18,03:00:00,0,536.2450,8.909
34,2016-11-18,03:15:00,0,536.4660,8.913
35,2016-11-18,03:30:00,0,536.4510,8.908
36,2016-11-18,03:45:00,0,536.4930,8.902
37,2016-11-18,04:00:00,0,536.4740,8.901
38,2016-11-18,04:15:00,0,536.4660,8.903
39,2016-11-18,04:30:00,0,536.5800,8.903
40,2016-11-18,04:45:00,0,536.6340,8.904
41,2016-11-18,05:00:00,0,536.4750,8.912
42,2016-11-18,05:15:00,0,536.4431,8.903
43,2016-11-18,05:30:00,0,536.4060,8.900
44,2016-11-18,05:45:00,0,536.4530,8.902
45,2016-11-18,06:00:00,0,536.5260,8.899
46,2016-11-18,06:15:00,0,536.6411,8.907
47,2016-11-18,06:30:00,0,536.6530,8.906
