Serial Number
	1041169
Project ID
	02330002
Location
	Saint-Luc-de-Bellechasse
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		563       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,17:00:00,0,567.5270,4.829
2,2017-04-24,17:15:00,0,567.4691,4.847
3,2017-04-24,17:30:00,0,567.4620,4.792
4,2017-04-24,17:45:00,0,567.4730,5.007
5,2017-04-24,18:00:00,0,567.3710,4.828
6,2017-04-24,18:15:00,0,567.3181,5.019
7,2017-04-24,18:30:00,0,567.3120,4.797
8,2017-04-24,18:45:00,0,567.0220,4.835
9,2017-04-24,19:00:00,0,566.9660,4.895
10,2017-04-24,19:15:00,0,566.9340,4.798
11,2017-04-24,19:30:00,0,566.8620,4.992
12,2017-04-24,19:45:00,0,566.8200,5.030
13,2017-04-24,20:00:00,0,566.9310,4.941
14,2017-04-24,20:15:00,0,566.9320,4.927
15,2017-04-24,20:30:00,0,566.6560,4.868
16,2017-04-24,20:45:00,0,566.4580,4.917
17,2017-04-24,21:00:00,0,566.2350,4.823
18,2017-04-24,21:15:00,0,565.8590,4.848
19,2017-04-24,21:30:00,0,565.4930,4.963
20,2017-04-24,21:45:00,0,565.4320,4.771
21,2017-04-24,22:00:00,0,565.2271,4.791
22,2017-04-24,22:15:00,0,565.0900,4.768
23,2017-04-24,22:30:00,0,564.6600,4.752
24,2017-04-24,22:45:00,0,564.4930,4.969
25,2017-04-24,23:00:00,0,564.3730,4.923
26,2017-04-24,23:15:00,0,564.0320,4.800
27,2017-04-24,23:30:00,0,564.0280,4.798
28,2017-04-24,23:45:00,0,563.8690,4.859
29,2017-04-25,00:00:00,0,563.9470,4.977
30,2017-04-25,00:15:00,0,564.0551,4.986
31,2017-04-25,00:30:00,0,564.4570,5.000
32,2017-04-25,00:45:00,0,564.2300,4.950
33,2017-04-25,01:00:00,0,564.3480,5.030
34,2017-04-25,01:15:00,0,564.4450,5.003
35,2017-04-25,01:30:00,0,564.5750,5.050
36,2017-04-25,01:45:00,0,564.5500,5.062
37,2017-04-25,02:00:00,0,564.7240,5.018
38,2017-04-25,02:15:00,0,564.6490,4.770
39,2017-04-25,02:30:00,0,564.8760,4.778
40,2017-04-25,02:45:00,0,564.7120,4.730
41,2017-04-25,03:00:00,0,564.7240,4.833
42,2017-04-25,03:15:00,0,564.7321,4.948
43,2017-04-25,03:30:00,0,564.7080,4.852
44,2017-04-25,03:45:00,0,564.6520,4.850
45,2017-04-25,04:00:00,0,564.6760,4.708
46,2017-04-25,04:15:00,0,564.6560,4.812
47,2017-04-25,04:30:00,0,564.7810,4.877
48,2017-04-25,04:45:00,0,564.5920,4.726
49,2017-04-25,05:00:00,0,564.7240,4.842
50,2017-04-25,05:15:00,0,564.8200,4.965
51,2017-04-25,05:30:00,0,564.9390,4.908
52,2017-04-25,05:45:00,0,565.1151,4.951
53,2017-04-25,06:00:00,0,565.2550,4.949
54,2017-04-25,06:15:00,0,565.3750,4.953
55,2017-04-25,06:30:00,0,565.3210,4.782
56,2017-04-25,06:45:00,0,565.4050,4.734
57,2017-04-25,07:00:00,0,565.3920,4.795
58,2017-04-25,07:15:00,0,565.5540,4.969
59,2017-04-25,07:30:00,0,565.5850,4.949
60,2017-04-25,07:45:00,0,565.6820,4.952
61,2017-04-25,08:00:00,0,565.7490,4.969
62,2017-04-25,08:15:00,0,565.7321,4.967
63,2017-04-25,08:30:00,0,565.6300,4.842
64,2017-04-25,08:45:00,0,565.5900,5.023
65,2017-04-25,09:00:00,0,565.3760,4.955
66,2017-04-25,09:15:00,0,565.4380,4.930
67,2017-04-25,09:30:00,0,565.3690,4.793
68,2017-04-25,09:45:00,0,565.3590,4.825
69,2017-04-25,10:00:00,0,565.3590,4.811
70,2017-04-25,10:15:00,0,565.1350,4.727
71,2017-04-25,10:30:00,0,565.0050,4.886
72,2017-04-25,10:45:00,0,564.8730,4.899
73,2017-04-25,11:00:00,0,564.7141,4.856
74,2017-04-25,11:15:00,0,564.5941,4.770
75,2017-04-25,11:30:00,0,564.5180,4.948
76,2017-04-25,11:45:00,0,564.3630,4.786
77,2017-04-25,12:00:00,0,564.3250,4.764
78,2017-04-25,12:15:00,0,564.3410,4.907
79,2017-04-25,12:30:00,0,564.4840,4.811
80,2017-04-25,12:45:00,0,564.7410,4.771
81,2017-04-25,13:00:00,0,565.0260,4.863
82,2017-04-25,13:15:00,0,565.4570,4.914
83,2017-04-25,13:30:00,0,566.0570,4.928
84,2017-04-25,13:45:00,0,566.5790,4.996
85,2017-04-25,14:00:00,0,567.2930,4.839
86,2017-04-25,14:15:00,0,567.5650,4.836
87,2017-04-25,14:30:00,0,568.1090,4.972
88,2017-04-25,14:45:00,0,568.2850,4.793
89,2017-04-25,15:00:00,0,568.5070,4.747
90,2017-04-25,15:15:00,0,568.6461,4.754
91,2017-04-25,15:30:00,0,568.6860,4.953
92,2017-04-25,15:45:00,0,568.6740,4.914
93,2017-04-25,16:00:00,0,568.6860,4.803
94,2017-04-25,16:15:00,0,568.6021,4.887
95,2017-04-25,16:30:00,0,568.5270,4.810
96,2017-04-25,16:45:00,0,568.5880,4.888
97,2017-04-25,17:00:00,0,568.5180,4.786
98,2017-04-25,17:15:00,0,568.4450,4.702
99,2017-04-25,17:30:00,0,568.4200,4.703
100,2017-04-25,17:45:00,0,568.3410,4.803
101,2017-04-25,18:00:00,0,568.3800,4.947
102,2017-04-25,18:15:00,0,568.4200,4.870
103,2017-04-25,18:30:00,0,568.4431,4.771
104,2017-04-25,18:45:00,0,568.3640,4.909
105,2017-04-25,19:00:00,0,568.3620,4.911
106,2017-04-25,19:15:00,0,568.3450,4.825
107,2017-04-25,19:30:00,0,568.3150,4.835
108,2017-04-25,19:45:00,0,568.4510,4.956
109,2017-04-25,20:00:00,0,568.3701,4.893
110,2017-04-25,20:15:00,0,568.3831,4.840
111,2017-04-25,20:30:00,0,568.3521,4.800
112,2017-04-25,20:45:00,0,568.4980,4.985
113,2017-04-25,21:00:00,0,568.5690,5.044
114,2017-04-25,21:15:00,0,568.4680,4.823
115,2017-04-25,21:30:00,0,568.4930,4.981
116,2017-04-25,21:45:00,0,568.4180,4.880
117,2017-04-25,22:00:00,0,568.4041,4.834
118,2017-04-25,22:15:00,0,568.1520,4.958
119,2017-04-25,22:30:00,0,568.0600,4.958
120,2017-04-25,22:45:00,0,567.8781,4.978
121,2017-04-25,23:00:00,0,567.8660,4.985
122,2017-04-25,23:15:00,0,567.7120,4.817
123,2017-04-25,23:30:00,0,567.5390,4.718
124,2017-04-25,23:45:00,0,567.3160,4.813
125,2017-04-26,00:00:00,0,567.1380,4.756
126,2017-04-26,00:15:00,0,566.9440,4.756
127,2017-04-26,00:30:00,0,566.8290,4.935
128,2017-04-26,00:45:00,0,566.6060,4.754
129,2017-04-26,01:00:00,0,566.3980,4.849
130,2017-04-26,01:15:00,0,566.2390,4.948
131,2017-04-26,01:30:00,0,566.0700,4.898
132,2017-04-26,01:45:00,0,565.8890,4.868
133,2017-04-26,02:00:00,0,565.7130,4.970
134,2017-04-26,02:15:00,0,565.5460,4.904
135,2017-04-26,02:30:00,0,565.3170,4.865
136,2017-04-26,02:45:00,0,564.9960,4.892
137,2017-04-26,03:00:00,0,564.8060,4.904
138,2017-04-26,03:15:00,0,564.5230,4.707
139,2017-04-26,03:30:00,0,564.3660,4.894
140,2017-04-26,03:45:00,0,564.1080,4.837
141,2017-04-26,04:00:00,0,563.9320,4.749
142,2017-04-26,04:15:00,0,563.6480,4.844
143,2017-04-26,04:30:00,0,563.6630,5.011
144,2017-04-26,04:45:00,0,563.5750,4.998
145,2017-04-26,05:00:00,0,563.5380,4.996
