Serial Number
	1041173
Project ID
	02340001
Location
	St-Agapit
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		125       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-28,15:00:00,0,536.1151,5.777
2,2017-04-28,15:15:00,0,536.0080,5.723
3,2017-04-28,15:30:00,0,535.8900,5.688
4,2017-04-28,15:45:00,0,535.7340,5.657
5,2017-04-28,16:00:00,0,535.5750,5.609
6,2017-04-28,16:15:00,0,535.4691,5.588
7,2017-04-28,16:30:00,0,535.3890,5.580
8,2017-04-28,16:45:00,0,535.6170,5.569
9,2017-04-28,17:00:00,0,535.5891,5.572
10,2017-04-28,17:15:00,0,535.8391,5.576
11,2017-04-28,17:30:00,0,535.8410,5.585
12,2017-04-28,17:45:00,0,535.7900,5.577
13,2017-04-28,18:00:00,0,535.8230,5.574
14,2017-04-28,18:15:00,0,535.6790,5.577
15,2017-04-28,18:30:00,0,535.6021,5.575
16,2017-04-28,18:45:00,0,535.7170,5.577
17,2017-04-28,19:00:00,0,535.6790,5.581
18,2017-04-28,19:15:00,0,535.6700,5.586
19,2017-04-28,19:30:00,0,535.5190,5.589
20,2017-04-28,19:45:00,0,535.8110,5.601
21,2017-04-28,20:00:00,0,535.9590,5.606
22,2017-04-28,20:15:00,0,536.0310,5.608
23,2017-04-28,20:30:00,0,536.1880,5.609
24,2017-04-28,20:45:00,0,536.2210,5.616
25,2017-04-28,21:00:00,0,536.1640,5.619
26,2017-04-28,21:15:00,0,536.3040,5.610
27,2017-04-28,21:30:00,0,536.5130,5.604
28,2017-04-28,21:45:00,0,536.4130,5.613
29,2017-04-28,22:00:00,0,536.3521,5.617
30,2017-04-28,22:15:00,0,536.4160,5.621
31,2017-04-28,22:30:00,0,536.4530,5.623
32,2017-04-28,22:45:00,0,536.3680,5.626
33,2017-04-28,23:00:00,0,536.3810,5.628
34,2017-04-28,23:15:00,0,536.3500,5.632
35,2017-04-28,23:30:00,0,536.3290,5.632
36,2017-04-28,23:45:00,0,536.4740,5.635
37,2017-04-29,00:00:00,0,536.3660,5.646
38,2017-04-29,00:15:00,0,536.4431,5.658
39,2017-04-29,00:30:00,0,536.5540,5.666
40,2017-04-29,00:45:00,0,536.4220,5.664
41,2017-04-29,01:00:00,0,536.4400,5.671
42,2017-04-29,01:15:00,0,536.3240,5.674
43,2017-04-29,01:30:00,0,536.2840,5.683
44,2017-04-29,01:45:00,0,536.3030,5.682
45,2017-04-29,02:00:00,0,536.3260,5.679
46,2017-04-29,02:15:00,0,535.9400,5.684
47,2017-04-29,02:30:00,0,535.8651,5.682
48,2017-04-29,02:45:00,0,535.7340,5.678
49,2017-04-29,03:00:00,0,535.6250,5.676
