Serial Number
	1041182
Project ID
	02400001
Location
	St-Jacques-de-Leeds
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		236       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-18,13:00:00,0,497.7590,7.040
2,2016-11-18,13:15:00,0,497.5420,7.039
3,2016-11-18,13:30:00,0,497.0690,7.040
4,2016-11-18,13:45:00,0,497.0250,7.039
5,2016-11-18,14:00:00,0,497.0780,7.040
6,2016-11-18,14:15:00,0,497.1820,7.039
7,2016-11-18,14:30:00,0,497.2700,7.041
8,2016-11-18,14:45:00,0,497.3140,7.039
9,2016-11-18,15:00:00,0,497.5250,7.039
10,2016-11-18,15:15:00,0,497.8390,7.041
11,2016-11-18,15:30:00,0,498.0560,7.041
12,2016-11-18,15:45:00,0,498.2160,7.041
13,2016-11-18,16:00:00,0,498.3180,7.040
14,2016-11-18,16:15:00,0,498.0900,7.041
15,2016-11-18,16:30:00,0,498.1260,7.041
16,2016-11-18,16:45:00,0,498.1250,7.040
17,2016-11-18,17:00:00,0,498.2930,7.042
18,2016-11-18,17:15:00,0,498.2850,7.041
19,2016-11-18,17:30:00,0,498.0500,7.041
20,2016-11-18,17:45:00,0,498.1160,7.042
21,2016-11-18,18:00:00,0,497.9010,7.041
22,2016-11-18,18:15:00,0,497.8540,7.042
23,2016-11-18,18:30:00,0,497.8050,7.043
24,2016-11-18,18:45:00,0,497.9690,7.042
25,2016-11-18,19:00:00,0,497.9700,7.042
26,2016-11-18,19:15:00,0,497.9210,7.042
27,2016-11-18,19:30:00,0,498.2150,7.043
28,2016-11-18,19:45:00,0,498.2660,7.043
29,2016-11-18,20:00:00,0,498.2440,7.043
30,2016-11-18,20:15:00,0,498.3880,7.043
31,2016-11-18,20:30:00,0,498.2320,7.043
32,2016-11-18,20:45:00,0,498.3500,7.043
33,2016-11-18,21:00:00,0,498.4010,7.043
34,2016-11-18,21:15:00,0,498.3620,7.043
35,2016-11-18,21:30:00,0,498.0130,7.044
36,2016-11-18,21:45:00,0,497.7540,7.044
37,2016-11-18,22:00:00,0,497.8000,7.044
38,2016-11-18,22:15:00,0,497.8330,7.044
39,2016-11-18,22:30:00,0,497.9480,7.045
40,2016-11-18,22:45:00,0,498.0260,7.045
41,2016-11-18,23:00:00,0,497.9850,7.046
42,2016-11-18,23:15:00,0,498.0660,7.045
43,2016-11-18,23:30:00,0,497.9440,7.045
44,2016-11-18,23:45:00,0,497.9300,7.045
45,2016-11-19,00:00:00,0,497.8770,7.045
46,2016-11-19,00:15:00,0,497.8000,7.046
47,2016-11-19,00:30:00,0,497.8460,7.046
48,2016-11-19,00:45:00,0,497.6000,7.045
49,2016-11-19,01:00:00,0,497.5800,7.046
50,2016-11-19,01:15:00,0,497.7970,7.046
51,2016-11-19,01:30:00,0,497.9380,7.045
52,2016-11-19,01:45:00,0,498.0990,7.047
53,2016-11-19,02:00:00,0,498.2460,7.047
54,2016-11-19,02:15:00,0,498.2680,7.047
55,2016-11-19,02:30:00,0,498.1160,7.047
56,2016-11-19,02:45:00,0,497.9400,7.047
57,2016-11-19,03:00:00,0,497.7770,7.047
58,2016-11-19,03:15:00,0,497.5440,7.047
59,2016-11-19,03:30:00,0,497.4250,7.047
60,2016-11-19,03:45:00,0,497.5050,7.048
61,2016-11-19,04:00:00,0,497.5440,7.047
62,2016-11-19,04:15:00,0,497.6310,7.048
63,2016-11-19,04:30:00,0,497.6890,7.048
64,2016-11-19,04:45:00,0,497.5330,7.047
65,2016-11-19,05:00:00,0,497.5350,7.047
66,2016-11-19,05:15:00,0,497.6000,7.048
67,2016-11-19,05:30:00,0,497.7870,7.048
68,2016-11-19,05:45:00,0,497.7310,7.048
69,2016-11-19,06:00:00,0,497.6140,7.048
70,2016-11-19,06:15:00,0,497.5870,7.049
71,2016-11-19,06:30:00,0,497.6230,7.050
72,2016-11-19,06:45:00,0,497.3030,7.049
73,2016-11-19,07:00:00,0,497.1760,7.049
74,2016-11-19,07:15:00,0,497.1580,7.050
75,2016-11-19,07:30:00,0,497.0330,7.050
76,2016-11-19,07:45:00,0,496.9470,7.050
77,2016-11-19,08:00:00,0,496.9610,7.050
78,2016-11-19,08:15:00,0,496.9920,7.050
79,2016-11-19,08:30:00,0,497.1610,7.050
80,2016-11-19,08:45:00,0,497.0620,7.051
81,2016-11-19,09:00:00,0,497.0550,7.050
82,2016-11-19,09:15:00,0,496.9240,7.050
83,2016-11-19,09:30:00,0,496.6810,7.050
84,2016-11-19,09:45:00,0,496.4540,7.051
85,2016-11-19,10:00:00,0,496.1320,7.051
86,2016-11-19,10:15:00,0,495.6700,7.052
87,2016-11-19,10:30:00,0,495.3440,7.052
88,2016-11-19,10:45:00,0,495.1020,7.052
89,2016-11-19,11:00:00,0,495.1210,7.052
90,2016-11-19,11:15:00,0,494.9350,7.052
91,2016-11-19,11:30:00,0,494.8370,7.052
92,2016-11-19,11:45:00,0,494.6420,7.052
93,2016-11-19,12:00:00,0,494.4830,7.052
94,2016-11-19,12:15:00,0,494.3000,7.051
95,2016-11-19,12:30:00,0,494.3690,7.053
96,2016-11-19,12:45:00,0,494.1400,7.052
97,2016-11-19,13:00:00,0,494.1270,7.052
98,2016-11-19,13:15:00,0,494.0720,7.053
99,2016-11-19,13:30:00,0,493.9650,7.053
100,2016-11-19,13:45:00,0,493.7290,7.053
101,2016-11-19,14:00:00,0,493.3490,7.054
102,2016-11-19,14:15:00,0,492.9780,7.054
103,2016-11-19,14:30:00,0,492.9410,7.054
104,2016-11-19,14:45:00,0,492.8530,7.055
105,2016-11-19,15:00:00,0,492.8200,7.054
106,2016-11-19,15:15:00,0,492.8730,7.055
107,2016-11-19,15:30:00,0,493.0810,7.055
108,2016-11-19,15:45:00,0,492.9830,7.055
109,2016-11-19,16:00:00,0,492.8640,7.055
110,2016-11-19,16:15:00,0,492.7850,7.056
111,2016-11-19,16:30:00,0,492.8190,7.056
112,2016-11-19,16:45:00,0,492.7710,7.056
113,2016-11-19,17:00:00,0,492.7680,7.056
114,2016-11-19,17:15:00,0,492.5070,7.056
115,2016-11-19,17:30:00,0,492.3330,7.056
116,2016-11-19,17:45:00,0,492.1650,7.056
117,2016-11-19,18:00:00,0,491.7510,7.057
118,2016-11-19,18:15:00,0,491.4750,7.057
119,2016-11-19,18:30:00,0,491.4520,7.057
120,2016-11-19,18:45:00,0,491.5800,7.057
121,2016-11-19,19:00:00,0,491.6660,7.058
122,2016-11-19,19:15:00,0,491.5560,7.058
123,2016-11-19,19:30:00,0,491.6080,7.057
124,2016-11-19,19:45:00,0,491.3960,7.058
125,2016-11-19,20:00:00,0,491.3320,7.058
126,2016-11-19,20:15:00,0,491.1220,7.058
127,2016-11-19,20:30:00,0,490.8700,7.058
128,2016-11-19,20:45:00,0,490.6220,7.059
129,2016-11-19,21:00:00,0,490.5330,7.058
130,2016-11-19,21:15:00,0,490.2760,7.058
131,2016-11-19,21:30:00,0,489.9190,7.058
132,2016-11-19,21:45:00,0,489.5230,7.059
133,2016-11-19,22:00:00,0,489.1840,7.059
134,2016-11-19,22:15:00,0,488.8790,7.059
135,2016-11-19,22:30:00,0,488.6780,7.059
136,2016-11-19,22:45:00,0,488.9800,7.060
137,2016-11-19,23:00:00,0,489.5040,7.060
138,2016-11-19,23:15:00,0,489.7930,7.059
139,2016-11-19,23:30:00,0,489.0820,7.060
140,2016-11-19,23:45:00,0,488.8020,7.060
141,2016-11-20,00:00:00,0,488.6330,7.061
142,2016-11-20,00:15:00,0,488.2680,7.061
143,2016-11-20,00:30:00,0,488.1980,7.060
144,2016-11-20,00:45:00,0,487.9460,7.061
145,2016-11-20,01:00:00,0,487.7650,7.061
146,2016-11-20,01:15:00,0,487.7500,7.061
147,2016-11-20,01:30:00,0,487.6530,7.061
148,2016-11-20,01:45:00,0,487.6250,7.061
149,2016-11-20,02:00:00,0,487.5640,7.061
150,2016-11-20,02:15:00,0,487.3270,7.062
151,2016-11-20,02:30:00,0,487.1610,7.062
152,2016-11-20,02:45:00,0,487.1070,7.062
153,2016-11-20,03:00:00,0,486.9720,7.062
154,2016-11-20,03:15:00,0,486.9400,7.062
155,2016-11-20,03:30:00,0,486.5490,7.063
156,2016-11-20,03:45:00,0,486.2970,7.062
157,2016-11-20,04:00:00,0,486.1980,7.062
158,2016-11-20,04:15:00,0,486.0750,7.062
159,2016-11-20,04:30:00,0,485.9630,7.063
160,2016-11-20,04:45:00,0,485.8340,7.063
161,2016-11-20,05:00:00,0,485.5040,7.063
162,2016-11-20,05:15:00,0,485.3700,7.063
163,2016-11-20,05:30:00,0,485.2580,7.063
164,2016-11-20,05:45:00,0,485.0230,7.063
165,2016-11-20,06:00:00,0,484.8530,7.063
166,2016-11-20,06:15:00,0,484.7880,7.063
167,2016-11-20,06:30:00,0,484.5920,7.064
168,2016-11-20,06:45:00,0,484.3120,7.065
169,2016-11-20,07:00:00,0,483.9460,7.065
170,2016-11-20,07:15:00,0,484.0530,7.065
171,2016-11-20,07:30:00,0,483.9640,7.064
172,2016-11-20,07:45:00,0,483.8040,7.064
173,2016-11-20,08:00:00,0,483.5720,7.064
174,2016-11-20,08:15:00,0,483.5570,7.065
175,2016-11-20,08:30:00,0,483.2790,7.065
176,2016-11-20,08:45:00,0,482.9780,7.065
