Serial Number
	1041182
Project ID
	02400001
Location
	St-Jacques-de-Leeds
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		236       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-28,14:00:00,0,553.0880,6.217
2,2017-04-28,14:15:00,0,552.8940,6.208
3,2017-04-28,14:30:00,0,552.8860,6.200
4,2017-04-28,14:45:00,0,552.7260,6.173
5,2017-04-28,15:00:00,0,552.5800,6.167
6,2017-04-28,15:15:00,0,552.5900,6.162
7,2017-04-28,15:30:00,0,552.6281,6.155
8,2017-04-28,15:45:00,0,552.6550,6.141
9,2017-04-28,16:00:00,0,552.6610,6.132
10,2017-04-28,16:15:00,0,552.7271,6.129
11,2017-04-28,16:30:00,0,552.8880,6.124
12,2017-04-28,16:45:00,0,553.1300,6.124
13,2017-04-28,17:00:00,0,553.1300,6.128
14,2017-04-28,17:15:00,0,553.1640,6.131
15,2017-04-28,17:30:00,0,552.8730,6.136
16,2017-04-28,17:45:00,0,552.6100,6.133
17,2017-04-28,18:00:00,0,552.6760,6.135
18,2017-04-28,18:15:00,0,552.5920,6.135
19,2017-04-28,18:30:00,0,552.8250,6.135
20,2017-04-28,18:45:00,0,553.0320,6.135
21,2017-04-28,19:00:00,0,552.9980,6.138
22,2017-04-28,19:15:00,0,553.0530,6.143
23,2017-04-28,19:30:00,0,552.9970,6.144
24,2017-04-28,19:45:00,0,553.0770,6.144
25,2017-04-28,20:00:00,0,553.2010,6.143
26,2017-04-28,20:15:00,0,553.3911,6.140
27,2017-04-28,20:30:00,0,553.2730,6.139
28,2017-04-28,20:45:00,0,553.1300,6.139
29,2017-04-28,21:00:00,0,553.0570,6.140
30,2017-04-28,21:15:00,0,552.9670,6.139
31,2017-04-28,21:30:00,0,552.9280,6.140
32,2017-04-28,21:45:00,0,552.9700,6.141
33,2017-04-28,22:00:00,0,552.9870,6.142
34,2017-04-28,22:15:00,0,553.1140,6.145
35,2017-04-28,22:30:00,0,553.0421,6.143
36,2017-04-28,22:45:00,0,553.0161,6.143
37,2017-04-28,23:00:00,0,553.0470,6.145
38,2017-04-28,23:15:00,0,553.1690,6.143
39,2017-04-28,23:30:00,0,553.1440,6.142
40,2017-04-28,23:45:00,0,553.1620,6.139
41,2017-04-29,00:00:00,0,553.0570,6.139
42,2017-04-29,00:15:00,0,553.1331,6.142
43,2017-04-29,00:30:00,0,553.1510,6.141
44,2017-04-29,00:45:00,0,552.9160,6.142
45,2017-04-29,01:00:00,0,552.7730,6.144
46,2017-04-29,01:15:00,0,552.2870,6.144
47,2017-04-29,01:30:00,0,552.3190,6.145
48,2017-04-29,01:45:00,0,552.2910,6.145
49,2017-04-29,02:00:00,0,552.2600,6.144
50,2017-04-29,02:15:00,0,552.1750,6.145
