Serial Number
	1041389
Project ID
	02300001-BARO
Location
	Saint-Charles-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		74        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,09:00:00,0,94.7726,9.460
2,2017-04-24,09:15:00,0,94.8359,7.301
3,2017-04-24,09:30:00,0,94.8289,6.010
4,2017-04-24,09:45:00,0,95.0505,5.223
5,2017-04-24,10:00:00,0,95.2365,4.722
6,2017-04-24,10:15:00,0,95.2929,4.396
7,2017-04-24,10:30:00,0,95.3884,4.194
8,2017-04-24,10:45:00,0,95.3632,4.089
9,2017-04-24,11:00:00,0,95.3277,4.057
10,2017-04-24,11:15:00,0,95.2467,4.072
11,2017-04-24,11:30:00,0,95.2510,4.120
12,2017-04-24,11:45:00,0,95.1760,4.198
13,2017-04-24,12:00:00,0,95.0162,4.301
14,2017-04-24,12:15:00,0,94.9743,4.419
15,2017-04-24,12:30:00,0,94.8380,4.539
16,2017-04-24,12:45:00,0,94.7860,4.660
17,2017-04-24,13:00:00,0,94.7527,4.784
18,2017-04-24,13:15:00,0,94.7425,4.906
19,2017-04-24,13:30:00,0,94.4781,5.018
20,2017-04-24,13:45:00,0,94.3434,5.122
21,2017-04-24,14:00:00,0,94.3129,5.217
22,2017-04-24,14:15:00,0,94.4486,5.312
23,2017-04-24,14:30:00,0,94.3344,5.420
24,2017-04-24,14:45:00,0,94.2668,5.524
25,2017-04-24,15:00:00,0,94.3156,5.618
26,2017-04-24,15:15:00,0,94.2668,5.699
27,2017-04-24,15:30:00,0,94.2442,5.722
28,2017-04-24,15:45:00,0,94.3789,5.639
29,2017-04-24,16:00:00,0,94.2287,5.483
30,2017-04-24,16:15:00,0,94.2523,5.303
31,2017-04-24,16:30:00,0,94.2169,5.132
32,2017-04-24,16:45:00,0,94.0828,4.980
33,2017-04-24,17:00:00,0,94.0560,4.847
34,2017-04-24,17:15:00,0,94.0978,4.735
35,2017-04-24,17:30:00,0,94.1552,4.638
36,2017-04-24,17:45:00,0,94.1889,4.553
37,2017-04-24,18:00:00,0,94.1466,4.478
38,2017-04-24,18:15:00,0,94.0849,4.410
39,2017-04-24,18:30:00,0,94.0377,4.346
