Serial Number
	1041393
Project ID
	02400001-BARO
Location
	Saint-Jacques-de-Leeds-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		236       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-18,13:00:00,0,89.9982,7.203
2,2016-11-18,13:15:00,0,89.8689,7.208
3,2016-11-18,13:30:00,0,89.4624,7.217
4,2016-11-18,13:45:00,0,89.4602,7.223
5,2016-11-18,14:00:00,0,89.4419,7.217
6,2016-11-18,14:15:00,0,89.4109,7.221
7,2016-11-18,14:30:00,0,89.3647,7.217
8,2016-11-18,14:45:00,0,89.1454,7.223
9,2016-11-18,15:00:00,0,89.1615,7.220
10,2016-11-18,15:15:00,0,89.4286,7.215
11,2016-11-18,15:30:00,0,89.6373,7.218
12,2016-11-18,15:45:00,0,89.6716,7.213
13,2016-11-18,16:00:00,0,89.8298,7.204
14,2016-11-18,16:15:00,0,89.4495,7.188
15,2016-11-18,16:30:00,0,89.4687,7.174
16,2016-11-18,16:45:00,0,89.3873,7.160
17,2016-11-18,17:00:00,0,89.4302,7.155
18,2016-11-18,17:15:00,0,89.4865,7.130
19,2016-11-18,17:30:00,0,89.2688,7.115
20,2016-11-18,17:45:00,0,89.3814,7.091
21,2016-11-18,18:00:00,0,89.1802,7.073
22,2016-11-18,18:15:00,0,89.1217,7.058
23,2016-11-18,18:30:00,0,88.9458,7.052
24,2016-11-18,18:45:00,0,89.0375,7.032
25,2016-11-18,19:00:00,0,88.9061,7.015
26,2016-11-18,19:15:00,0,88.6481,7.009
27,2016-11-18,19:30:00,0,88.7270,7.000
28,2016-11-18,19:45:00,0,88.7924,6.978
29,2016-11-18,20:00:00,0,88.6733,6.973
30,2016-11-18,20:15:00,0,88.7973,6.956
31,2016-11-18,20:30:00,0,88.5950,6.950
32,2016-11-18,20:45:00,0,88.6326,6.952
33,2016-11-18,21:00:00,0,88.7205,6.943
34,2016-11-18,21:15:00,0,88.7613,6.930
35,2016-11-18,21:30:00,0,88.6814,6.916
36,2016-11-18,21:45:00,0,88.5156,6.915
37,2016-11-18,22:00:00,0,88.5918,6.907
38,2016-11-18,22:15:00,0,88.5392,6.913
39,2016-11-18,22:30:00,0,88.4560,6.915
40,2016-11-18,22:45:00,0,88.5012,6.913
41,2016-11-18,23:00:00,0,88.3472,6.908
42,2016-11-18,23:15:00,0,88.3493,6.904
43,2016-11-18,23:30:00,0,88.0924,6.894
44,2016-11-18,23:45:00,0,87.9685,6.881
45,2016-11-19,00:00:00,0,87.7893,6.880
46,2016-11-19,00:15:00,0,87.6424,6.891
47,2016-11-19,00:30:00,0,87.5758,6.900
48,2016-11-19,00:45:00,0,87.2373,6.874
49,2016-11-19,01:00:00,0,87.1054,6.862
50,2016-11-19,01:15:00,0,87.2964,6.869
51,2016-11-19,01:30:00,0,87.3972,6.861
52,2016-11-19,01:45:00,0,87.4658,6.827
53,2016-11-19,02:00:00,0,87.6638,6.816
54,2016-11-19,02:15:00,0,87.7684,6.818
55,2016-11-19,02:30:00,0,87.5935,6.797
56,2016-11-19,02:45:00,0,87.3693,6.781
57,2016-11-19,03:00:00,0,87.0995,6.781
58,2016-11-19,03:15:00,0,86.6935,6.787
59,2016-11-19,03:30:00,0,86.3840,6.765
60,2016-11-19,03:45:00,0,86.3045,6.760
61,2016-11-19,04:00:00,0,86.2440,6.737
62,2016-11-19,04:15:00,0,86.2075,6.728
63,2016-11-19,04:30:00,0,86.2075,6.745
64,2016-11-19,04:45:00,0,85.9398,6.745
65,2016-11-19,05:00:00,0,85.8513,6.747
66,2016-11-19,05:15:00,0,85.8169,6.743
67,2016-11-19,05:30:00,0,85.9655,6.725
68,2016-11-19,05:45:00,0,85.8786,6.712
69,2016-11-19,06:00:00,0,85.7263,6.680
70,2016-11-19,06:15:00,0,85.5896,6.684
71,2016-11-19,06:30:00,0,85.5600,6.675
72,2016-11-19,06:45:00,0,85.2790,6.677
73,2016-11-19,07:00:00,0,85.1958,6.635
74,2016-11-19,07:15:00,0,85.2334,6.614
75,2016-11-19,07:30:00,0,85.0795,6.603
76,2016-11-19,07:45:00,0,84.9491,6.596
77,2016-11-19,08:00:00,0,84.8230,6.596
78,2016-11-19,08:15:00,0,84.6814,6.618
79,2016-11-19,08:30:00,0,84.7544,6.661
80,2016-11-19,08:45:00,0,84.5935,6.735
81,2016-11-19,09:00:00,0,84.4937,6.801
82,2016-11-19,09:15:00,0,84.2786,6.853
83,2016-11-19,09:30:00,0,83.9476,6.889
84,2016-11-19,09:45:00,0,83.8066,6.902
85,2016-11-19,10:00:00,0,83.5679,6.923
86,2016-11-19,10:15:00,0,83.2267,6.952
87,2016-11-19,10:30:00,0,82.7294,6.980
88,2016-11-19,10:45:00,0,82.2552,7.009
89,2016-11-19,11:00:00,0,81.9919,7.033
90,2016-11-19,11:15:00,0,81.5365,7.057
91,2016-11-19,11:30:00,0,81.1181,7.074
92,2016-11-19,11:45:00,0,80.6600,7.090
93,2016-11-19,12:00:00,0,80.2711,7.100
94,2016-11-19,12:15:00,0,79.8511,7.107
95,2016-11-19,12:30:00,0,79.7224,7.120
96,2016-11-19,12:45:00,0,79.3475,7.132
97,2016-11-19,13:00:00,0,79.2664,7.146
98,2016-11-19,13:15:00,0,79.0932,7.150
99,2016-11-19,13:30:00,0,78.9693,7.158
100,2016-11-19,13:45:00,0,78.7638,7.163
101,2016-11-19,14:00:00,0,78.3541,7.158
102,2016-11-19,14:15:00,0,78.0172,7.160
103,2016-11-19,14:30:00,0,77.9088,7.159
104,2016-11-19,14:45:00,0,77.7516,7.158
105,2016-11-19,15:00:00,0,77.5773,7.170
106,2016-11-19,15:15:00,0,77.4996,7.167
107,2016-11-19,15:30:00,0,77.4953,7.169
108,2016-11-19,15:45:00,0,77.3939,7.179
109,2016-11-19,16:00:00,0,77.2126,7.174
110,2016-11-19,16:15:00,0,77.0688,7.165
111,2016-11-19,16:30:00,0,77.0356,7.161
112,2016-11-19,16:45:00,0,76.9664,7.150
113,2016-11-19,17:00:00,0,76.9486,7.135
114,2016-11-19,17:15:00,0,76.5893,7.108
115,2016-11-19,17:30:00,0,76.6451,7.100
116,2016-11-19,17:45:00,0,76.6145,7.079
117,2016-11-19,18:00:00,0,76.3972,7.060
