Serial Number
	1041393
Project ID
	02400001-BARO
Location
	Saint-Jacques-de-Leeds-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		236       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-28,14:00:00,0,81.4013,6.386
2,2017-04-28,14:15:00,0,81.2431,5.630
3,2017-04-28,14:30:00,0,81.3016,5.142
4,2017-04-28,14:45:00,0,81.2152,4.822
5,2017-04-28,15:00:00,0,80.9255,4.609
6,2017-04-28,15:15:00,0,80.8102,4.462
7,2017-04-28,15:30:00,0,80.7040,4.365
8,2017-04-28,15:45:00,0,80.6026,4.299
9,2017-04-28,16:00:00,0,80.4787,4.254
10,2017-04-28,16:15:00,0,80.4375,4.224
11,2017-04-28,16:30:00,0,80.5425,4.203
12,2017-04-28,16:45:00,0,80.7861,4.189
13,2017-04-28,17:00:00,0,80.8209,4.181
14,2017-04-28,17:15:00,0,81.0768,4.176
15,2017-04-28,17:30:00,0,81.0854,4.172
16,2017-04-28,17:45:00,0,81.1305,4.170
17,2017-04-28,18:00:00,0,81.2779,4.169
18,2017-04-28,18:15:00,0,81.1551,4.170
19,2017-04-28,18:30:00,0,81.2640,4.171
20,2017-04-28,18:45:00,0,81.3965,4.172
21,2017-04-28,19:00:00,0,81.3171,4.174
22,2017-04-28,19:15:00,0,81.2822,4.175
23,2017-04-28,19:30:00,0,81.1943,4.177
24,2017-04-28,19:45:00,0,81.2565,4.179
25,2017-04-28,20:00:00,0,81.3723,4.182
26,2017-04-28,20:15:00,0,81.6744,4.183
27,2017-04-28,20:30:00,0,81.7982,4.187
28,2017-04-28,20:45:00,0,81.8422,4.188
29,2017-04-28,21:00:00,0,81.9812,4.192
30,2017-04-28,21:15:00,0,82.0396,4.194
31,2017-04-28,21:30:00,0,82.1174,4.196
32,2017-04-28,21:45:00,0,82.2102,4.199
33,2017-04-28,22:00:00,0,82.2119,4.202
34,2017-04-28,22:15:00,0,82.3315,4.205
35,2017-04-28,22:30:00,0,82.3255,4.208
36,2017-04-28,22:45:00,0,82.2875,4.211
37,2017-04-28,23:00:00,0,82.3170,4.213
38,2017-04-28,23:15:00,0,82.4672,4.217
39,2017-04-28,23:30:00,0,82.4527,4.219
40,2017-04-28,23:45:00,0,82.5438,4.223
41,2017-04-29,00:00:00,0,82.4999,4.225
42,2017-04-29,00:15:00,0,82.6082,4.229
43,2017-04-29,00:30:00,0,82.7026,4.231
44,2017-04-29,00:45:00,0,82.5111,4.234
45,2017-04-29,01:00:00,0,82.5557,4.238
46,2017-04-29,01:15:00,0,82.2601,4.240
47,2017-04-29,01:30:00,0,82.5524,4.243
48,2017-04-29,01:45:00,0,82.5058,4.247
49,2017-04-29,02:00:00,0,82.4339,4.249
50,2017-04-29,02:15:00,0,82.1716,4.252
51,2017-04-29,02:30:00,0,81.9785,4.255
52,2017-04-29,02:45:00,0,81.8165,4.258
53,2017-04-29,03:00:00,0,81.6835,4.261
54,2017-04-29,03:15:00,0,81.5054,4.263
55,2017-04-29,03:30:00,0,81.0999,4.267
56,2017-04-29,03:45:00,0,81.1820,4.271
57,2017-04-29,04:00:00,0,81.1412,4.274
58,2017-04-29,04:15:00,0,81.4587,4.277
59,2017-04-29,04:30:00,0,81.6137,4.280
60,2017-04-29,04:45:00,0,81.2726,4.283
61,2017-04-29,05:00:00,0,81.0022,4.286
62,2017-04-29,05:15:00,0,80.4256,4.290
63,2017-04-29,05:30:00,0,80.6766,4.293
64,2017-04-29,05:45:00,0,80.6664,4.295
65,2017-04-29,06:00:00,0,80.3345,4.299
66,2017-04-29,06:15:00,0,79.7240,4.302
67,2017-04-29,06:30:00,0,80.1832,4.304
68,2017-04-29,06:45:00,0,80.2362,4.309
69,2017-04-29,07:00:00,0,80.0759,4.312
70,2017-04-29,07:15:00,0,80.2748,4.314
71,2017-04-29,07:30:00,0,80.3704,4.317
72,2017-04-29,07:45:00,0,80.0968,4.322
73,2017-04-29,08:00:00,0,80.1761,4.324
74,2017-04-29,08:15:00,0,80.2953,4.328
75,2017-04-29,08:30:00,0,80.2846,4.331
76,2017-04-29,08:45:00,0,80.1714,4.336
77,2017-04-29,09:00:00,0,79.7293,4.337
78,2017-04-29,09:15:00,0,79.7261,4.344
79,2017-04-29,09:30:00,0,79.8388,4.344
80,2017-04-29,09:45:00,0,79.8104,4.349
81,2017-04-29,10:00:00,0,79.8736,4.353
82,2017-04-29,10:15:00,0,80.0115,4.355
83,2017-04-29,10:30:00,0,79.8715,4.358
84,2017-04-29,10:45:00,0,79.5577,4.362
85,2017-04-29,11:00:00,0,79.2552,4.366
86,2017-04-29,11:15:00,0,79.0712,4.369
87,2017-04-29,11:30:00,0,78.7424,4.373
88,2017-04-29,11:45:00,0,78.5031,4.377
89,2017-04-29,12:00:00,0,78.4549,4.381
90,2017-04-29,12:15:00,0,78.0644,4.385
91,2017-04-29,12:30:00,0,77.6809,4.389
92,2017-04-29,12:45:00,0,77.3633,4.392
93,2017-04-29,13:00:00,0,77.6643,4.395
94,2017-04-29,13:15:00,0,77.4234,4.400
95,2017-04-29,13:30:00,0,77.4121,4.402
96,2017-04-29,13:45:00,0,77.3843,4.406
97,2017-04-29,14:00:00,0,77.3456,4.408
98,2017-04-29,14:15:00,0,77.0447,4.413
99,2017-04-29,14:30:00,0,77.1681,4.417
100,2017-04-29,14:45:00,0,77.2426,4.419
101,2017-04-29,15:00:00,0,77.5644,4.425
102,2017-04-29,15:15:00,0,77.7227,4.428
103,2017-04-29,15:30:00,0,77.7189,4.431
104,2017-04-29,15:45:00,0,77.9244,4.436
105,2017-04-29,16:00:00,0,78.2811,4.439
106,2017-04-29,16:15:00,0,78.8545,4.443
107,2017-04-29,16:30:00,0,79.1217,4.447
108,2017-04-29,16:45:00,0,79.5695,4.451
109,2017-04-29,17:00:00,0,79.9948,4.453
110,2017-04-29,17:15:00,0,80.5779,4.455
111,2017-04-29,17:30:00,0,81.5290,4.460
112,2017-04-29,17:45:00,0,81.8197,4.460
113,2017-04-29,18:00:00,0,82.5079,4.467
114,2017-04-29,18:15:00,0,83.0952,4.469
115,2017-04-29,18:30:00,0,83.8768,4.472
116,2017-04-29,18:45:00,0,84.4674,4.475
117,2017-04-29,19:00:00,0,85.0354,4.476
118,2017-04-29,19:15:00,0,85.7333,4.479
119,2017-04-29,19:30:00,0,85.9886,4.485
120,2017-04-29,19:45:00,0,86.0385,4.488
121,2017-04-29,20:00:00,0,86.5937,4.493
122,2017-04-29,20:15:00,0,87.3972,4.493
123,2017-04-29,20:30:00,0,87.8971,4.495
124,2017-04-29,20:45:00,0,88.3327,4.499
125,2017-04-29,21:00:00,0,88.9747,4.504
126,2017-04-29,21:15:00,0,89.0434,4.506
127,2017-04-29,21:30:00,0,89.5670,4.510
128,2017-04-29,21:45:00,0,89.6211,4.511
129,2017-04-29,22:00:00,0,89.9151,4.513
130,2017-04-29,22:15:00,0,89.8920,4.516
131,2017-04-29,22:30:00,0,90.0068,4.519
132,2017-04-29,22:45:00,0,89.8502,4.521
133,2017-04-29,23:00:00,0,90.0540,4.526
134,2017-04-29,23:15:00,0,90.1479,4.530
135,2017-04-29,23:30:00,0,90.1441,4.533
136,2017-04-29,23:45:00,0,90.4853,4.535
137,2017-04-30,00:00:00,0,90.2836,4.536
138,2017-04-30,00:15:00,0,90.4875,4.541
139,2017-04-30,00:30:00,0,90.5517,4.542
140,2017-04-30,00:45:00,0,90.9343,4.543
141,2017-04-30,01:00:00,0,91.3022,4.549
142,2017-04-30,01:15:00,0,91.7120,4.551
143,2017-04-30,01:30:00,0,91.8129,4.553
144,2017-04-30,01:45:00,0,92.1320,4.555
145,2017-04-30,02:00:00,0,92.4330,4.557
146,2017-04-30,02:15:00,0,92.5805,4.559
147,2017-04-30,02:30:00,0,92.9114,4.562
148,2017-04-30,02:45:00,0,92.6866,4.561
149,2017-04-30,03:00:00,0,93.1512,4.565
150,2017-04-30,03:15:00,0,93.0590,4.565
151,2017-04-30,03:30:00,0,93.3711,4.567
152,2017-04-30,03:45:00,0,93.5980,4.571
153,2017-04-30,04:00:00,0,94.1982,4.573
154,2017-04-30,04:15:00,0,94.2063,4.576
155,2017-04-30,04:30:00,0,94.2776,4.576
156,2017-04-30,04:45:00,0,94.4214,4.578
157,2017-04-30,05:00:00,0,94.7169,4.580
158,2017-04-30,05:15:00,0,95.0414,4.581
159,2017-04-30,05:30:00,0,95.2056,4.585
160,2017-04-30,05:45:00,0,95.6352,4.585
161,2017-04-30,06:00:00,0,95.6685,4.589
162,2017-04-30,06:15:00,0,95.5698,4.591
163,2017-04-30,06:30:00,0,95.6685,4.593
164,2017-04-30,06:45:00,0,96.1073,4.595
165,2017-04-30,07:00:00,0,96.1116,4.599
166,2017-04-30,07:15:00,0,96.1813,4.602
167,2017-04-30,07:30:00,0,96.3256,4.604
168,2017-04-30,07:45:00,0,96.3959,4.604
169,2017-04-30,08:00:00,0,96.3143,4.611
170,2017-04-30,08:15:00,0,96.4243,4.613
171,2017-04-30,08:30:00,0,96.5021,4.615
172,2017-04-30,08:45:00,0,96.4061,4.620
173,2017-04-30,09:00:00,0,96.3626,4.623
174,2017-04-30,09:15:00,0,96.1040,4.627
175,2017-04-30,09:30:00,0,95.7758,4.629
176,2017-04-30,09:45:00,0,95.8814,4.632
177,2017-04-30,10:00:00,0,95.6734,4.638
178,2017-04-30,10:15:00,0,95.7367,4.640
179,2017-04-30,10:30:00,0,95.9452,4.645
180,2017-04-30,10:45:00,0,96.2436,4.648
181,2017-04-30,11:00:00,0,95.9249,4.650
182,2017-04-30,11:15:00,0,95.7249,4.653
183,2017-04-30,11:30:00,0,95.3934,4.658
184,2017-04-30,11:45:00,0,95.2667,4.658
185,2017-04-30,12:00:00,0,94.9969,4.664
186,2017-04-30,12:15:00,0,94.9063,4.667
187,2017-04-30,12:30:00,0,94.8891,4.669
188,2017-04-30,12:45:00,0,94.8955,4.674
189,2017-04-30,13:00:00,0,94.8210,4.675
190,2017-04-30,13:15:00,0,94.3999,4.679
191,2017-04-30,13:30:00,0,94.3210,4.683
192,2017-04-30,13:45:00,0,94.3656,4.684
193,2017-04-30,14:00:00,0,94.1006,4.688
194,2017-04-30,14:15:00,0,94.1355,4.689
195,2017-04-30,14:30:00,0,93.8732,4.693
196,2017-04-30,14:45:00,0,93.6216,4.697
197,2017-04-30,15:00:00,0,93.4891,4.700
198,2017-04-30,15:15:00,0,92.8583,4.701
199,2017-04-30,15:30:00,0,92.6513,4.703
200,2017-04-30,15:45:00,0,92.5134,4.707
201,2017-04-30,16:00:00,0,92.5858,4.708
202,2017-04-30,16:15:00,0,92.5987,4.710
203,2017-04-30,16:30:00,0,92.9908,4.714
204,2017-04-30,16:45:00,0,92.8106,4.717
205,2017-04-30,17:00:00,0,92.8293,4.719
206,2017-04-30,17:15:00,0,93.0310,4.723
207,2017-04-30,17:30:00,0,93.0096,4.723
