Serial Number
	1041399
Project ID
	02330001-BARO
Location
	Frampton-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		370       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-16,13:00:00,0,71.1186,6.176
2,2016-11-16,13:15:00,0,71.0746,6.145
3,2016-11-16,13:30:00,0,70.9946,6.149
4,2016-11-16,13:45:00,0,70.9211,6.151
5,2016-11-16,14:00:00,0,70.9453,6.133
6,2016-11-16,14:15:00,0,70.9651,6.142
7,2016-11-16,14:30:00,0,70.7548,6.134
8,2016-11-16,14:45:00,0,70.9018,6.142
9,2016-11-16,15:00:00,0,70.9318,6.151
10,2016-11-16,15:15:00,0,71.1346,6.147
11,2016-11-16,15:30:00,0,71.1405,6.148
12,2016-11-16,15:45:00,0,71.3213,6.162
13,2016-11-16,16:00:00,0,71.3143,6.142
14,2016-11-16,16:15:00,0,71.3744,6.154
15,2016-11-16,16:30:00,0,71.5637,6.152
16,2016-11-16,16:45:00,0,71.8073,6.160
17,2016-11-16,17:00:00,0,71.7896,6.169
18,2016-11-16,17:15:00,0,71.8341,6.167
19,2016-11-16,17:30:00,0,71.9532,6.153
20,2016-11-16,17:45:00,0,71.9349,6.169
21,2016-11-16,18:00:00,0,72.1973,6.173
22,2016-11-16,18:15:00,0,72.5030,6.179
23,2016-11-16,18:30:00,0,72.5212,6.185
24,2016-11-16,18:45:00,0,72.7062,6.181
25,2016-11-16,19:00:00,0,72.9547,6.191
26,2016-11-16,19:15:00,0,73.0249,6.171
27,2016-11-16,19:30:00,0,73.1949,6.177
28,2016-11-16,19:45:00,0,73.4084,6.166
29,2016-11-16,20:00:00,0,73.4883,6.167
30,2016-11-16,20:15:00,0,73.6353,6.166
31,2016-11-16,20:30:00,0,73.9287,6.152
32,2016-11-16,20:45:00,0,74.1305,6.141
33,2016-11-16,21:00:00,0,74.2500,6.140
34,2016-11-16,21:15:00,0,74.4603,6.135
35,2016-11-16,21:30:00,0,74.5756,6.141
36,2016-11-16,21:45:00,0,74.6647,6.141
37,2016-11-16,22:00:00,0,74.6518,6.136
38,2016-11-16,22:15:00,0,74.6432,6.162
39,2016-11-16,22:30:00,0,74.8664,6.157
40,2016-11-16,22:45:00,0,75.0032,6.154
41,2016-11-16,23:00:00,0,75.0224,6.143
42,2016-11-16,23:15:00,0,74.9351,6.142
43,2016-11-16,23:30:00,0,75.0922,6.146
44,2016-11-16,23:45:00,0,75.1834,6.154
45,2016-11-17,00:00:00,0,75.1700,6.152
46,2016-11-17,00:15:00,0,75.1421,6.145
47,2016-11-17,00:30:00,0,75.2676,6.160
48,2016-11-17,00:45:00,0,75.2977,6.166
49,2016-11-17,01:00:00,0,75.5658,6.163
50,2016-11-17,01:15:00,0,75.7037,6.172
51,2016-11-17,01:30:00,0,75.8550,6.177
52,2016-11-17,01:45:00,0,76.0320,6.172
53,2016-11-17,02:00:00,0,76.2036,6.177
54,2016-11-17,02:15:00,0,76.2444,6.183
55,2016-11-17,02:30:00,0,76.2852,6.178
56,2016-11-17,02:45:00,0,76.4332,6.181
57,2016-11-17,03:00:00,0,76.5180,6.172
