Serial Number
	1047426
Project ID
	01300001-BARO
Location
	Saint-Magloire-BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		471       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-24,15:00:00,0,88.5592,16.872
2,2017-04-24,15:15:00,0,88.6707,17.615
3,2017-04-24,15:30:00,0,88.9556,18.104
4,2017-04-24,15:45:00,0,89.1503,18.453
5,2017-04-24,16:00:00,0,89.1594,18.643
6,2017-04-24,16:15:00,0,89.0913,18.769
7,2017-04-24,16:30:00,0,89.1186,18.856
8,2017-04-24,16:45:00,0,89.3257,18.885
9,2017-04-24,17:00:00,0,89.3530,18.862
10,2017-04-24,17:15:00,0,89.2586,18.792
11,2017-04-24,17:30:00,0,89.2919,18.649
12,2017-04-24,17:45:00,0,89.4126,18.163
13,2017-04-24,18:00:00,0,89.4014,17.215
14,2017-04-24,18:15:00,0,89.4443,15.873
15,2017-04-24,18:30:00,0,89.2447,14.279
16,2017-04-24,18:45:00,0,89.0977,12.651
17,2017-04-24,19:00:00,0,89.3096,11.075
18,2017-04-24,19:15:00,0,89.2704,9.615
19,2017-04-24,19:30:00,0,89.4486,8.236
20,2017-04-24,19:45:00,0,89.5097,6.956
21,2017-04-24,20:00:00,0,89.6121,5.757
22,2017-04-24,20:15:00,0,89.6148,4.616
23,2017-04-24,20:30:00,0,89.9592,3.531
24,2017-04-24,20:45:00,0,89.9661,2.517
25,2017-04-24,21:00:00,0,90.1040,1.587
26,2017-04-24,21:15:00,0,90.0417,0.767
27,2017-04-24,21:30:00,0,90.0777,0.047
28,2017-04-24,21:45:00,0,90.0815,-0.452
29,2017-04-24,22:00:00,0,90.4827,-0.685
30,2017-04-24,22:15:00,0,90.5803,-0.813
31,2017-04-24,22:30:00,0,90.6924,-0.894
32,2017-04-24,22:45:00,0,90.4425,-0.943
33,2017-04-24,23:00:00,0,90.6103,-0.980
34,2017-04-24,23:15:00,0,90.4987,-1.004
35,2017-04-24,23:30:00,0,90.4886,-1.057
36,2017-04-24,23:45:00,0,90.7873,-1.121
37,2017-04-25,00:00:00,0,90.8147,-1.233
38,2017-04-25,00:15:00,0,90.8641,-1.421
39,2017-04-25,00:30:00,0,90.9504,-1.678
40,2017-04-25,00:45:00,0,90.8915,-2.003
41,2017-04-25,01:00:00,0,90.6189,-2.354
42,2017-04-25,01:15:00,0,90.6699,-2.698
43,2017-04-25,01:30:00,0,91.1033,-3.051
44,2017-04-25,01:45:00,0,91.2390,-3.401
45,2017-04-25,02:00:00,0,91.2686,-3.740
46,2017-04-25,02:15:00,0,91.2927,-4.056
47,2017-04-25,02:30:00,0,91.3930,-4.349
48,2017-04-25,02:45:00,0,91.2991,-4.583
49,2017-04-25,03:00:00,0,91.3983,-4.778
50,2017-04-25,03:15:00,0,91.3372,-4.948
51,2017-04-25,03:30:00,0,91.5609,-5.091
52,2017-04-25,03:45:00,0,91.7497,-5.229
53,2017-04-25,04:00:00,0,91.6451,-5.347
54,2017-04-25,04:15:00,0,91.6896,-5.458
55,2017-04-25,04:30:00,0,92.1214,-5.547
56,2017-04-25,04:45:00,0,92.1423,-5.633
57,2017-04-25,05:00:00,0,92.0174,-5.740
58,2017-04-25,05:15:00,0,92.3403,-5.828
59,2017-04-25,05:30:00,0,92.7281,-5.916
60,2017-04-25,05:45:00,0,92.8681,-6.006
61,2017-04-25,06:00:00,0,92.9694,-6.075
62,2017-04-25,06:15:00,0,93.2022,-6.101
63,2017-04-25,06:30:00,0,93.2919,-6.013
64,2017-04-25,06:45:00,0,93.3353,-5.779
65,2017-04-25,07:00:00,0,93.5069,-5.427
66,2017-04-25,07:15:00,0,93.5991,-4.845
67,2017-04-25,07:30:00,0,93.8969,-4.121
68,2017-04-25,07:45:00,0,94.0106,-3.329
69,2017-04-25,08:00:00,0,94.1007,-2.603
70,2017-04-25,08:15:00,0,94.2697,-2.005
71,2017-04-25,08:30:00,0,94.2879,-1.360
72,2017-04-25,08:45:00,0,94.2118,-0.189
73,2017-04-25,09:00:00,0,94.1378,1.787
74,2017-04-25,09:15:00,0,94.2375,4.113
75,2017-04-25,09:30:00,0,94.3206,6.448
76,2017-04-25,09:45:00,0,94.4021,8.934
77,2017-04-25,10:00:00,0,94.2735,11.291
78,2017-04-25,10:15:00,0,94.2702,13.330
79,2017-04-25,10:30:00,0,94.1613,15.116
80,2017-04-25,10:45:00,0,94.1533,16.707
81,2017-04-25,11:00:00,0,93.9425,18.046
82,2017-04-25,11:15:00,0,93.8347,19.040
83,2017-04-25,11:30:00,0,93.6185,19.678
84,2017-04-25,11:45:00,0,93.4157,20.043
85,2017-04-25,12:00:00,0,93.2993,20.248
86,2017-04-25,12:15:00,0,93.1760,20.329
87,2017-04-25,12:30:00,0,93.1062,20.518
88,2017-04-25,12:45:00,0,92.9179,20.662
89,2017-04-25,13:00:00,0,92.7082,20.661
90,2017-04-25,13:15:00,0,92.6031,20.777
91,2017-04-25,13:30:00,0,92.2925,20.955
92,2017-04-25,13:45:00,0,92.3075,21.212
93,2017-04-25,14:00:00,0,92.2201,21.374
94,2017-04-25,14:15:00,0,92.2561,21.339
95,2017-04-25,14:30:00,0,91.9557,21.064
96,2017-04-25,14:45:00,0,91.8983,20.536
97,2017-04-25,15:00:00,0,91.6638,19.965
98,2017-04-25,15:15:00,0,91.5850,19.656
99,2017-04-25,15:30:00,0,91.4192,19.270
100,2017-04-25,15:45:00,0,91.0834,18.711
101,2017-04-25,16:00:00,0,90.8635,18.042
102,2017-04-25,16:15:00,0,90.5986,17.344
103,2017-04-25,16:30:00,0,90.5583,16.601
104,2017-04-25,16:45:00,0,90.5937,15.797
105,2017-04-25,17:00:00,0,90.5138,14.971
106,2017-04-25,17:15:00,0,90.4993,14.195
107,2017-04-25,17:30:00,0,90.3609,13.487
108,2017-04-25,17:45:00,0,90.1576,12.801
109,2017-04-25,18:00:00,0,90.2129,12.125
110,2017-04-25,18:15:00,0,90.0407,11.482
111,2017-04-25,18:30:00,0,90.0906,10.827
112,2017-04-25,18:45:00,0,90.0337,10.047
113,2017-04-25,19:00:00,0,89.9683,9.090
114,2017-04-25,19:15:00,0,89.7425,8.128
115,2017-04-25,19:30:00,0,89.6352,7.222
116,2017-04-25,19:45:00,0,89.5987,6.417
117,2017-04-25,20:00:00,0,89.5858,5.719
118,2017-04-25,20:15:00,0,89.5928,5.125
119,2017-04-25,20:30:00,0,89.5821,4.635
120,2017-04-25,20:45:00,0,89.4560,4.237
121,2017-04-25,21:00:00,0,89.4335,3.914
122,2017-04-25,21:15:00,0,89.4582,3.646
123,2017-04-25,21:30:00,0,89.1825,3.409
124,2017-04-25,21:45:00,0,89.0264,3.201
125,2017-04-25,22:00:00,0,88.7314,3.003
126,2017-04-25,22:15:00,0,88.4599,2.820
127,2017-04-25,22:30:00,0,88.2630,2.671
128,2017-04-25,22:45:00,0,88.1070,2.557
129,2017-04-25,23:00:00,0,88.0024,2.471
130,2017-04-25,23:15:00,0,87.8409,2.400
131,2017-04-25,23:30:00,0,87.5765,2.342
132,2017-04-25,23:45:00,0,87.4322,2.288
133,2017-04-26,00:00:00,0,87.3008,2.226
134,2017-04-26,00:15:00,0,87.0621,2.161
135,2017-04-26,00:30:00,0,87.0341,2.090
136,2017-04-26,00:45:00,0,86.9033,2.016
137,2017-04-26,01:00:00,0,86.7805,1.943
138,2017-04-26,01:15:00,0,86.5788,1.861
139,2017-04-26,01:30:00,0,86.3964,1.757
140,2017-04-26,01:45:00,0,86.1856,1.637
141,2017-04-26,02:00:00,0,85.9571,1.521
142,2017-04-26,02:15:00,0,85.6980,1.413
143,2017-04-26,02:30:00,0,85.3852,1.311
144,2017-04-26,02:45:00,0,85.2560,1.217
145,2017-04-26,03:00:00,0,85.0312,1.140
146,2017-04-26,03:15:00,0,84.8242,1.071
147,2017-04-26,03:30:00,0,84.6805,1.017
148,2017-04-26,03:45:00,0,84.4734,0.966
149,2017-04-26,04:00:00,0,84.2342,0.925
150,2017-04-26,04:15:00,0,84.0737,0.894
151,2017-04-26,04:30:00,0,83.9359,0.862
152,2017-04-26,04:45:00,0,83.8474,0.839
153,2017-04-26,05:00:00,0,83.7444,0.821
154,2017-04-26,05:15:00,0,83.6420,0.804
155,2017-04-26,05:30:00,0,83.7160,0.790
156,2017-04-26,05:45:00,0,83.6179,0.789
157,2017-04-26,06:00:00,0,83.3921,0.797
158,2017-04-26,06:15:00,0,83.4602,0.812
159,2017-04-26,06:30:00,0,83.3866,0.853
160,2017-04-26,06:45:00,0,83.2091,0.918
161,2017-04-26,07:00:00,0,83.1206,1.021
162,2017-04-26,07:15:00,0,83.1624,1.151
163,2017-04-26,07:30:00,0,83.1190,1.295
164,2017-04-26,07:45:00,0,82.9924,1.454
165,2017-04-26,08:00:00,0,82.9435,1.649
166,2017-04-26,08:15:00,0,82.9420,1.936
167,2017-04-26,08:30:00,0,82.8728,2.249
168,2017-04-26,08:45:00,0,82.8272,2.574
169,2017-04-26,09:00:00,0,82.6721,2.938
170,2017-04-26,09:15:00,0,82.7408,3.309
171,2017-04-26,09:30:00,0,82.4742,3.674
172,2017-04-26,09:45:00,0,82.5021,3.981
173,2017-04-26,10:00:00,0,82.4855,4.278
174,2017-04-26,10:15:00,0,82.4372,4.603
175,2017-04-26,10:30:00,0,82.5080,4.942
176,2017-04-26,10:45:00,0,82.3804,5.334
177,2017-04-26,11:00:00,0,82.1653,5.848
178,2017-04-26,11:15:00,0,82.0896,6.495
179,2017-04-26,11:30:00,0,81.9335,7.182
180,2017-04-26,11:45:00,0,81.9105,7.855
181,2017-04-26,12:00:00,0,81.8552,8.527
182,2017-04-26,12:15:00,0,81.7823,9.111
183,2017-04-26,12:30:00,0,81.7753,9.671
184,2017-04-26,12:45:00,0,81.7383,10.094
185,2017-04-26,13:00:00,0,81.6874,10.275
186,2017-04-26,13:15:00,0,81.5275,10.366
187,2017-04-26,13:30:00,0,81.4760,10.357
188,2017-04-26,13:45:00,0,81.5811,10.353
189,2017-04-26,14:00:00,0,81.3011,10.355
190,2017-04-26,14:15:00,0,81.4524,10.415
191,2017-04-26,14:30:00,0,81.5398,10.382
192,2017-04-26,14:45:00,0,81.3403,10.184
193,2017-04-26,15:00:00,0,80.9815,9.955
194,2017-04-26,15:15:00,0,80.9122,9.727
195,2017-04-26,15:30:00,0,80.8763,9.593
196,2017-04-26,15:45:00,0,80.7470,9.501
197,2017-04-26,16:00:00,0,80.6081,9.371
198,2017-04-26,16:15:00,0,80.4949,9.255
199,2017-04-26,16:30:00,0,80.2245,9.203
200,2017-04-26,16:45:00,0,79.9972,9.283
201,2017-04-26,17:00:00,0,80.0117,9.494
202,2017-04-26,17:15:00,0,79.9585,9.650
203,2017-04-26,17:30:00,0,79.9917,9.752
204,2017-04-26,17:45:00,0,80.0197,9.781
205,2017-04-26,18:00:00,0,80.0250,9.724
206,2017-04-26,18:15:00,0,79.8094,9.612
207,2017-04-26,18:30:00,0,79.8486,9.504
208,2017-04-26,18:45:00,0,79.5981,9.394
209,2017-04-26,19:00:00,0,79.5353,9.227
210,2017-04-26,19:15:00,0,79.4607,9.055
211,2017-04-26,19:30:00,0,79.4286,8.875
212,2017-04-26,19:45:00,0,79.4017,8.687
213,2017-04-26,20:00:00,0,79.4811,8.478
214,2017-04-26,20:15:00,0,79.7933,8.232
215,2017-04-26,20:30:00,0,79.6903,7.989
216,2017-04-26,20:45:00,0,79.6244,7.749
217,2017-04-26,21:00:00,0,79.6271,7.539
218,2017-04-26,21:15:00,0,79.6759,7.352
219,2017-04-26,21:30:00,0,79.8539,7.113
220,2017-04-26,21:45:00,0,79.7756,6.847
221,2017-04-26,22:00:00,0,79.9091,6.570
222,2017-04-26,22:15:00,0,79.9703,6.295
223,2017-04-26,22:30:00,0,79.9236,6.041
224,2017-04-26,22:45:00,0,79.9054,5.838
225,2017-04-26,23:00:00,0,79.7364,5.631
226,2017-04-26,23:15:00,0,79.8807,5.415
227,2017-04-26,23:30:00,0,79.7317,5.210
228,2017-04-26,23:45:00,0,79.6201,5.026
229,2017-04-27,00:00:00,0,79.5466,4.879
230,2017-04-27,00:15:00,0,79.4446,4.803
231,2017-04-27,00:30:00,0,79.4816,4.757
232,2017-04-27,00:45:00,0,79.0906,4.745
233,2017-04-27,01:00:00,0,79.2451,4.755
234,2017-04-27,01:15:00,0,79.2032,4.821
235,2017-04-27,01:30:00,0,79.1818,4.865
236,2017-04-27,01:45:00,0,79.0922,4.846
237,2017-04-27,02:00:00,0,79.0644,4.772
238,2017-04-27,02:15:00,0,79.1501,4.649
239,2017-04-27,02:30:00,0,79.0649,4.488
240,2017-04-27,02:45:00,0,78.9683,4.315
241,2017-04-27,03:00:00,0,78.9029,4.151
242,2017-04-27,03:15:00,0,78.7859,4.011
243,2017-04-27,03:30:00,0,78.8503,3.895
244,2017-04-27,03:45:00,0,78.7897,3.796
245,2017-04-27,04:00:00,0,78.7887,3.709
246,2017-04-27,04:15:00,0,78.8492,3.640
247,2017-04-27,04:30:00,0,78.8202,3.582
248,2017-04-27,04:45:00,0,78.8380,3.530
249,2017-04-27,05:00:00,0,79.0236,3.471
250,2017-04-27,05:15:00,0,78.9651,3.415
251,2017-04-27,05:30:00,0,79.0064,3.368
252,2017-04-27,05:45:00,0,79.0820,3.337
253,2017-04-27,06:00:00,0,79.1942,3.321
254,2017-04-27,06:15:00,0,79.3454,3.329
255,2017-04-27,06:30:00,0,79.5562,3.346
256,2017-04-27,06:45:00,0,79.6361,3.387
257,2017-04-27,07:00:00,0,79.6485,3.465
258,2017-04-27,07:15:00,0,79.8137,3.574
259,2017-04-27,07:30:00,0,79.8534,3.690
260,2017-04-27,07:45:00,0,79.7992,3.824
261,2017-04-27,08:00:00,0,79.8818,3.983
262,2017-04-27,08:15:00,0,80.0117,4.146
263,2017-04-27,08:30:00,0,80.1323,4.332
264,2017-04-27,08:45:00,0,80.1366,4.578
265,2017-04-27,09:00:00,0,80.1114,4.901
266,2017-04-27,09:15:00,0,80.1302,5.300
267,2017-04-27,09:30:00,0,80.2895,5.797
268,2017-04-27,09:45:00,0,80.3195,6.332
269,2017-04-27,10:00:00,0,80.3232,6.845
270,2017-04-27,10:15:00,0,80.2943,7.404
