Serial Number
	1047427
Project ID
	BARO_02G47001
Location
	St-Antoine-de-Tilly_BARO
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		66        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-04-28,16:00:00,0,78.9253,18.823
2,2017-04-28,16:15:00,0,78.8513,19.046
3,2017-04-28,16:30:00,0,78.7590,19.355
4,2017-04-28,16:45:00,0,78.8513,19.638
5,2017-04-28,17:00:00,0,78.9837,19.876
6,2017-04-28,17:15:00,0,79.2531,19.921
7,2017-04-28,17:30:00,0,79.1420,19.902
8,2017-04-28,17:45:00,0,79.2042,19.949
9,2017-04-28,18:00:00,0,79.1119,19.901
10,2017-04-28,18:15:00,0,78.9886,19.724
11,2017-04-28,18:30:00,0,79.0175,19.448
12,2017-04-28,18:45:00,0,79.1297,19.133
13,2017-04-28,19:00:00,0,79.1988,18.804
14,2017-04-28,19:15:00,0,79.3228,18.440
15,2017-04-28,19:30:00,0,79.2417,18.025
16,2017-04-28,19:45:00,0,79.4773,17.601
17,2017-04-28,20:00:00,0,79.5588,17.154
18,2017-04-28,20:15:00,0,79.6113,16.694
19,2017-04-28,20:30:00,0,79.7556,16.246
20,2017-04-28,20:45:00,0,79.8586,15.777
21,2017-04-28,21:00:00,0,79.9396,15.296
22,2017-04-28,21:15:00,0,80.1064,14.883
23,2017-04-28,21:30:00,0,80.2577,14.540
24,2017-04-28,21:45:00,0,80.2496,14.279
25,2017-04-28,22:00:00,0,80.1531,14.095
26,2017-04-28,22:15:00,0,80.2888,13.942
27,2017-04-28,22:30:00,0,80.2394,13.780
28,2017-04-28,22:45:00,0,80.2271,13.605
29,2017-04-28,23:00:00,0,80.3590,13.406
30,2017-04-28,23:15:00,0,80.3398,13.192
31,2017-04-28,23:30:00,0,80.1981,12.985
32,2017-04-28,23:45:00,0,80.4213,12.791
33,2017-04-29,00:00:00,0,80.3232,12.594
34,2017-04-29,00:15:00,0,80.4712,12.387
35,2017-04-29,00:30:00,0,80.5742,12.154
36,2017-04-29,00:45:00,0,80.5597,11.905
37,2017-04-29,01:00:00,0,80.6241,11.677
38,2017-04-29,01:15:00,0,80.5125,11.360
39,2017-04-29,01:30:00,0,80.5854,10.883
40,2017-04-29,01:45:00,0,80.7120,10.326
41,2017-04-29,02:00:00,0,80.5543,9.742
42,2017-04-29,02:15:00,0,80.3521,9.161
43,2017-04-29,02:30:00,0,80.3081,8.675
44,2017-04-29,02:45:00,0,80.1875,8.378
45,2017-04-29,03:00:00,0,79.9273,8.317
46,2017-04-29,03:15:00,0,79.8152,8.296
47,2017-04-29,03:30:00,0,79.9182,8.276
48,2017-04-29,03:45:00,0,79.8248,8.272
49,2017-04-29,04:00:00,0,79.5073,8.266
50,2017-04-29,04:15:00,0,79.8307,8.247
51,2017-04-29,04:30:00,0,80.0823,8.214
52,2017-04-29,04:45:00,0,80.1198,8.166
53,2017-04-29,05:00:00,0,79.5352,8.087
54,2017-04-29,05:15:00,0,79.3807,7.998
55,2017-04-29,05:30:00,0,79.2756,7.896
56,2017-04-29,05:45:00,0,79.1875,7.792
57,2017-04-29,06:00:00,0,78.9719,7.676
58,2017-04-29,06:15:00,0,78.8497,7.565
59,2017-04-29,06:30:00,0,78.7654,7.490
60,2017-04-29,06:45:00,0,78.9216,7.454
61,2017-04-29,07:00:00,0,78.6351,7.419
62,2017-04-29,07:15:00,0,78.8212,7.391
63,2017-04-29,07:30:00,0,78.8979,7.383
64,2017-04-29,07:45:00,0,78.8352,7.376
65,2017-04-29,08:00:00,0,78.7504,7.380
66,2017-04-29,08:15:00,0,79.0990,7.426
67,2017-04-29,08:30:00,0,78.8759,7.545
68,2017-04-29,08:45:00,0,78.6635,7.751
69,2017-04-29,09:00:00,0,78.7199,8.046
70,2017-04-29,09:15:00,0,78.7992,8.395
71,2017-04-29,09:30:00,0,78.7649,8.759
72,2017-04-29,09:45:00,0,78.5809,9.053
73,2017-04-29,10:00:00,0,78.3132,9.262
74,2017-04-29,10:15:00,0,78.0134,9.456
75,2017-04-29,10:30:00,0,78.3105,9.715
76,2017-04-29,10:45:00,0,78.1572,10.039
77,2017-04-29,11:00:00,0,78.0107,10.446
78,2017-04-29,11:15:00,0,77.5285,11.044
79,2017-04-29,11:30:00,0,77.1155,11.806
80,2017-04-29,11:45:00,0,77.0645,12.759
81,2017-04-29,12:00:00,0,76.6343,13.601
82,2017-04-29,12:15:00,0,76.4256,14.690
83,2017-04-29,12:30:00,0,75.9498,15.384
84,2017-04-29,12:45:00,0,75.8404,16.085
85,2017-04-29,13:00:00,0,75.7493,17.062
86,2017-04-29,13:15:00,0,75.5631,18.305
87,2017-04-29,13:30:00,0,75.6586,19.714
88,2017-04-29,13:45:00,0,75.6843,20.640
89,2017-04-29,14:00:00,0,75.6940,21.052
90,2017-04-29,14:15:00,0,75.9225,20.893
91,2017-04-29,14:30:00,0,75.9214,20.718
92,2017-04-29,14:45:00,0,76.1778,20.657
93,2017-04-29,15:00:00,0,76.3667,20.425
94,2017-04-29,15:15:00,0,76.5646,20.119
95,2017-04-29,15:30:00,0,76.9105,19.805
96,2017-04-29,15:45:00,0,77.4609,19.581
97,2017-04-29,16:00:00,0,78.0289,19.529
98,2017-04-29,16:15:00,0,78.2966,19.525
99,2017-04-29,16:30:00,0,79.1007,19.348
100,2017-04-29,16:45:00,0,79.5319,19.021
101,2017-04-29,17:00:00,0,80.1493,18.822
102,2017-04-29,17:15:00,0,80.5646,18.435
103,2017-04-29,17:30:00,0,81.1841,17.601
104,2017-04-29,17:45:00,0,82.0214,16.440
105,2017-04-29,18:00:00,0,82.2944,15.204
106,2017-04-29,18:15:00,0,83.0212,13.899
107,2017-04-29,18:30:00,0,83.4751,12.635
108,2017-04-29,18:45:00,0,84.3611,11.499
109,2017-04-29,19:00:00,0,85.2017,10.508
110,2017-04-29,19:15:00,0,86.1404,9.637
111,2017-04-29,19:30:00,0,86.0224,8.846
112,2017-04-29,19:45:00,0,86.5792,8.093
113,2017-04-29,20:00:00,0,86.9471,7.394
114,2017-04-29,20:15:00,0,87.5324,6.789
115,2017-04-29,20:30:00,0,87.8226,6.269
116,2017-04-29,20:45:00,0,88.4094,5.836
117,2017-04-29,21:00:00,0,88.6990,5.483
118,2017-04-29,21:15:00,0,89.1223,5.230
119,2017-04-29,21:30:00,0,89.4215,5.094
120,2017-04-29,21:45:00,0,89.5819,5.013
121,2017-04-29,22:00:00,0,90.0652,4.958
122,2017-04-29,22:15:00,0,90.1645,4.906
123,2017-04-29,22:30:00,0,90.1752,4.844
124,2017-04-29,22:45:00,0,90.3227,4.764
125,2017-04-29,23:00:00,0,90.3184,4.673
126,2017-04-29,23:15:00,0,90.3753,4.567
127,2017-04-29,23:30:00,0,90.6242,4.455
128,2017-04-29,23:45:00,0,90.7074,4.336
129,2017-04-30,00:00:00,0,90.7615,4.207
130,2017-04-30,00:15:00,0,90.9369,4.075
131,2017-04-30,00:30:00,0,91.0565,3.939
132,2017-04-30,00:45:00,0,91.2008,3.778
133,2017-04-30,01:00:00,0,91.3510,3.583
134,2017-04-30,01:15:00,0,91.6524,3.365
135,2017-04-30,01:30:00,0,91.9014,3.156
136,2017-04-30,01:45:00,0,92.2226,2.990
137,2017-04-30,02:00:00,0,92.2548,2.873
138,2017-04-30,02:15:00,0,92.7563,2.803
139,2017-04-30,02:30:00,0,92.9034,2.751
140,2017-04-30,02:45:00,0,92.9269,2.698
141,2017-04-30,03:00:00,0,93.1662,2.639
142,2017-04-30,03:15:00,0,93.3941,2.591
143,2017-04-30,03:30:00,0,93.5856,2.545
144,2017-04-30,03:45:00,0,94.0271,2.505
145,2017-04-30,04:00:00,0,94.2609,2.477
146,2017-04-30,04:15:00,0,94.3575,2.454
147,2017-04-30,04:30:00,0,94.5490,2.427
148,2017-04-30,04:45:00,0,94.8092,2.391
149,2017-04-30,05:00:00,0,94.9508,2.317
150,2017-04-30,05:15:00,0,95.2035,2.219
151,2017-04-30,05:30:00,0,95.5564,2.148
