Serial_number:
1056547
Project ID:
BARO_02310002
Location:
BARO_Armagh
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 330.000000 m
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,19:00:00,0,92.69,4.867
2017/04/24,19:15:00,0,92.83,4.287
2017/04/24,19:30:00,0,93.08,3.870
2017/04/24,19:45:00,0,93.11,3.489
2017/04/24,20:00:00,0,93.16,3.080
2017/04/24,20:15:00,0,93.47,2.673
2017/04/24,20:30:00,0,93.70,2.293
2017/04/24,20:45:00,0,93.89,1.964
2017/04/24,21:00:00,0,94.15,1.675
2017/04/24,21:15:00,0,94.11,1.392
2017/04/24,21:30:00,0,94.05,1.139
2017/04/24,21:45:00,0,94.21,0.935
2017/04/24,22:00:00,0,94.49,0.740
2017/04/24,22:15:00,0,94.44,0.575
2017/04/24,22:30:00,0,94.54,0.397
2017/04/24,22:45:00,0,94.47,0.272
2017/04/24,23:00:00,0,94.54,0.186
2017/04/24,23:15:00,0,94.35,0.064
2017/04/24,23:30:00,0,94.43,-0.052
2017/04/24,23:45:00,0,94.62,-0.152
2017/04/25,00:00:00,0,94.55,-0.221
2017/04/25,00:15:00,0,94.72,-0.261
2017/04/25,00:30:00,0,94.69,-0.330
2017/04/25,00:45:00,0,94.60,-0.443
2017/04/25,01:00:00,0,94.71,-0.516
2017/04/25,01:15:00,0,95.07,-0.581
2017/04/25,01:30:00,0,95.39,-0.616
2017/04/25,01:45:00,0,94.95,-0.652
2017/04/25,02:00:00,0,95.15,-0.701
2017/04/25,02:15:00,0,95.03,-0.741
2017/04/25,02:30:00,0,95.05,-0.767
2017/04/25,02:45:00,0,95.10,-0.779
2017/04/25,03:00:00,0,95.19,-0.798
2017/04/25,03:15:00,0,95.18,-0.812
2017/04/25,03:30:00,0,95.26,-0.843
2017/04/25,03:45:00,0,95.16,-0.883
2017/04/25,04:00:00,0,95.00,-0.907
2017/04/25,04:15:00,0,95.15,-0.909
2017/04/25,04:30:00,0,95.40,-0.930
2017/04/25,04:45:00,0,95.39,-0.914
2017/04/25,05:00:00,0,95.42,-0.864
2017/04/25,05:15:00,0,95.54,-0.844
2017/04/25,05:30:00,0,95.77,-0.817
2017/04/25,05:45:00,0,95.90,-0.792
2017/04/25,06:00:00,0,95.99,-0.729
