Serial_number:
1056558
Project ID:
BARO_02340008
Location:
BARO_Saint-Georges
LEVEL
UNIT: cm
Offset: 0.000000 cm
Altitude: 260.000000 m
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/25,16:00:00,0,93.30,7.433
2017/04/25,16:15:00,0,92.85,5.965
2017/04/25,16:30:00,0,92.94,5.043
2017/04/25,16:45:00,0,92.87,4.450
2017/04/25,17:00:00,0,92.90,4.058
2017/04/25,17:15:00,0,92.80,3.791
2017/04/25,17:30:00,0,92.76,3.611
2017/04/25,17:45:00,0,92.62,3.485
2017/04/25,18:00:00,0,92.67,3.395
2017/04/25,18:15:00,0,92.78,3.331
2017/04/25,18:30:00,0,92.79,3.285
2017/04/25,18:45:00,0,92.75,3.250
2017/04/25,19:00:00,0,92.84,3.228
2017/04/25,19:15:00,0,92.60,3.207
2017/04/25,19:30:00,0,92.49,3.196
2017/04/25,19:45:00,0,92.32,3.187
2017/04/25,20:00:00,0,92.16,3.177
2017/04/25,20:15:00,0,91.99,3.174
2017/04/25,20:30:00,0,91.98,3.170
2017/04/25,20:45:00,0,91.85,3.167
2017/04/25,21:00:00,0,91.72,3.167
2017/04/25,21:15:00,0,91.69,3.164
2017/04/25,21:30:00,0,91.45,3.162
2017/04/25,21:45:00,0,91.30,3.164
2017/04/25,22:00:00,0,91.27,3.165
2017/04/25,22:15:00,0,91.16,3.166
2017/04/25,22:30:00,0,91.02,3.165
2017/04/25,22:45:00,0,90.89,3.166
2017/04/25,23:00:00,0,90.71,3.167
2017/04/25,23:15:00,0,90.44,3.167
2017/04/25,23:30:00,0,90.37,3.168
2017/04/25,23:45:00,0,90.39,3.167
2017/04/26,00:00:00,0,90.21,3.170
2017/04/26,00:15:00,0,90.17,3.171
2017/04/26,00:30:00,0,89.92,3.171
2017/04/26,00:45:00,0,89.72,3.173
2017/04/26,01:00:00,0,89.58,3.176
2017/04/26,01:15:00,0,89.28,3.175
2017/04/26,01:30:00,0,89.08,3.179
2017/04/26,01:45:00,0,88.88,3.179
2017/04/26,02:00:00,0,88.66,3.180
2017/04/26,02:15:00,0,88.46,3.180
2017/04/26,02:30:00,0,88.08,3.181
2017/04/26,02:45:00,0,88.01,3.183
2017/04/26,03:00:00,0,87.78,3.185
2017/04/26,03:15:00,0,87.50,3.186
2017/04/26,03:30:00,0,87.40,3.188
2017/04/26,03:45:00,0,87.15,3.188
2017/04/26,04:00:00,0,87.04,3.190
2017/04/26,04:15:00,0,86.87,3.191
