Serial_number:
2006190
Project ID:
02600001
Location:
L'Islet
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/17,13:00:00,0,1689.22,9.464
2016/11/17,13:15:00,0,1689.20,9.461
2016/11/17,13:30:00,0,1689.28,9.459
2016/11/17,13:45:00,0,1689.41,9.458
2016/11/17,14:00:00,0,1689.77,9.457
2016/11/17,14:15:00,0,1689.88,9.457
2016/11/17,14:30:00,0,1690.04,9.455
2016/11/17,14:45:00,0,1690.14,9.455
2016/11/17,15:00:00,0,1690.42,9.454
2016/11/17,15:15:00,0,1690.53,9.454
2016/11/17,15:30:00,0,1690.68,9.454
2016/11/17,15:45:00,0,1690.93,9.454
2016/11/17,16:00:00,0,1690.96,9.454
2016/11/17,16:15:00,0,1691.26,9.454
2016/11/17,16:30:00,0,1691.67,9.454
2016/11/17,16:45:00,0,1691.81,9.454
2016/11/17,17:00:00,0,1691.93,9.453
2016/11/17,17:15:00,0,1692.08,9.453
2016/11/17,17:30:00,0,1692.08,9.453
2016/11/17,17:45:00,0,1692.35,9.453
2016/11/17,18:00:00,0,1692.48,9.453
2016/11/17,18:15:00,0,1692.71,9.453
2016/11/17,18:30:00,0,1692.71,9.453
2016/11/17,18:45:00,0,1693.06,9.454
2016/11/17,19:00:00,0,1693.05,9.452
2016/11/17,19:15:00,0,1693.54,9.453
2016/11/17,19:30:00,0,1693.63,9.453
2016/11/17,19:45:00,0,1693.73,9.453
2016/11/17,20:00:00,0,1693.98,9.453
2016/11/17,20:15:00,0,1693.98,9.454
2016/11/17,20:30:00,0,1694.31,9.453
2016/11/17,20:45:00,0,1694.34,9.454
2016/11/17,21:00:00,0,1694.54,9.454
2016/11/17,21:15:00,0,1694.76,9.454
2016/11/17,21:30:00,0,1694.65,9.454
2016/11/17,21:45:00,0,1694.44,9.454
2016/11/17,22:00:00,0,1694.44,9.455
2016/11/17,22:15:00,0,1694.52,9.455
2016/11/17,22:30:00,0,1694.56,9.454
2016/11/17,22:45:00,0,1694.49,9.454
2016/11/17,23:00:00,0,1694.40,9.454
2016/11/17,23:15:00,0,1694.70,9.455
2016/11/17,23:30:00,0,1694.74,9.456
2016/11/17,23:45:00,0,1694.65,9.455
2016/11/18,00:00:00,0,1694.68,9.455
2016/11/18,00:15:00,0,1694.82,9.455
2016/11/18,00:30:00,0,1694.89,9.455
2016/11/18,00:45:00,0,1694.65,9.455
2016/11/18,01:00:00,0,1695.10,9.455
2016/11/18,01:15:00,0,1695.17,9.454
2016/11/18,01:30:00,0,1695.11,9.456
2016/11/18,01:45:00,0,1695.13,9.457
2016/11/18,02:00:00,0,1694.98,9.456
2016/11/18,02:15:00,0,1695.04,9.456
2016/11/18,02:30:00,0,1695.14,9.457
2016/11/18,02:45:00,0,1695.24,9.457
2016/11/18,03:00:00,0,1695.20,9.456
2016/11/18,03:15:00,0,1695.26,9.456
2016/11/18,03:30:00,0,1695.33,9.456
2016/11/18,03:45:00,0,1695.45,9.456
2016/11/18,04:00:00,0,1695.31,9.456
2016/11/18,04:15:00,0,1695.44,9.456
2016/11/18,04:30:00,0,1695.57,9.456
2016/11/18,04:45:00,0,1695.52,9.456
2016/11/18,05:00:00,0,1695.58,9.456
2016/11/18,05:15:00,0,1695.67,9.457
2016/11/18,05:30:00,0,1695.59,9.456
2016/11/18,05:45:00,0,1695.64,9.456
2016/11/18,06:00:00,0,1695.83,9.457
2016/11/18,06:15:00,0,1695.99,9.456
2016/11/18,06:30:00,0,1695.96,9.457
2016/11/18,06:45:00,0,1696.06,9.456
2016/11/18,07:00:00,0,1696.10,9.457
2016/11/18,07:15:00,0,1696.21,9.457
2016/11/18,07:30:00,0,1696.33,9.457
2016/11/18,07:45:00,0,1696.38,9.457
2016/11/18,08:00:00,0,1696.14,9.457
2016/11/18,08:15:00,0,1696.13,9.457
2016/11/18,08:30:00,0,1696.23,9.457
2016/11/18,08:45:00,0,1696.17,9.457
2016/11/18,09:00:00,0,1696.42,9.457
2016/11/18,09:15:00,0,1696.49,9.457
2016/11/18,09:30:00,0,1696.47,9.457
2016/11/18,09:45:00,0,1696.45,9.458
2016/11/18,10:00:00,0,1696.52,9.458
2016/11/18,10:15:00,0,1696.30,9.458
2016/11/18,10:30:00,0,1695.96,9.457
2016/11/18,10:45:00,0,1695.93,9.457
2016/11/18,11:00:00,0,1696.12,9.458
2016/11/18,11:15:00,0,1695.85,9.457
2016/11/18,11:30:00,0,1695.36,9.458
2016/11/18,11:45:00,0,1695.03,9.458
2016/11/18,12:00:00,0,1694.80,9.458
2016/11/18,12:15:00,0,1694.91,9.459
2016/11/18,12:30:00,0,1695.05,9.459
2016/11/18,12:45:00,0,1695.13,9.459
2016/11/18,13:00:00,0,1695.09,9.458
2016/11/18,13:15:00,0,1695.03,9.458
2016/11/18,13:30:00,0,1694.86,9.458
2016/11/18,13:45:00,0,1694.68,9.457
2016/11/18,14:00:00,0,1694.62,9.457
2016/11/18,14:15:00,0,1694.55,9.457
2016/11/18,14:30:00,0,1694.55,9.458
2016/11/18,14:45:00,0,1694.53,9.458
2016/11/18,15:00:00,0,1694.51,9.458
2016/11/18,15:15:00,0,1694.55,9.458
