Serial_number:
2010137
Project ID:
02000008
Location:
Berthier-sur-Mer
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,10:00:00,0,1644.56,6.792
2017/04/24,10:15:00,0,1644.33,6.684
2017/04/24,10:30:00,0,1644.33,6.677
2017/04/24,10:45:00,0,1644.22,6.709
2017/04/24,11:00:00,0,1643.98,6.658
2017/04/24,11:15:00,0,1643.74,6.683
2017/04/24,11:30:00,0,1643.56,6.636
2017/04/24,11:45:00,0,1643.27,6.681
2017/04/24,12:00:00,0,1643.05,6.664
2017/04/24,12:15:00,0,1642.65,6.702
2017/04/24,12:30:00,0,1642.29,6.668
2017/04/24,12:45:00,0,1642.01,6.663
2017/04/24,13:00:00,0,1641.69,6.706
2017/04/24,13:15:00,0,1641.44,6.668
2017/04/24,13:30:00,0,1641.13,6.691
2017/04/24,13:45:00,0,1640.78,6.638
2017/04/24,14:00:00,0,1640.41,6.666
2017/04/24,14:15:00,0,1640.18,6.686
2017/04/24,14:30:00,0,1640.12,6.678
2017/04/24,14:45:00,0,1639.75,6.611
2017/04/24,15:00:00,0,1639.63,6.658
2017/04/24,15:15:00,0,1639.41,6.682
2017/04/24,15:30:00,0,1639.26,6.659
2017/04/24,15:45:00,0,1639.08,6.645
2017/04/24,16:00:00,0,1639.12,6.612
2017/04/24,16:15:00,0,1638.99,6.626
2017/04/24,16:30:00,0,1639.06,6.595
2017/04/24,16:45:00,0,1639.04,6.626
2017/04/24,17:00:00,0,1639.00,6.627
2017/04/24,17:15:00,0,1639.17,6.627
2017/04/24,17:30:00,0,1639.44,6.740
2017/04/24,17:45:00,0,1639.74,6.650
2017/04/24,18:00:00,0,1639.90,6.643
2017/04/24,18:15:00,0,1640.24,6.654
2017/04/24,18:30:00,0,1640.60,6.654
2017/04/24,18:45:00,0,1640.73,6.646
2017/04/24,19:00:00,0,1641.06,6.617
2017/04/24,19:15:00,0,1641.57,6.660
2017/04/24,19:30:00,0,1641.83,6.677
2017/04/24,19:45:00,0,1642.19,6.615
2017/04/24,20:00:00,0,1642.60,6.742
2017/04/24,20:15:00,0,1643.18,6.657
2017/04/24,20:30:00,0,1643.41,6.684
2017/04/24,20:45:00,0,1643.65,6.604
2017/04/24,21:00:00,0,1644.06,6.622
2017/04/24,21:15:00,0,1644.09,6.661
2017/04/24,21:30:00,0,1644.56,6.692
2017/04/24,21:45:00,0,1644.60,6.711
2017/04/24,22:00:00,0,1644.76,6.670
2017/04/24,22:15:00,0,1644.68,6.717
2017/04/24,22:30:00,0,1644.85,6.657
2017/04/24,22:45:00,0,1644.97,6.697
2017/04/24,23:00:00,0,1644.72,6.652
2017/04/24,23:15:00,0,1645.00,6.675
2017/04/24,23:30:00,0,1644.65,6.681
2017/04/24,23:45:00,0,1644.40,6.653
2017/04/25,00:00:00,0,1644.57,6.686
2017/04/25,00:15:00,0,1644.32,6.683
2017/04/25,00:30:00,0,1643.92,6.653
2017/04/25,00:45:00,0,1643.80,6.658
2017/04/25,01:00:00,0,1643.99,6.700
2017/04/25,01:15:00,0,1644.04,6.630
2017/04/25,01:30:00,0,1644.24,6.702
2017/04/25,01:45:00,0,1643.53,6.705
2017/04/25,02:00:00,0,1643.65,6.653
2017/04/25,02:15:00,0,1643.49,6.607
2017/04/25,02:30:00,0,1643.27,6.683
2017/04/25,02:45:00,0,1643.26,6.586
2017/04/25,03:00:00,0,1643.01,6.650
2017/04/25,03:15:00,0,1642.95,6.683
2017/04/25,03:30:00,0,1643.07,6.625
2017/04/25,03:45:00,0,1642.83,6.681
2017/04/25,04:00:00,0,1642.86,6.688
2017/04/25,04:15:00,0,1642.85,6.674
2017/04/25,04:30:00,0,1643.27,6.634
2017/04/25,04:45:00,0,1643.43,6.677
2017/04/25,05:00:00,0,1643.84,6.608
2017/04/25,05:15:00,0,1643.80,6.652
2017/04/25,05:30:00,0,1643.86,6.671
2017/04/25,05:45:00,0,1644.30,6.686
2017/04/25,06:00:00,0,1644.80,6.591
2017/04/25,06:15:00,0,1645.33,6.690
2017/04/25,06:30:00,0,1646.04,6.729
2017/04/25,06:45:00,0,1646.58,6.745
2017/04/25,07:00:00,0,1647.14,6.682
2017/04/25,07:15:00,0,1647.63,6.654
2017/04/25,07:30:00,0,1648.13,6.716
2017/04/25,07:45:00,0,1648.48,6.727
2017/04/25,08:00:00,0,1648.67,6.678
2017/04/25,08:15:00,0,1649.02,6.656
2017/04/25,08:30:00,0,1649.25,6.660
2017/04/25,08:45:00,0,1649.17,6.647
2017/04/25,09:00:00,0,1649.04,6.639
2017/04/25,09:15:00,0,1648.94,6.666
2017/04/25,09:30:00,0,1648.85,6.670
2017/04/25,09:45:00,0,1648.81,6.638
2017/04/25,10:00:00,0,1648.63,6.612
2017/04/25,10:15:00,0,1648.49,6.742
2017/04/25,10:30:00,0,1648.24,6.657
2017/04/25,10:45:00,0,1648.02,6.634
2017/04/25,11:00:00,0,1647.84,6.650
2017/04/25,11:15:00,0,1647.60,6.653
2017/04/25,11:30:00,0,1647.23,6.658
2017/04/25,11:45:00,0,1646.90,6.664
2017/04/25,12:00:00,0,1646.65,6.575
2017/04/25,12:15:00,0,1645.96,6.630
2017/04/25,12:30:00,0,1645.52,6.662
2017/04/25,12:45:00,0,1645.07,6.685
2017/04/25,13:00:00,0,1644.78,6.651
2017/04/25,13:15:00,0,1644.37,6.623
2017/04/25,13:30:00,0,1643.75,6.674
2017/04/25,13:45:00,0,1643.31,6.712
2017/04/25,14:00:00,0,1643.10,6.744
2017/04/25,14:15:00,0,1642.75,6.674
2017/04/25,14:30:00,0,1642.38,6.697
2017/04/25,14:45:00,0,1641.74,6.680
2017/04/25,15:00:00,0,1641.37,6.677
2017/04/25,15:15:00,0,1640.95,6.704
2017/04/25,15:30:00,0,1640.53,6.652
2017/04/25,15:45:00,0,1640.11,6.730
2017/04/25,16:00:00,0,1639.81,6.651
2017/04/25,16:15:00,0,1639.25,6.632
2017/04/25,16:30:00,0,1638.84,6.671
2017/04/25,16:45:00,0,1638.77,6.643
2017/04/25,17:00:00,0,1638.53,6.625
2017/04/25,17:15:00,0,1638.44,6.674
2017/04/25,17:30:00,0,1638.47,6.681
2017/04/25,17:45:00,0,1638.59,6.733
2017/04/25,18:00:00,0,1638.82,6.717
2017/04/25,18:15:00,0,1639.27,6.689
2017/04/25,18:30:00,0,1639.56,6.714
2017/04/25,18:45:00,0,1639.77,6.627
2017/04/25,19:00:00,0,1640.19,6.671
2017/04/25,19:15:00,0,1640.85,6.611
2017/04/25,19:30:00,0,1641.02,6.707
2017/04/25,19:45:00,0,1641.63,6.727
2017/04/25,20:00:00,0,1641.98,6.688
2017/04/25,20:15:00,0,1642.34,6.687
2017/04/25,20:30:00,0,1642.62,6.680
2017/04/25,20:45:00,0,1642.94,6.701
2017/04/25,21:00:00,0,1643.23,6.670
2017/04/25,21:15:00,0,1643.25,6.656
2017/04/25,21:30:00,0,1643.35,6.621
2017/04/25,21:45:00,0,1643.10,6.653
2017/04/25,22:00:00,0,1642.86,6.630
2017/04/25,22:15:00,0,1642.87,6.717
2017/04/25,22:30:00,0,1642.74,6.629
2017/04/25,22:45:00,0,1642.51,6.654
2017/04/25,23:00:00,0,1642.38,6.641
2017/04/25,23:15:00,0,1642.11,6.643
2017/04/25,23:30:00,0,1641.89,6.576
2017/04/25,23:45:00,0,1641.80,6.624
2017/04/26,00:00:00,0,1641.71,6.708
2017/04/26,00:15:00,0,1641.52,6.687
2017/04/26,00:30:00,0,1641.06,6.636
2017/04/26,00:45:00,0,1640.78,6.632
2017/04/26,01:00:00,0,1640.50,6.629
2017/04/26,01:15:00,0,1640.01,6.683
2017/04/26,01:30:00,0,1639.60,6.664
2017/04/26,01:45:00,0,1639.23,6.618
2017/04/26,02:00:00,0,1638.79,6.596
2017/04/26,02:15:00,0,1638.41,6.648
2017/04/26,02:30:00,0,1637.96,6.656
2017/04/26,02:45:00,0,1637.40,6.714
2017/04/26,03:00:00,0,1637.00,6.679
2017/04/26,03:15:00,0,1636.59,6.602
2017/04/26,03:30:00,0,1636.25,6.690
2017/04/26,03:45:00,0,1635.93,6.661
2017/04/26,04:00:00,0,1635.66,6.626
2017/04/26,04:15:00,0,1635.35,6.596
2017/04/26,04:30:00,0,1635.10,6.677
2017/04/26,04:45:00,0,1634.83,6.606
2017/04/26,05:00:00,0,1634.87,6.676
2017/04/26,05:15:00,0,1634.88,6.645
2017/04/26,05:30:00,0,1635.04,6.658
2017/04/26,05:45:00,0,1635.38,6.680
2017/04/26,06:00:00,0,1635.71,6.689
2017/04/26,06:15:00,0,1635.86,6.605
2017/04/26,06:30:00,0,1636.41,6.655
2017/04/26,06:45:00,0,1637.21,6.682
2017/04/26,07:00:00,0,1638.04,6.612
2017/04/26,07:15:00,0,1638.57,6.689
2017/04/26,07:30:00,0,1639.27,6.679
2017/04/26,07:45:00,0,1639.94,6.615
2017/04/26,08:00:00,0,1640.30,6.676
2017/04/26,08:15:00,0,1640.75,6.639
2017/04/26,08:30:00,0,1641.37,6.662
2017/04/26,08:45:00,0,1641.68,6.617
2017/04/26,09:00:00,0,1642.17,6.640
2017/04/26,09:15:00,0,1642.36,6.641
2017/04/26,09:30:00,0,1642.94,6.662
2017/04/26,09:45:00,0,1642.91,6.609
2017/04/26,10:00:00,0,1643.03,6.600
2017/04/26,10:15:00,0,1642.98,6.598
2017/04/26,10:30:00,0,1642.98,6.644
2017/04/26,10:45:00,0,1643.11,6.551
2017/04/26,11:00:00,0,1642.94,6.666
2017/04/26,11:15:00,0,1642.77,6.649
2017/04/26,11:30:00,0,1642.59,6.648
2017/04/26,11:45:00,0,1642.54,6.646
2017/04/26,12:00:00,0,1642.41,6.591
2017/04/26,12:15:00,0,1642.16,6.636
2017/04/26,12:30:00,0,1642.20,6.649
2017/04/26,12:45:00,0,1642.17,6.657
2017/04/26,13:00:00,0,1642.08,6.677
2017/04/26,13:15:00,0,1641.74,6.589
2017/04/26,13:30:00,0,1641.42,6.617
2017/04/26,13:45:00,0,1641.12,6.558
2017/04/26,14:00:00,0,1640.96,6.608
2017/04/26,14:15:00,0,1640.69,6.589
2017/04/26,14:30:00,0,1640.33,6.620
2017/04/26,14:45:00,0,1640.02,6.596
2017/04/26,15:00:00,0,1639.47,6.638
2017/04/26,15:15:00,0,1639.01,6.669
2017/04/26,15:30:00,0,1638.78,6.551
2017/04/26,15:45:00,0,1638.46,6.616
2017/04/26,16:00:00,0,1638.19,6.619
2017/04/26,16:15:00,0,1638.03,6.678
2017/04/26,16:30:00,0,1637.81,6.670
2017/04/26,16:45:00,0,1637.66,6.660
2017/04/26,17:00:00,0,1637.46,6.619
2017/04/26,17:15:00,0,1637.25,6.650
2017/04/26,17:30:00,0,1637.10,6.656
2017/04/26,17:45:00,0,1636.96,6.623
2017/04/26,18:00:00,0,1637.04,6.663
2017/04/26,18:15:00,0,1637.12,6.700
2017/04/26,18:30:00,0,1637.38,6.663
2017/04/26,18:45:00,0,1637.81,6.649
2017/04/26,19:00:00,0,1638.26,6.609
2017/04/26,19:15:00,0,1638.65,6.618
2017/04/26,19:30:00,0,1639.19,6.714
2017/04/26,19:45:00,0,1639.70,6.710
2017/04/26,20:00:00,0,1640.35,6.666
2017/04/26,20:15:00,0,1640.78,6.646
2017/04/26,20:30:00,0,1641.60,6.638
2017/04/26,20:45:00,0,1642.23,6.690
2017/04/26,21:00:00,0,1642.79,6.614
2017/04/26,21:15:00,0,1643.22,6.640
2017/04/26,21:30:00,0,1643.51,6.658
2017/04/26,21:45:00,0,1643.97,6.638
2017/04/26,22:00:00,0,1644.20,6.619
2017/04/26,22:15:00,0,1644.59,6.593
2017/04/26,22:30:00,0,1644.71,6.591
2017/04/26,22:45:00,0,1644.84,6.598
2017/04/26,23:00:00,0,1644.72,6.588
2017/04/26,23:15:00,0,1644.73,6.582
2017/04/26,23:30:00,0,1644.62,6.651
2017/04/26,23:45:00,0,1644.56,6.594
2017/04/27,00:00:00,0,1644.39,6.669
2017/04/27,00:15:00,0,1644.41,6.706
2017/04/27,00:30:00,0,1644.33,6.580
2017/04/27,00:45:00,0,1644.31,6.681
2017/04/27,01:00:00,0,1644.18,6.672
2017/04/27,01:15:00,0,1644.16,6.619
2017/04/27,01:30:00,0,1643.85,6.577
2017/04/27,01:45:00,0,1643.66,6.668
2017/04/27,02:00:00,0,1643.24,6.660
2017/04/27,02:15:00,0,1643.04,6.702
2017/04/27,02:30:00,0,1642.88,6.639
2017/04/27,02:45:00,0,1642.92,6.693
2017/04/27,03:00:00,0,1642.49,6.668
2017/04/27,03:15:00,0,1642.02,6.670
2017/04/27,03:30:00,0,1641.68,6.630
2017/04/27,03:45:00,0,1641.35,6.597
2017/04/27,04:00:00,0,1641.11,6.581
2017/04/27,04:15:00,0,1640.91,6.707
2017/04/27,04:30:00,0,1640.88,6.626
2017/04/27,04:45:00,0,1640.99,6.695
2017/04/27,05:00:00,0,1641.06,6.645
2017/04/27,05:15:00,0,1641.09,6.549
2017/04/27,05:30:00,0,1641.41,6.650
2017/04/27,05:45:00,0,1641.63,6.627
2017/04/27,06:00:00,0,1642.10,6.597
2017/04/27,06:15:00,0,1642.73,6.642
2017/04/27,06:30:00,0,1643.62,6.672
2017/04/27,06:45:00,0,1645.01,6.663
2017/04/27,07:00:00,0,1646.21,6.633
2017/04/27,07:15:00,0,1647.71,6.597
2017/04/27,07:30:00,0,1648.64,6.706
2017/04/27,07:45:00,0,1649.76,6.603
2017/04/27,08:00:00,0,1650.73,6.628
2017/04/27,08:15:00,0,1651.76,6.639
2017/04/27,08:30:00,0,1653.01,6.655
2017/04/27,08:45:00,0,1653.73,6.645
2017/04/27,09:00:00,0,1654.57,6.634
2017/04/27,09:15:00,0,1655.34,6.666
2017/04/27,09:30:00,0,1655.74,6.630
2017/04/27,09:45:00,0,1656.21,6.669
2017/04/27,10:00:00,0,1656.71,6.691
2017/04/27,10:15:00,0,1657.16,6.691
2017/04/27,10:30:00,0,1657.57,6.618
2017/04/27,10:45:00,0,1657.80,6.664
2017/04/27,11:00:00,0,1657.88,6.690
2017/04/27,11:15:00,0,1657.65,6.586
2017/04/27,11:30:00,0,1657.71,6.551
2017/04/27,11:45:00,0,1657.72,6.577
2017/04/27,12:00:00,0,1657.71,6.650
2017/04/27,12:15:00,0,1657.70,6.582
2017/04/27,12:30:00,0,1657.48,6.655
2017/04/27,12:45:00,0,1657.73,6.656
2017/04/27,13:00:00,0,1657.36,6.629
2017/04/27,13:15:00,0,1657.18,6.623
2017/04/27,13:30:00,0,1657.21,6.656
2017/04/27,13:45:00,0,1656.88,6.661
2017/04/27,14:00:00,0,1656.67,6.626
2017/04/27,14:15:00,0,1656.31,6.644
2017/04/27,14:30:00,0,1655.89,6.677
2017/04/27,14:45:00,0,1655.51,6.694
2017/04/27,15:00:00,0,1655.27,6.632
2017/04/27,15:15:00,0,1655.06,6.625
2017/04/27,15:30:00,0,1654.61,6.695
2017/04/27,15:45:00,0,1654.10,6.640
2017/04/27,16:00:00,0,1653.75,6.692
2017/04/27,16:15:00,0,1653.44,6.647
2017/04/27,16:30:00,0,1653.07,6.556
2017/04/27,16:45:00,0,1652.79,6.642
2017/04/27,17:00:00,0,1652.29,6.631
2017/04/27,17:15:00,0,1651.86,6.660
2017/04/27,17:30:00,0,1651.83,6.621
2017/04/27,17:45:00,0,1651.70,6.627
2017/04/27,18:00:00,0,1651.49,6.516
2017/04/27,18:15:00,0,1651.40,6.687
2017/04/27,18:30:00,0,1651.69,6.625
2017/04/27,18:45:00,0,1651.75,6.643
2017/04/27,19:00:00,0,1651.71,6.661
2017/04/27,19:15:00,0,1651.83,6.648
2017/04/27,19:30:00,0,1651.99,6.657
2017/04/27,19:45:00,0,1652.21,6.574
2017/04/27,20:00:00,0,1652.88,6.698
2017/04/27,20:15:00,0,1653.70,6.692
2017/04/27,20:30:00,0,1654.26,6.678
2017/04/27,20:45:00,0,1654.89,6.674
2017/04/27,21:00:00,0,1655.78,6.649
2017/04/27,21:15:00,0,1656.02,6.629
2017/04/27,21:30:00,0,1656.58,6.672
2017/04/27,21:45:00,0,1656.80,6.638
2017/04/27,22:00:00,0,1657.33,6.626
2017/04/27,22:15:00,0,1657.89,6.587
2017/04/27,22:30:00,0,1658.06,6.644
2017/04/27,22:45:00,0,1658.18,6.586
2017/04/27,23:00:00,0,1657.84,6.556
2017/04/27,23:15:00,0,1657.76,6.578
2017/04/27,23:30:00,0,1657.87,6.641
2017/04/27,23:45:00,0,1658.08,6.637
2017/04/28,00:00:00,0,1657.53,6.651
2017/04/28,00:15:00,0,1657.46,6.616
2017/04/28,00:30:00,0,1657.39,6.651
2017/04/28,00:45:00,0,1657.45,6.682
2017/04/28,01:00:00,0,1657.31,6.701
2017/04/28,01:15:00,0,1657.41,6.685
2017/04/28,01:30:00,0,1656.80,6.632
2017/04/28,01:45:00,0,1656.48,6.670
2017/04/28,02:00:00,0,1656.40,6.599
2017/04/28,02:15:00,0,1655.83,6.623
2017/04/28,02:30:00,0,1655.69,6.686
2017/04/28,02:45:00,0,1655.35,6.603
2017/04/28,03:00:00,0,1654.76,6.686
2017/04/28,03:15:00,0,1654.25,6.606
2017/04/28,03:30:00,0,1654.10,6.646
2017/04/28,03:45:00,0,1653.73,6.634
2017/04/28,04:00:00,0,1652.86,6.639
2017/04/28,04:15:00,0,1652.34,6.697
2017/04/28,04:30:00,0,1652.50,6.660
2017/04/28,04:45:00,0,1652.08,6.581
2017/04/28,05:00:00,0,1651.80,6.642
2017/04/28,05:15:00,0,1651.50,6.575
2017/04/28,05:30:00,0,1651.49,6.603
2017/04/28,05:45:00,0,1651.27,6.588
2017/04/28,06:00:00,0,1651.24,6.599
2017/04/28,06:15:00,0,1651.38,6.649
2017/04/28,06:30:00,0,1651.55,6.667
2017/04/28,06:45:00,0,1651.82,6.657
2017/04/28,07:00:00,0,1652.77,6.667
2017/04/28,07:15:00,0,1670.77,6.639
2017/04/28,07:30:00,0,1687.06,6.606
2017/04/28,07:45:00,0,1690.03,6.663
2017/04/28,08:00:00,0,1690.78,6.559
2017/04/28,08:15:00,0,1691.41,6.656
2017/04/28,08:30:00,0,1691.82,6.641
