Serial_number:
2016368
Project ID:
02340007
Location:
St-Gilles
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/28,15:00:00,0,1862.09,8.035
2017/04/28,15:15:00,0,1862.04,8.059
2017/04/28,15:30:00,0,1862.06,8.061
2017/04/28,15:45:00,0,1861.95,8.023
2017/04/28,16:00:00,0,1861.99,8.047
2017/04/28,16:15:00,0,1862.00,8.055
2017/04/28,16:30:00,0,1862.08,8.069
2017/04/28,16:45:00,0,1862.34,8.032
2017/04/28,17:00:00,0,1862.37,8.043
2017/04/28,17:15:00,0,1862.83,8.073
2017/04/28,17:30:00,0,1863.00,8.044
2017/04/28,17:45:00,0,1862.99,8.075
2017/04/28,18:00:00,0,1862.99,8.038
2017/04/28,18:15:00,0,1863.05,8.088
2017/04/28,18:30:00,0,1863.04,8.045
2017/04/28,18:45:00,0,1863.03,8.083
2017/04/28,19:00:00,0,1863.07,8.066
2017/04/28,19:15:00,0,1863.10,8.017
2017/04/28,19:30:00,0,1863.03,8.085
2017/04/28,19:45:00,0,1863.02,8.055
2017/04/28,20:00:00,0,1863.29,8.068
2017/04/28,20:15:00,0,1863.49,8.094
2017/04/28,20:30:00,0,1863.51,8.102
2017/04/28,20:45:00,0,1863.60,8.078
2017/04/28,21:00:00,0,1863.61,8.042
2017/04/28,21:15:00,0,1863.61,8.057
2017/04/28,21:30:00,0,1863.71,8.052
2017/04/28,21:45:00,0,1863.52,8.071
2017/04/28,22:00:00,0,1863.41,8.070
2017/04/28,22:15:00,0,1863.38,8.028
2017/04/28,22:30:00,0,1863.28,8.046
2017/04/28,22:45:00,0,1863.20,8.054
2017/04/28,23:00:00,0,1863.11,8.033
2017/04/28,23:15:00,0,1863.02,8.108
2017/04/28,23:30:00,0,1862.91,8.119
2017/04/28,23:45:00,0,1862.90,8.053
2017/04/29,00:00:00,0,1862.62,8.061
2017/04/29,00:15:00,0,1862.63,8.033
2017/04/29,00:30:00,0,1862.60,8.048
2017/04/29,00:45:00,0,1862.47,8.067
2017/04/29,01:00:00,0,1862.51,8.076
2017/04/29,01:15:00,0,1862.17,8.064
2017/04/29,01:30:00,0,1862.03,8.049
2017/04/29,01:45:00,0,1861.95,8.056
2017/04/29,02:00:00,0,1862.05,8.087
2017/04/29,02:15:00,0,1861.52,8.041
2017/04/29,02:30:00,0,1861.41,8.083
2017/04/29,02:45:00,0,1861.28,8.067
2017/04/29,03:00:00,0,1861.21,8.050
2017/04/29,03:15:00,0,1860.86,8.051
2017/04/29,03:30:00,0,1860.94,8.042
2017/04/29,03:45:00,0,1860.65,8.059
2017/04/29,04:00:00,0,1860.66,8.044
2017/04/29,04:15:00,0,1860.76,8.074
2017/04/29,04:30:00,0,1860.85,8.077
2017/04/29,04:45:00,0,1861.02,8.048
2017/04/29,05:00:00,0,1860.30,8.036
