Serial_number:
2016372
Project ID:
02310002
Location:
Armagh
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,19:00:00,0,1659.95,4.799
2017/04/24,19:15:00,0,1659.93,4.806
2017/04/24,19:30:00,0,1660.17,4.800
2017/04/24,19:45:00,0,1660.11,4.789
2017/04/24,20:00:00,0,1660.09,4.777
2017/04/24,20:15:00,0,1660.28,4.826
2017/04/24,20:30:00,0,1660.40,4.806
2017/04/24,20:45:00,0,1660.49,4.795
2017/04/24,21:00:00,0,1660.61,4.784
2017/04/24,21:15:00,0,1660.50,4.789
2017/04/24,21:30:00,0,1660.40,4.808
2017/04/24,21:45:00,0,1660.43,4.800
2017/04/24,22:00:00,0,1660.59,4.758
2017/04/24,22:15:00,0,1660.46,4.778
2017/04/24,22:30:00,0,1660.51,4.806
2017/04/24,22:45:00,0,1660.36,4.799
2017/04/24,23:00:00,0,1660.40,4.795
2017/04/24,23:15:00,0,1660.16,4.753
2017/04/24,23:30:00,0,1660.21,4.830
2017/04/24,23:45:00,0,1660.36,4.768
2017/04/25,00:00:00,0,1660.29,4.799
2017/04/25,00:15:00,0,1660.43,4.784
2017/04/25,00:30:00,0,1660.33,4.798
2017/04/25,00:45:00,0,1660.27,4.791
2017/04/25,01:00:00,0,1660.36,4.777
2017/04/25,01:15:00,0,1660.71,4.779
2017/04/25,01:30:00,0,1660.93,4.782
2017/04/25,01:45:00,0,1660.64,4.809
2017/04/25,02:00:00,0,1660.82,4.799
2017/04/25,02:15:00,0,1660.74,4.789
2017/04/25,02:30:00,0,1660.78,4.808
2017/04/25,02:45:00,0,1660.84,4.794
2017/04/25,03:00:00,0,1660.90,4.795
2017/04/25,03:15:00,0,1660.93,4.745
2017/04/25,03:30:00,0,1660.96,4.754
2017/04/25,03:45:00,0,1660.89,4.788
2017/04/25,04:00:00,0,1660.81,4.770
2017/04/25,04:15:00,0,1660.91,4.766
2017/04/25,04:30:00,0,1661.07,4.759
2017/04/25,04:45:00,0,1661.01,4.776
2017/04/25,05:00:00,0,1661.00,4.765
2017/04/25,05:15:00,0,1661.05,4.797
2017/04/25,05:30:00,0,1661.16,4.768
2017/04/25,05:45:00,0,1661.17,4.779
2017/04/25,06:00:00,0,1661.16,4.778
2017/04/25,06:15:00,0,1661.43,4.788
2017/04/25,06:30:00,0,1661.38,4.801
2017/04/25,06:45:00,0,1661.15,4.781
2017/04/25,07:00:00,0,1661.23,4.795
2017/04/25,07:15:00,0,1661.15,4.789
2017/04/25,07:30:00,0,1661.20,4.792
2017/04/25,07:45:00,0,1661.11,4.800
2017/04/25,08:00:00,0,1661.03,4.798
