Serial_number:
2021349
Project ID:
BARO_02330003
Location:
BARO_St-Anselme
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/16,13:00:00,0,98.2936,7.013
2016/11/16,13:15:00,0,98.2825,7.016
2016/11/16,13:30:00,0,98.2843,7.041
2016/11/16,13:45:00,0,98.2805,7.018
2016/11/16,14:00:00,0,98.2717,7.023
2016/11/16,14:15:00,0,98.2658,7.040
2016/11/16,14:30:00,0,98.2618,7.044
2016/11/16,14:45:00,0,98.2726,7.028
2016/11/16,15:00:00,0,98.2781,7.038
2016/11/16,15:15:00,0,98.2906,7.028
2016/11/16,15:30:00,0,98.2871,7.021
2016/11/16,15:45:00,0,98.2953,7.018
2016/11/16,16:00:00,0,98.3051,7.029
2016/11/16,16:15:00,0,98.3083,7.033
2016/11/16,16:30:00,0,98.3266,7.030
2016/11/16,16:45:00,0,98.3387,7.008
2016/11/16,17:00:00,0,98.3345,7.017
2016/11/16,17:15:00,0,98.3427,7.019
2016/11/16,17:30:00,0,98.3319,6.999
2016/11/16,17:45:00,0,98.3370,7.015
2016/11/16,18:00:00,0,98.3480,7.003
2016/11/16,18:15:00,0,98.3882,6.994
2016/11/16,18:30:00,0,98.4153,7.010
2016/11/16,18:45:00,0,98.4327,6.990
2016/11/16,19:00:00,0,98.4386,6.989
2016/11/16,19:15:00,0,98.4466,7.004
2016/11/16,19:30:00,0,98.4680,6.999
2016/11/16,19:45:00,0,98.4886,6.991
2016/11/16,20:00:00,0,98.5087,6.993
2016/11/16,20:15:00,0,98.5286,6.983
2016/11/16,20:30:00,0,98.5626,6.997
2016/11/16,20:45:00,0,98.5727,7.005
2016/11/16,21:00:00,0,98.5794,7.005
2016/11/16,21:15:00,0,98.5795,7.006
2016/11/16,21:30:00,0,98.5926,6.976
2016/11/16,21:45:00,0,98.6040,6.991
2016/11/16,22:00:00,0,98.6126,6.983
2016/11/16,22:15:00,0,98.6231,6.981
2016/11/16,22:30:00,0,98.6214,6.987
2016/11/16,22:45:00,0,98.6464,6.991
2016/11/16,23:00:00,0,98.6568,6.999
2016/11/16,23:15:00,0,98.6532,7.014
2016/11/16,23:30:00,0,98.6473,6.991
2016/11/16,23:45:00,0,98.6589,6.999
2016/11/17,00:00:00,0,98.6572,7.006
2016/11/17,00:15:00,0,98.6590,6.990
2016/11/17,00:30:00,0,98.6611,6.990
2016/11/17,00:45:00,0,98.6733,6.985
2016/11/17,01:00:00,0,98.6771,7.014
2016/11/17,01:15:00,0,98.7137,7.011
2016/11/17,01:30:00,0,98.7358,6.997
2016/11/17,01:45:00,0,98.7537,6.988
2016/11/17,02:00:00,0,98.7595,7.001
2016/11/17,02:15:00,0,98.7678,7.001
2016/11/17,02:30:00,0,98.7624,6.995
2016/11/17,02:45:00,0,98.7732,6.999
2016/11/17,03:00:00,0,98.7795,7.017
2016/11/17,03:15:00,0,98.7871,7.020
2016/11/17,03:30:00,0,98.8109,7.014
2016/11/17,03:45:00,0,98.8377,7.013
2016/11/17,04:00:00,0,98.8467,7.004
2016/11/17,04:15:00,0,98.8638,7.011
2016/11/17,04:30:00,0,98.8739,7.002
2016/11/17,04:45:00,0,98.8856,7.005
2016/11/17,05:00:00,0,98.8844,6.993
2016/11/17,05:15:00,0,98.9044,6.984
2016/11/17,05:30:00,0,98.9336,6.983
2016/11/17,05:45:00,0,98.9643,6.990
2016/11/17,06:00:00,0,98.9870,6.999
2016/11/17,06:15:00,0,99.0117,7.012
2016/11/17,06:30:00,0,99.0476,7.009
2016/11/17,06:45:00,0,99.0767,7.000
2016/11/17,07:00:00,0,99.1008,6.989
2016/11/17,07:15:00,0,99.1333,6.996
2016/11/17,07:30:00,0,99.1445,7.001
2016/11/17,07:45:00,0,99.1571,6.995
2016/11/17,08:00:00,0,99.1634,6.984
2016/11/17,08:15:00,0,99.1758,6.998
2016/11/17,08:30:00,0,99.1840,7.016
2016/11/17,08:45:00,0,99.1919,7.009
2016/11/17,09:00:00,0,99.2078,7.016
2016/11/17,09:15:00,0,99.2312,7.013
2016/11/17,09:30:00,0,99.2610,7.009
2016/11/17,09:45:00,0,99.2768,7.012
2016/11/17,10:00:00,0,99.2985,7.010
2016/11/17,10:15:00,0,99.3133,6.986
2016/11/17,10:30:00,0,99.3151,6.998
2016/11/17,10:45:00,0,99.3199,7.013
2016/11/17,11:00:00,0,99.3188,7.030
2016/11/17,11:15:00,0,99.3002,7.034
2016/11/17,11:30:00,0,99.3094,7.018
2016/11/17,11:45:00,0,99.3267,7.032
2016/11/17,12:00:00,0,99.3287,7.014
2016/11/17,12:15:00,0,99.3377,7.015
2016/11/17,12:30:00,0,99.3513,7.021
2016/11/17,12:45:00,0,99.3648,7.023
2016/11/17,13:00:00,0,99.3431,7.038
2016/11/17,13:15:00,0,99.3339,7.040
2016/11/17,13:30:00,0,99.3561,7.017
