Serial_number:
2021392
Project ID:
02590001
Location:
St-Vallier
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/17,13:00:00,0,1594.05,7.681
2016/11/17,13:15:00,0,1594.02,7.680
2016/11/17,13:30:00,0,1594.07,7.680
2016/11/17,13:45:00,0,1594.29,7.681
2016/11/17,14:00:00,0,1594.33,7.681
2016/11/17,14:15:00,0,1594.53,7.681
2016/11/17,14:30:00,0,1594.48,7.682
2016/11/17,14:45:00,0,1594.76,7.681
2016/11/17,15:00:00,0,1595.09,7.681
2016/11/17,15:15:00,0,1595.07,7.680
2016/11/17,15:30:00,0,1595.24,7.679
2016/11/17,15:45:00,0,1595.43,7.679
2016/11/17,16:00:00,0,1595.66,7.678
2016/11/17,16:15:00,0,1595.98,7.679
2016/11/17,16:30:00,0,1596.16,7.678
2016/11/17,16:45:00,0,1596.18,7.678
2016/11/17,17:00:00,0,1596.40,7.679
2016/11/17,17:15:00,0,1596.38,7.678
2016/11/17,17:30:00,0,1596.52,7.678
2016/11/17,17:45:00,0,1596.72,7.678
2016/11/17,18:00:00,0,1596.95,7.678
2016/11/17,18:15:00,0,1597.18,7.677
2016/11/17,18:30:00,0,1597.41,7.678
2016/11/17,18:45:00,0,1597.70,7.678
2016/11/17,19:00:00,0,1597.92,7.678
2016/11/17,19:15:00,0,1598.10,7.678
2016/11/17,19:30:00,0,1598.28,7.677
2016/11/17,19:45:00,0,1598.33,7.678
2016/11/17,20:00:00,0,1598.55,7.678
2016/11/17,20:15:00,0,1598.93,7.678
2016/11/17,20:30:00,0,1599.06,7.678
2016/11/17,20:45:00,0,1599.14,7.678
2016/11/17,21:00:00,0,1599.29,7.678
2016/11/17,21:15:00,0,1599.37,7.678
2016/11/17,21:30:00,0,1599.34,7.677
2016/11/17,21:45:00,0,1599.29,7.678
2016/11/17,22:00:00,0,1599.14,7.677
2016/11/17,22:15:00,0,1599.06,7.677
2016/11/17,22:30:00,0,1599.05,7.678
2016/11/17,22:45:00,0,1599.34,7.677
2016/11/17,23:00:00,0,1599.40,7.678
2016/11/17,23:15:00,0,1599.37,7.678
2016/11/17,23:30:00,0,1599.41,7.678
2016/11/17,23:45:00,0,1599.26,7.679
2016/11/18,00:00:00,0,1599.47,7.679
2016/11/18,00:15:00,0,1599.37,7.680
2016/11/18,00:30:00,0,1599.51,7.679
2016/11/18,00:45:00,0,1599.46,7.679
2016/11/18,01:00:00,0,1599.49,7.679
2016/11/18,01:15:00,0,1599.55,7.679
2016/11/18,01:30:00,0,1599.56,7.680
2016/11/18,01:45:00,0,1599.44,7.680
2016/11/18,02:00:00,0,1599.51,7.680
2016/11/18,02:15:00,0,1599.64,7.679
2016/11/18,02:30:00,0,1599.59,7.679
2016/11/18,02:45:00,0,1599.78,7.679
2016/11/18,03:00:00,0,1599.97,7.679
2016/11/18,03:15:00,0,1599.97,7.679
2016/11/18,03:30:00,0,1599.98,7.679
2016/11/18,03:45:00,0,1600.24,7.680
2016/11/18,04:00:00,0,1600.35,7.679
2016/11/18,04:15:00,0,1600.46,7.679
2016/11/18,04:30:00,0,1600.58,7.680
2016/11/18,04:45:00,0,1600.72,7.679
2016/11/18,05:00:00,0,1600.68,7.679
2016/11/18,05:15:00,0,1600.91,7.679
2016/11/18,05:30:00,0,1601.05,7.679
2016/11/18,05:45:00,0,1601.27,7.678
2016/11/18,06:00:00,0,1601.60,7.678
2016/11/18,06:15:00,0,1601.67,7.678
2016/11/18,06:30:00,0,1601.84,7.678
2016/11/18,06:45:00,0,1601.87,7.678
2016/11/18,07:00:00,0,1602.18,7.679
2016/11/18,07:15:00,0,1602.29,7.677
2016/11/18,07:30:00,0,1602.54,7.678
2016/11/18,07:45:00,0,1602.55,7.678
2016/11/18,08:00:00,0,1602.73,7.678
2016/11/18,08:15:00,0,1602.85,7.678
2016/11/18,08:30:00,0,1602.93,7.678
2016/11/18,08:45:00,0,1603.06,7.677
2016/11/18,09:00:00,0,1603.24,7.677
2016/11/18,09:15:00,0,1603.41,7.677
2016/11/18,09:30:00,0,1603.62,7.677
2016/11/18,09:45:00,0,1603.66,7.678
2016/11/18,10:00:00,0,1603.86,7.678
2016/11/18,10:15:00,0,1603.88,7.677
2016/11/18,10:30:00,0,1603.50,7.678
2016/11/18,10:45:00,0,1603.74,7.678
2016/11/18,11:00:00,0,1603.46,7.678
2016/11/18,11:15:00,0,1602.83,7.678
2016/11/18,11:30:00,0,1602.86,7.678
2016/11/18,11:45:00,0,1602.89,7.679
2016/11/18,12:00:00,0,1602.83,7.678
