Serial_number:
2021394
Project ID:
02310003
Location:
Armagh_Depots_meubles
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/17,19:00:00,0,1480.77,10.047
2016/11/17,19:15:00,0,1480.87,10.047
2016/11/17,19:30:00,0,1480.83,10.047
2016/11/17,19:45:00,0,1481.08,10.045
2016/11/17,20:00:00,0,1481.06,10.045
2016/11/17,20:15:00,0,1480.97,10.045
2016/11/17,20:30:00,0,1481.10,10.045
2016/11/17,20:45:00,0,1481.13,10.043
2016/11/17,21:00:00,0,1481.05,10.044
2016/11/17,21:15:00,0,1481.07,10.043
2016/11/17,21:30:00,0,1480.93,10.043
2016/11/17,21:45:00,0,1480.90,10.043
2016/11/17,22:00:00,0,1480.80,10.042
2016/11/17,22:15:00,0,1480.69,10.042
2016/11/17,22:30:00,0,1480.49,10.041
2016/11/17,22:45:00,0,1480.32,10.041
2016/11/17,23:00:00,0,1480.43,10.040
2016/11/17,23:15:00,0,1480.67,10.040
2016/11/17,23:30:00,0,1480.34,10.040
2016/11/17,23:45:00,0,1480.37,10.039
2016/11/18,00:00:00,0,1480.19,10.039
2016/11/18,00:15:00,0,1480.28,10.038
2016/11/18,00:30:00,0,1480.06,10.038
2016/11/18,00:45:00,0,1480.15,10.038
2016/11/18,01:00:00,0,1480.24,10.037
2016/11/18,01:15:00,0,1480.20,10.037
2016/11/18,01:30:00,0,1480.04,10.037
2016/11/18,01:45:00,0,1480.09,10.036
2016/11/18,02:00:00,0,1480.07,10.035
2016/11/18,02:15:00,0,1480.00,10.036
2016/11/18,02:30:00,0,1480.03,10.035
2016/11/18,02:45:00,0,1480.19,10.035
2016/11/18,03:00:00,0,1480.12,10.035
2016/11/18,03:15:00,0,1480.21,10.035
2016/11/18,03:30:00,0,1480.35,10.034
2016/11/18,03:45:00,0,1480.43,10.034
2016/11/18,04:00:00,0,1480.51,10.033
2016/11/18,04:15:00,0,1480.63,10.033
2016/11/18,04:30:00,0,1480.90,10.032
2016/11/18,04:45:00,0,1480.72,10.032
2016/11/18,05:00:00,0,1480.84,10.032
2016/11/18,05:15:00,0,1480.81,10.031
2016/11/18,05:30:00,0,1480.90,10.031
