Serial_number:
2022010
Project ID:
02340008
Location:
Saint Georges
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,19:00:00,0,1912.48,7.890
2016/11/18,19:15:00,0,1912.31,7.890
2016/11/18,19:30:00,0,1912.24,7.889
2016/11/18,19:45:00,0,1911.93,7.889
2016/11/18,20:00:00,0,1911.74,7.889
2016/11/18,20:15:00,0,1911.55,7.890
2016/11/18,20:30:00,0,1911.34,7.890
2016/11/18,20:45:00,0,1911.16,7.890
2016/11/18,21:00:00,0,1910.88,7.890
2016/11/18,21:15:00,0,1910.43,7.890
2016/11/18,21:30:00,0,1910.20,7.891
2016/11/18,21:45:00,0,1909.99,7.890
2016/11/18,22:00:00,0,1909.57,7.891
2016/11/18,22:15:00,0,1909.23,7.890
2016/11/18,22:30:00,0,1909.13,7.890
2016/11/18,22:45:00,0,1908.84,7.890
2016/11/18,23:00:00,0,1908.54,7.889
2016/11/18,23:15:00,0,1908.58,7.889
2016/11/18,23:30:00,0,1908.23,7.889
2016/11/18,23:45:00,0,1907.86,7.888
2016/11/19,00:00:00,0,1907.52,7.888
2016/11/19,00:15:00,0,1906.96,7.888
2016/11/19,00:30:00,0,1906.77,7.887
2016/11/19,00:45:00,0,1906.35,7.888
2016/11/19,01:00:00,0,1906.03,7.888
2016/11/19,01:15:00,0,1905.68,7.887
2016/11/19,01:30:00,0,1905.28,7.887
2016/11/19,01:45:00,0,1905.13,7.887
2016/11/19,02:00:00,0,1904.93,7.887
2016/11/19,02:15:00,0,1904.62,7.888
2016/11/19,02:30:00,0,1904.28,7.888
2016/11/19,02:45:00,0,1903.95,7.887
2016/11/19,03:00:00,0,1903.74,7.888
2016/11/19,03:15:00,0,1903.29,7.887
2016/11/19,03:30:00,0,1902.71,7.887
2016/11/19,03:45:00,0,1902.15,7.887
2016/11/19,04:00:00,0,1901.97,7.888
2016/11/19,04:15:00,0,1901.62,7.888
2016/11/19,04:30:00,0,1901.24,7.888
2016/11/19,04:45:00,0,1900.85,7.888
2016/11/19,05:00:00,0,1900.65,7.888
2016/11/19,05:15:00,0,1900.16,7.888
2016/11/19,05:30:00,0,1899.67,7.888
2016/11/19,05:45:00,0,1899.49,7.888
2016/11/19,06:00:00,0,1899.28,7.889
2016/11/19,06:15:00,0,1898.93,7.888
2016/11/19,06:30:00,0,1898.52,7.888
2016/11/19,06:45:00,0,1898.08,7.888
2016/11/19,07:00:00,0,1897.85,7.888
2016/11/19,07:15:00,0,1897.45,7.888
2016/11/19,07:30:00,0,1897.00,7.888
2016/11/19,07:45:00,0,1896.66,7.888
2016/11/19,08:00:00,0,1896.12,7.888
2016/11/19,08:15:00,0,1895.90,7.888
2016/11/19,08:30:00,0,1895.32,7.889
2016/11/19,08:45:00,0,1894.83,7.888
2016/11/19,09:00:00,0,1894.36,7.889
2016/11/19,09:15:00,0,1894.00,7.889
2016/11/19,09:30:00,0,1893.57,7.889
2016/11/19,09:45:00,0,1893.04,7.889
2016/11/19,10:00:00,0,1892.55,7.889
2016/11/19,10:15:00,0,1892.14,7.889
2016/11/19,10:30:00,0,1891.50,7.889
2016/11/19,10:45:00,0,1890.94,7.889
2016/11/19,11:00:00,0,1890.25,7.889
2016/11/19,11:15:00,0,1889.70,7.890
2016/11/19,11:30:00,0,1889.00,7.889
2016/11/19,11:45:00,0,1888.40,7.889
2016/11/19,12:00:00,0,1887.79,7.889
