Serial_number:
2022011
Project ID:
02330003
Location:
St-Anselme
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/16,13:00:00,0,1614.73,5.391
2016/11/16,13:15:00,0,1614.77,5.389
2016/11/16,13:30:00,0,1614.83,5.390
2016/11/16,13:45:00,0,1614.92,5.392
2016/11/16,14:00:00,0,1614.85,5.391
2016/11/16,14:15:00,0,1614.94,5.391
2016/11/16,14:30:00,0,1614.92,5.391
2016/11/16,14:45:00,0,1615.12,5.391
2016/11/16,15:00:00,0,1615.26,5.389
2016/11/16,15:15:00,0,1615.41,5.389
2016/11/16,15:30:00,0,1615.42,5.389
2016/11/16,15:45:00,0,1615.59,5.390
2016/11/16,16:00:00,0,1615.80,5.391
2016/11/16,16:15:00,0,1615.85,5.391
2016/11/16,16:30:00,0,1616.07,5.390
2016/11/16,16:45:00,0,1616.28,5.390
2016/11/16,17:00:00,0,1616.32,5.392
2016/11/16,17:15:00,0,1616.48,5.392
2016/11/16,17:30:00,0,1616.47,5.391
2016/11/16,17:45:00,0,1616.51,5.391
2016/11/16,18:00:00,0,1616.70,5.392
2016/11/16,18:15:00,0,1617.12,5.392
2016/11/16,18:30:00,0,1617.40,5.392
2016/11/16,18:45:00,0,1617.55,5.392
2016/11/16,19:00:00,0,1617.61,5.392
2016/11/16,19:15:00,0,1617.66,5.393
2016/11/16,19:30:00,0,1617.85,5.394
2016/11/16,19:45:00,0,1618.00,5.393
2016/11/16,20:00:00,0,1618.14,5.394
2016/11/16,20:15:00,0,1618.29,5.393
2016/11/16,20:30:00,0,1618.53,5.395
2016/11/16,20:45:00,0,1618.60,5.393
2016/11/16,21:00:00,0,1618.61,5.393
2016/11/16,21:15:00,0,1618.56,5.395
2016/11/16,21:30:00,0,1618.65,5.395
2016/11/16,21:45:00,0,1618.65,5.396
2016/11/16,22:00:00,0,1618.73,5.395
2016/11/16,22:15:00,0,1618.77,5.395
2016/11/16,22:30:00,0,1618.72,5.395
2016/11/16,22:45:00,0,1618.92,5.394
2016/11/16,23:00:00,0,1619.02,5.395
2016/11/16,23:15:00,0,1618.95,5.395
2016/11/16,23:30:00,0,1618.86,5.395
2016/11/16,23:45:00,0,1618.97,5.395
2016/11/17,00:00:00,0,1618.98,5.396
