Serial_number:
2022020
Project ID:
02000007
Location:
Saint-Jean-Port-Joli
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,12:00:00,0,1808.97,7.815
2017/04/24,12:15:00,0,1808.66,7.803
2017/04/24,12:30:00,0,1808.66,7.830
2017/04/24,12:45:00,0,1808.54,7.839
2017/04/24,13:00:00,0,1808.40,7.844
2017/04/24,13:15:00,0,1808.34,7.828
2017/04/24,13:30:00,0,1808.25,7.857
2017/04/24,13:45:00,0,1808.14,7.822
2017/04/24,14:00:00,0,1807.98,7.837
2017/04/24,14:15:00,0,1807.96,7.857
2017/04/24,14:30:00,0,1807.89,7.849
2017/04/24,14:45:00,0,1808.01,7.896
2017/04/24,15:00:00,0,1807.73,7.854
2017/04/24,15:15:00,0,1807.69,7.835
2017/04/24,15:30:00,0,1807.76,7.854
2017/04/24,15:45:00,0,1807.64,7.840
2017/04/24,16:00:00,0,1807.60,7.836
2017/04/24,16:15:00,0,1807.47,7.865
2017/04/24,16:30:00,0,1807.47,7.868
2017/04/24,16:45:00,0,1807.33,7.849
2017/04/24,17:00:00,0,1807.19,7.855
2017/04/24,17:15:00,0,1807.18,7.867
2017/04/24,17:30:00,0,1807.07,7.834
2017/04/24,17:45:00,0,1807.20,7.842
2017/04/24,18:00:00,0,1807.07,7.846
2017/04/24,18:15:00,0,1807.17,7.869
2017/04/24,18:30:00,0,1807.24,7.857
2017/04/24,18:45:00,0,1807.25,7.826
2017/04/24,19:00:00,0,1807.37,7.826
2017/04/24,19:15:00,0,1807.37,7.853
2017/04/24,19:30:00,0,1807.37,7.828
2017/04/24,19:45:00,0,1807.46,7.850
2017/04/24,20:00:00,0,1807.93,7.812
2017/04/24,20:15:00,0,1808.46,7.840
2017/04/24,20:30:00,0,1808.75,7.848
2017/04/24,20:45:00,0,1808.77,7.876
2017/04/24,21:00:00,0,1809.17,7.853
2017/04/24,21:15:00,0,1809.22,7.837
