Serial_number:
2022144
Project ID:
BARO_02600001
Location:
BARO_L'Islet
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/24,11:00:00,0,102.0180,9.990
2017/04/24,11:15:00,0,101.9890,7.430
2017/04/24,11:30:00,0,101.9750,6.322
2017/04/24,11:45:00,0,101.9630,5.756
2017/04/24,12:00:00,0,101.9570,5.445
2017/04/24,12:15:00,0,101.9360,5.269
2017/04/24,12:30:00,0,101.9390,5.166
2017/04/24,12:45:00,0,101.9240,5.106
2017/04/24,13:00:00,0,101.9060,5.070
2017/04/24,13:15:00,0,101.9040,5.050
2017/04/24,13:30:00,0,101.9100,5.038
2017/04/24,13:45:00,0,101.8910,5.032
2017/04/24,14:00:00,0,101.8770,5.031
2017/04/24,14:15:00,0,101.8740,5.030
2017/04/24,14:30:00,0,101.8810,5.032
2017/04/24,14:45:00,0,101.8840,5.034
2017/04/24,15:00:00,0,101.8660,5.039
2017/04/24,15:15:00,0,101.8750,5.043
2017/04/24,15:30:00,0,101.8720,5.047
2017/04/24,15:45:00,0,101.8650,5.051
2017/04/24,16:00:00,0,101.8650,5.056
2017/04/24,16:15:00,0,101.8590,5.061
2017/04/24,16:30:00,0,101.8620,5.066
2017/04/24,16:45:00,0,101.8580,5.069
2017/04/24,17:00:00,0,101.8460,5.074
2017/04/24,17:15:00,0,101.8480,5.079
2017/04/24,17:30:00,0,101.8500,5.083
2017/04/24,17:45:00,0,101.8570,5.089
2017/04/24,18:00:00,0,101.8510,5.091
2017/04/24,18:15:00,0,101.8530,5.095
2017/04/24,18:30:00,0,101.8630,5.095
2017/04/24,18:45:00,0,101.8680,5.094
2017/04/24,19:00:00,0,101.8710,5.092
2017/04/24,19:15:00,0,101.8850,5.090
2017/04/24,19:30:00,0,101.8880,5.090
2017/04/24,19:45:00,0,101.9150,5.092
2017/04/24,20:00:00,0,101.9350,5.095
2017/04/24,20:15:00,0,102.0070,5.096
2017/04/24,20:30:00,0,102.0200,5.101
2017/04/24,20:45:00,0,102.0420,5.106
2017/04/24,21:00:00,0,102.0790,5.092
2017/04/24,21:15:00,0,102.0800,5.075
2017/04/24,21:30:00,0,102.1070,5.051
2017/04/24,21:45:00,0,102.1280,5.024
2017/04/24,22:00:00,0,102.1380,4.997
2017/04/24,22:15:00,0,102.1760,4.980
2017/04/24,22:30:00,0,102.1490,4.961
2017/04/24,22:45:00,0,102.1720,4.946
2017/04/24,23:00:00,0,102.1890,4.921
2017/04/24,23:15:00,0,102.2060,4.904
2017/04/24,23:30:00,0,102.1930,4.874
2017/04/24,23:45:00,0,102.2240,4.859
2017/04/25,00:00:00,0,102.2250,4.846
2017/04/25,00:15:00,0,102.2390,4.834
2017/04/25,00:30:00,0,102.2230,4.816
2017/04/25,00:45:00,0,102.2350,4.798
2017/04/25,01:00:00,0,102.2450,4.776
2017/04/25,01:15:00,0,102.2880,4.753
2017/04/25,01:30:00,0,102.3020,4.734
2017/04/25,01:45:00,0,102.3220,4.730
2017/04/25,02:00:00,0,102.3260,4.709
2017/04/25,02:15:00,0,102.3420,4.694
2017/04/25,02:30:00,0,102.3410,4.689
2017/04/25,02:45:00,0,102.3240,4.667
2017/04/25,03:00:00,0,102.3370,4.663
2017/04/25,03:15:00,0,102.3630,4.645
2017/04/25,03:30:00,0,102.3800,4.637
2017/04/25,03:45:00,0,102.3880,4.629
2017/04/25,04:00:00,0,102.4050,4.610
2017/04/25,04:15:00,0,102.4250,4.600
