Serial_number:
2022739
Project ID:
02400004
Location:
Thetford-Mines
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/04/28,11:00:00,0,1343.46,5.361
2017/04/28,11:15:00,0,1343.11,5.361
2017/04/28,11:30:00,0,1342.64,5.361
2017/04/28,11:45:00,0,1342.45,5.361
2017/04/28,12:00:00,0,1341.93,5.361
2017/04/28,12:15:00,0,1341.43,5.360
2017/04/28,12:30:00,0,1341.11,5.360
2017/04/28,12:45:00,0,1340.56,5.360
2017/04/28,13:00:00,0,1340.26,5.359
2017/04/28,13:15:00,0,1339.96,5.359
2017/04/28,13:30:00,0,1339.78,5.360
2017/04/28,13:45:00,0,1339.57,5.359
2017/04/28,14:00:00,0,1339.38,5.358
2017/04/28,14:15:00,0,1339.30,5.358
2017/04/28,14:30:00,0,1339.23,5.358
2017/04/28,14:45:00,0,1339.27,5.360
2017/04/28,15:00:00,0,1339.10,5.360
2017/04/28,15:15:00,0,1339.17,5.360
2017/04/28,15:30:00,0,1339.30,5.359
2017/04/28,15:45:00,0,1339.48,5.359
2017/04/28,16:00:00,0,1339.69,5.359
2017/04/28,16:15:00,0,1340.03,5.359
2017/04/28,16:30:00,0,1340.38,5.360
2017/04/28,16:45:00,0,1340.96,5.359
2017/04/28,17:00:00,0,1341.39,5.358
2017/04/28,17:15:00,0,1341.95,5.359
2017/04/28,17:30:00,0,1342.32,5.358
2017/04/28,17:45:00,0,1342.75,5.358
2017/04/28,18:00:00,0,1343.25,5.358
2017/04/28,18:15:00,0,1343.62,5.358
2017/04/28,18:30:00,0,1344.20,5.358
2017/04/28,18:45:00,0,1344.52,5.358
2017/04/28,19:00:00,0,1345.02,5.358
2017/04/28,19:15:00,0,1345.39,5.358
2017/04/28,19:30:00,0,1345.50,5.358
2017/04/28,19:45:00,0,1345.81,5.358
2017/04/28,20:00:00,0,1346.21,5.358
2017/04/28,20:15:00,0,1346.71,5.359
2017/04/28,20:30:00,0,1347.04,5.358
2017/04/28,20:45:00,0,1346.98,5.358
2017/04/28,21:00:00,0,1347.06,5.358
2017/04/28,21:15:00,0,1347.17,5.358
2017/04/28,21:30:00,0,1347.40,5.358
2017/04/28,21:45:00,0,1347.36,5.358
2017/04/28,22:00:00,0,1347.32,5.358
2017/04/28,22:15:00,0,1347.30,5.358
2017/04/28,22:30:00,0,1347.08,5.358
2017/04/28,22:45:00,0,1346.88,5.359
2017/04/28,23:00:00,0,1346.81,5.358
2017/04/28,23:15:00,0,1346.71,5.358
2017/04/28,23:30:00,0,1346.47,5.358
