Serial_number:
2022810
Project ID:
BARO_02340007
Location:
BARO_St-Gilles
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,13:00:00,0,100.4930,8.631
2016/11/18,13:15:00,0,100.4690,8.863
2016/11/18,13:30:00,0,100.4430,9.065
2016/11/18,13:45:00,0,100.4660,9.719
2016/11/18,14:00:00,0,100.4460,9.708
2016/11/18,14:15:00,0,100.4280,10.075
2016/11/18,14:30:00,0,100.3880,11.130
2016/11/18,14:45:00,0,100.4060,11.899
2016/11/18,15:00:00,0,100.4300,11.902
2016/11/18,15:15:00,0,100.4350,11.707
2016/11/18,15:30:00,0,100.4550,11.056
2016/11/18,15:45:00,0,100.4390,10.088
2016/11/18,16:00:00,0,100.4460,9.082
2016/11/18,16:15:00,0,100.4520,8.081
2016/11/18,16:30:00,0,100.4740,7.162
2016/11/18,16:45:00,0,100.4640,6.482
2016/11/18,17:00:00,0,100.4600,6.046
2016/11/18,17:15:00,0,100.4590,5.666
2016/11/18,17:30:00,0,100.4560,5.297
2016/11/18,17:45:00,0,100.4760,4.972
2016/11/18,18:00:00,0,100.4560,4.624
2016/11/18,18:15:00,0,100.4530,4.435
2016/11/18,18:30:00,0,100.4510,4.110
2016/11/18,18:45:00,0,100.4530,4.015
2016/11/18,19:00:00,0,100.4510,3.791
2016/11/18,19:15:00,0,100.4630,3.613
2016/11/18,19:30:00,0,100.4700,3.431
2016/11/18,19:45:00,0,100.4670,3.328
2016/11/18,20:00:00,0,100.4630,3.219
2016/11/18,20:15:00,0,100.4610,3.216
2016/11/18,20:30:00,0,100.4520,3.386
2016/11/18,20:45:00,0,100.4390,3.546
2016/11/18,21:00:00,0,100.4330,3.615
2016/11/18,21:15:00,0,100.4360,3.555
2016/11/18,21:30:00,0,100.4340,3.412
2016/11/18,21:45:00,0,100.4400,3.339
2016/11/18,22:00:00,0,100.4380,3.667
2016/11/18,22:15:00,0,100.4330,3.970
2016/11/18,22:30:00,0,100.4220,4.385
2016/11/18,22:45:00,0,100.4300,4.526
2016/11/18,23:00:00,0,100.4000,4.710
2016/11/18,23:15:00,0,100.3870,4.751
2016/11/18,23:30:00,0,100.3820,4.775
2016/11/18,23:45:00,0,100.3750,4.851
2016/11/19,00:00:00,0,100.3600,4.818
2016/11/19,00:15:00,0,100.3470,4.786
2016/11/19,00:30:00,0,100.3360,4.834
2016/11/19,00:45:00,0,100.3040,4.815
2016/11/19,01:00:00,0,100.2830,4.793
2016/11/19,01:15:00,0,100.2930,4.821
2016/11/19,01:30:00,0,100.2920,4.969
2016/11/19,01:45:00,0,100.3240,4.947
2016/11/19,02:00:00,0,100.3300,4.966
2016/11/19,02:15:00,0,100.3180,4.928
2016/11/19,02:30:00,0,100.3080,5.013
2016/11/19,02:45:00,0,100.2860,5.075
2016/11/19,03:00:00,0,100.2640,5.043
2016/11/19,03:15:00,0,100.2430,4.982
2016/11/19,03:30:00,0,100.2180,4.882
2016/11/19,03:45:00,0,100.1990,4.837
2016/11/19,04:00:00,0,100.1970,4.905
2016/11/19,04:15:00,0,100.1920,4.949
2016/11/19,04:30:00,0,100.1780,4.965
2016/11/19,04:45:00,0,100.1640,5.011
2016/11/19,05:00:00,0,100.1620,4.969
2016/11/19,05:15:00,0,100.1680,4.920
2016/11/19,05:30:00,0,100.1720,4.933
2016/11/19,05:45:00,0,100.1670,4.838
2016/11/19,06:00:00,0,100.1500,4.745
2016/11/19,06:15:00,0,100.1390,4.696
2016/11/19,06:30:00,0,100.1360,4.669
2016/11/19,06:45:00,0,100.1340,4.792
2016/11/19,07:00:00,0,100.1130,4.752
2016/11/19,07:15:00,0,100.1020,4.753
2016/11/19,07:30:00,0,100.0960,4.779
2016/11/19,07:45:00,0,100.0920,4.904
2016/11/19,08:00:00,0,100.0700,4.976
2016/11/19,08:15:00,0,100.0650,5.157
2016/11/19,08:30:00,0,100.0640,5.244
2016/11/19,08:45:00,0,100.0510,5.403
2016/11/19,09:00:00,0,100.0280,5.521
2016/11/19,09:15:00,0,100.0210,5.652
2016/11/19,09:30:00,0,99.9980,5.848
2016/11/19,09:45:00,0,99.9822,6.084
2016/11/19,10:00:00,0,99.9455,6.368
2016/11/19,10:15:00,0,99.9156,6.715
2016/11/19,10:30:00,0,99.8747,7.604
2016/11/19,10:45:00,0,99.8275,8.620
2016/11/19,11:00:00,0,99.7825,9.138
2016/11/19,11:15:00,0,99.7399,10.140
2016/11/19,11:30:00,0,99.6884,10.830
2016/11/19,11:45:00,0,99.6542,11.211
2016/11/19,12:00:00,0,99.6070,11.349
2016/11/19,12:15:00,0,99.5739,11.300
2016/11/19,12:30:00,0,99.5473,11.031
2016/11/19,12:45:00,0,99.5243,10.694
2016/11/19,13:00:00,0,99.5003,10.745
2016/11/19,13:15:00,0,99.4888,10.799
2016/11/19,13:30:00,0,99.4731,10.608
2016/11/19,13:45:00,0,99.4581,10.133
2016/11/19,14:00:00,0,99.4294,9.262
2016/11/19,14:15:00,0,99.4126,8.494
2016/11/19,14:30:00,0,99.3951,7.975
2016/11/19,14:45:00,0,99.3907,7.412
2016/11/19,15:00:00,0,99.3816,6.959
2016/11/19,15:15:00,0,99.3735,6.680
2016/11/19,15:30:00,0,99.3676,6.386
2016/11/19,15:45:00,0,99.3656,6.104
2016/11/19,16:00:00,0,99.3557,5.861
2016/11/19,16:15:00,0,99.3476,5.629
2016/11/19,16:30:00,0,99.3349,5.544
2016/11/19,16:45:00,0,99.3245,5.419
