Serial_number:
2022817
Project ID:
BARO_02400004
Location:
BARO_Thetford-Mines
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,13:00:00,0,97.4671,5.480
2016/11/18,13:15:00,0,97.4687,5.490
2016/11/18,13:30:00,0,97.4344,5.507
2016/11/18,13:45:00,0,97.4180,5.529
2016/11/18,14:00:00,0,97.4090,5.583
2016/11/18,14:15:00,0,97.4080,5.682
2016/11/18,14:30:00,0,97.4107,5.818
2016/11/18,14:45:00,0,97.4022,5.953
2016/11/18,15:00:00,0,97.3984,6.076
2016/11/18,15:15:00,0,97.3983,6.170
2016/11/18,15:30:00,0,97.4117,6.233
2016/11/18,15:45:00,0,97.4176,6.264
2016/11/18,16:00:00,0,97.4364,6.247
2016/11/18,16:15:00,0,97.4299,6.188
2016/11/18,16:30:00,0,97.4145,6.095
2016/11/18,16:45:00,0,97.4044,5.888
2016/11/18,17:00:00,0,97.3970,5.611
2016/11/18,17:15:00,0,97.4079,5.339
2016/11/18,17:30:00,0,97.4287,5.058
2016/11/18,17:45:00,0,97.4262,4.855
2016/11/18,18:00:00,0,97.4365,4.662
2016/11/18,18:15:00,0,97.4336,4.506
2016/11/18,18:30:00,0,97.4233,4.436
2016/11/18,18:45:00,0,97.4278,4.350
2016/11/18,19:00:00,0,97.4188,4.321
2016/11/18,19:15:00,0,97.4336,4.294
2016/11/18,19:30:00,0,97.4344,4.324
2016/11/18,19:45:00,0,97.4287,4.373
2016/11/18,20:00:00,0,97.4300,4.393
2016/11/18,20:15:00,0,97.4185,4.451
2016/11/18,20:30:00,0,97.4146,4.486
2016/11/18,20:45:00,0,97.4007,4.507
2016/11/18,21:00:00,0,97.4022,4.506
2016/11/18,21:15:00,0,97.3949,4.498
2016/11/18,21:30:00,0,97.3919,4.510
2016/11/18,21:45:00,0,97.3789,4.481
2016/11/18,22:00:00,0,97.3741,4.455
2016/11/18,22:15:00,0,97.3673,4.442
2016/11/18,22:30:00,0,97.3628,4.419
2016/11/18,22:45:00,0,97.3619,4.379
2016/11/18,23:00:00,0,97.3642,4.312
2016/11/18,23:15:00,0,97.3541,4.293
2016/11/18,23:30:00,0,97.3509,4.260
2016/11/18,23:45:00,0,97.3276,4.252
2016/11/19,00:00:00,0,97.3222,4.219
2016/11/19,00:15:00,0,97.3061,4.193
2016/11/19,00:30:00,0,97.2901,4.176
2016/11/19,00:45:00,0,97.2671,4.129
2016/11/19,01:00:00,0,97.2561,4.105
2016/11/19,01:15:00,0,97.2509,4.052
2016/11/19,01:30:00,0,97.2548,4.029
2016/11/19,01:45:00,0,97.2758,3.976
2016/11/19,02:00:00,0,97.2869,3.958
2016/11/19,02:15:00,0,97.2987,3.962
2016/11/19,02:30:00,0,97.2831,3.959
2016/11/19,02:45:00,0,97.2637,3.942
2016/11/19,03:00:00,0,97.2400,3.951
2016/11/19,03:15:00,0,97.2087,3.915
2016/11/19,03:30:00,0,97.1821,3.891
2016/11/19,03:45:00,0,97.1582,3.827
2016/11/19,04:00:00,0,97.1427,3.757
2016/11/19,04:15:00,0,97.1474,3.682
2016/11/19,04:30:00,0,97.1656,3.615
2016/11/19,04:45:00,0,97.1700,3.597
2016/11/19,05:00:00,0,97.1492,3.600
2016/11/19,05:15:00,0,97.1420,3.586
