Serial_number:
2047275
Project ID:
02340006
Location:
Raymond Perron
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/11/18,19:00:00,0,1768.38,8.587
2016/11/18,19:15:00,0,1767.87,8.588
2016/11/18,19:30:00,0,1768.38,8.576
2016/11/18,19:45:00,0,1768.20,8.573
2016/11/18,20:00:00,0,1768.20,8.572
2016/11/18,20:15:00,0,1767.67,8.570
2016/11/18,20:30:00,0,1767.97,8.565
2016/11/18,20:45:00,0,1768.00,8.567
2016/11/18,21:00:00,0,1767.45,8.566
2016/11/18,21:15:00,0,1767.66,8.561
2016/11/18,21:30:00,0,1767.41,8.563
2016/11/18,21:45:00,0,1699.23,8.573
2016/11/18,22:00:00,0,1766.78,8.560
2016/11/18,22:15:00,0,1764.10,8.577
2016/11/18,22:30:00,0,1704.22,8.605
2016/11/18,22:45:00,0,1766.25,8.544
2016/11/18,23:00:00,0,1766.67,8.540
2016/11/18,23:15:00,0,1766.79,8.537
2016/11/18,23:30:00,0,1766.85,8.534
2016/11/18,23:45:00,0,1766.65,8.534
2016/11/19,00:00:00,0,1766.41,8.532
2016/11/19,00:15:00,0,1765.54,8.537
2016/11/19,00:30:00,0,1766.15,8.527
2016/11/19,00:45:00,0,1766.08,8.527
2016/11/19,01:00:00,0,1766.01,8.528
2016/11/19,01:15:00,0,1765.91,8.527
2016/11/19,01:30:00,0,1765.71,8.524
2016/11/19,01:45:00,0,1765.71,8.519
2016/11/19,02:00:00,0,1765.64,8.517
2016/11/19,02:15:00,0,1765.53,8.515
2016/11/19,02:30:00,0,1765.55,8.513
2016/11/19,02:45:00,0,1765.42,8.511
2016/11/19,03:00:00,0,1765.43,8.510
2016/11/19,03:15:00,0,1765.19,8.507
2016/11/19,03:30:00,0,1765.02,8.506
2016/11/19,03:45:00,0,1764.82,8.504
2016/11/19,04:00:00,0,1764.62,8.502
2016/11/19,04:15:00,0,1764.65,8.499
2016/11/19,04:30:00,0,1764.50,8.496
2016/11/19,04:45:00,0,1764.37,8.495
2016/11/19,05:00:00,0,1764.32,8.493
2016/11/19,05:15:00,0,1764.20,8.491
2016/11/19,05:30:00,0,1764.12,8.490
2016/11/19,05:45:00,0,1763.61,8.516
2016/11/19,06:00:00,0,1762.93,8.525
2016/11/19,06:15:00,0,1763.79,8.503
2016/11/19,06:30:00,0,1757.54,8.557
2016/11/19,06:45:00,0,1763.49,8.498
2016/11/19,07:00:00,0,1763.56,8.488
2016/11/19,07:15:00,0,1763.52,8.483
2016/11/19,07:30:00,0,1763.11,8.481
2016/11/19,07:45:00,0,1624.10,8.831
2016/11/19,08:00:00,0,1760.87,8.575
2016/11/19,08:15:00,0,1761.64,8.548
2016/11/19,08:30:00,0,1762.34,8.521
2016/11/19,08:45:00,0,1761.76,8.503
2016/11/19,09:00:00,0,1691.46,8.483
2016/11/19,09:15:00,0,1761.31,8.469
2016/11/19,09:30:00,0,1761.46,8.458
2016/11/19,09:45:00,0,1761.19,8.453
2016/11/19,10:00:00,0,1760.88,8.449
2016/11/19,10:15:00,0,1761.21,8.443
2016/11/19,10:30:00,0,1760.59,8.441
2016/11/19,10:45:00,0,1760.61,8.437
2016/11/19,11:00:00,0,1759.75,8.437
2016/11/19,11:15:00,0,1759.79,8.438
2016/11/19,11:30:00,0,1759.03,8.438
2016/11/19,11:45:00,0,1715.70,8.524
2016/11/19,12:00:00,0,1758.30,8.465
2016/11/19,12:15:00,0,1758.31,8.459
2016/11/19,12:30:00,0,1757.67,8.472
