Serial Number
	1016042
Project ID
	03037041
Location
	SAINT-PAUL-D'ABBOTSFORD
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		69        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-01,19:00:00,0,815.7681,8.572
2,2017-05-01,19:15:00,0,815.5140,8.599
3,2017-05-01,19:30:00,0,815.3030,8.583
4,2017-05-01,19:45:00,0,815.4460,8.598
5,2017-05-01,20:00:00,0,814.8120,8.615
6,2017-05-01,20:15:00,0,814.7150,8.607
7,2017-05-01,20:30:00,0,814.8361,8.577
8,2017-05-01,20:45:00,0,815.0280,8.602
9,2017-05-01,21:00:00,0,815.4401,8.622
10,2017-05-01,21:15:00,0,815.8580,8.569
11,2017-05-01,21:30:00,0,816.4410,8.579
12,2017-05-01,21:45:00,0,819.5720,8.571
13,2017-05-01,22:00:00,0,818.3491,8.572
14,2017-05-01,22:15:00,0,818.2850,8.558
15,2017-05-01,22:30:00,0,818.2620,8.552
16,2017-05-01,22:45:00,0,818.2010,8.623
17,2017-05-01,23:00:00,0,819.4290,8.625
18,2017-05-01,23:15:00,0,819.9750,8.662
19,2017-05-01,23:30:00,0,819.5391,8.610
20,2017-05-01,23:45:00,0,818.5100,8.596
21,2017-05-02,00:00:00,0,817.7180,8.661
22,2017-05-02,00:15:00,0,815.4791,8.635
23,2017-05-02,00:30:00,0,816.0410,8.573
24,2017-05-02,00:45:00,0,817.1561,8.598
25,2017-05-02,01:00:00,0,818.0261,8.615
26,2017-05-02,01:15:00,0,818.2170,8.610
27,2017-05-02,01:30:00,0,818.7830,8.635
28,2017-05-02,01:45:00,0,818.7421,8.642
29,2017-05-02,02:00:00,0,818.1350,8.584
30,2017-05-02,02:15:00,0,818.4310,8.643
31,2017-05-02,02:30:00,0,819.0961,8.588
32,2017-05-02,02:45:00,0,819.1021,8.576
33,2017-05-02,03:00:00,0,819.1520,8.563
34,2017-05-02,03:15:00,0,819.2700,8.574
35,2017-05-02,03:30:00,0,819.6030,8.630
36,2017-05-02,03:45:00,0,819.7501,8.614
37,2017-05-02,04:00:00,0,820.2040,8.609
38,2017-05-02,04:15:00,0,820.5560,8.659
39,2017-05-02,04:30:00,0,820.5090,8.581
40,2017-05-02,04:45:00,0,820.8420,8.646
41,2017-05-02,05:00:00,0,820.9191,8.598
42,2017-05-02,05:15:00,0,821.2090,8.579
43,2017-05-02,05:30:00,0,821.5250,8.646
44,2017-05-02,05:45:00,0,821.7120,8.623
45,2017-05-02,06:00:00,0,821.8400,8.622
46,2017-05-02,06:15:00,0,822.2230,8.576
47,2017-05-02,06:30:00,0,822.5421,8.621
48,2017-05-02,06:45:00,0,822.7490,8.585
49,2017-05-02,07:00:00,0,823.1700,8.587
50,2017-05-02,07:15:00,0,823.2551,8.538
51,2017-05-02,07:30:00,0,823.2220,8.582
52,2017-05-02,07:45:00,0,823.2120,8.580
53,2017-05-02,08:00:00,0,823.4191,8.573
54,2017-05-02,08:15:00,0,823.6171,8.563
55,2017-05-02,08:30:00,0,823.5261,8.568
56,2017-05-02,08:45:00,0,823.4070,8.552
57,2017-05-02,09:00:00,0,823.4431,8.598
58,2017-05-02,09:15:00,0,823.7410,8.609
59,2017-05-02,09:30:00,0,823.6520,8.580
60,2017-05-02,09:45:00,0,823.2531,8.632
61,2017-05-02,10:00:00,0,823.3491,8.594
62,2017-05-02,10:15:00,0,823.3060,8.606
63,2017-05-02,10:30:00,0,823.3101,8.620
64,2017-05-02,10:45:00,0,823.1721,8.605
65,2017-05-02,11:00:00,0,823.2670,8.621
66,2017-05-02,11:15:00,0,823.3541,8.617
67,2017-05-02,11:30:00,0,823.2610,8.638
68,2017-05-02,11:45:00,0,823.5220,8.584
69,2017-05-02,12:00:00,0,823.4041,8.597
70,2017-05-02,12:15:00,0,823.3781,8.560
71,2017-05-02,12:30:00,0,823.2540,8.636
72,2017-05-02,12:45:00,0,823.0800,8.616
73,2017-05-02,13:00:00,0,822.9500,8.594
74,2017-05-02,13:15:00,0,822.9520,8.640
75,2017-05-02,13:30:00,0,822.7900,8.600
76,2017-05-02,13:45:00,0,822.6630,8.569
77,2017-05-02,14:00:00,0,822.4141,8.555
78,2017-05-02,14:15:00,0,822.3260,8.617
79,2017-05-02,14:30:00,0,822.2780,8.591
80,2017-05-02,14:45:00,0,822.2770,8.636
81,2017-05-02,15:00:00,0,822.2250,8.579
82,2017-05-02,15:15:00,0,822.2670,8.576
