Serial Number
	1016043
Project ID
	03037031
Location
	ST-ALPHONSE
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		90        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,13:00:00,0,665.1310,8.148
2,2016-11-25,13:15:00,0,664.9850,8.149
3,2016-11-25,13:30:00,0,664.7810,8.149
4,2016-11-25,13:45:00,0,664.8020,8.148
5,2016-11-25,14:00:00,0,664.7921,8.147
6,2016-11-25,14:15:00,0,664.8030,8.148
7,2016-11-25,14:30:00,0,664.9730,8.147
8,2016-11-25,14:45:00,0,665.0010,8.146
9,2016-11-25,15:00:00,0,665.0570,8.146
10,2016-11-25,15:15:00,0,665.0530,8.146
11,2016-11-25,15:30:00,0,665.1151,8.146
12,2016-11-25,15:45:00,0,665.1480,8.146
13,2016-11-25,16:00:00,0,665.1721,8.146
14,2016-11-25,16:15:00,0,665.1310,8.146
15,2016-11-25,16:30:00,0,665.1900,8.146
16,2016-11-25,16:45:00,0,665.2200,8.145
17,2016-11-25,17:00:00,0,665.2880,8.145
18,2016-11-25,17:15:00,0,665.2761,8.145
19,2016-11-25,17:30:00,0,665.3170,8.143
20,2016-11-25,17:45:00,0,665.4301,8.142
21,2016-11-25,18:00:00,0,665.4880,8.142
22,2016-11-25,18:15:00,0,665.6040,8.141
23,2016-11-25,18:30:00,0,662.6801,8.141
24,2016-11-25,18:45:00,0,664.8510,8.140
25,2016-11-25,19:00:00,0,665.1420,8.141
26,2016-11-25,19:15:00,0,665.4370,8.142
27,2016-11-25,19:30:00,0,665.4620,8.141
28,2016-11-25,19:45:00,0,665.4000,8.141
29,2016-11-25,20:00:00,0,665.4840,8.140
30,2016-11-25,20:15:00,0,665.4410,8.141
31,2016-11-25,20:30:00,0,665.4130,8.142
32,2016-11-25,20:45:00,0,665.3361,8.140
33,2016-11-25,21:00:00,0,665.2560,8.141
34,2016-11-25,21:15:00,0,665.2430,8.140
35,2016-11-25,21:30:00,0,665.2560,8.141
36,2016-11-25,21:45:00,0,665.1900,8.140
37,2016-11-25,22:00:00,0,665.1210,8.139
38,2016-11-25,22:15:00,0,665.0421,8.140
39,2016-11-25,22:30:00,0,665.0891,8.140
40,2016-11-25,22:45:00,0,665.0830,8.140
41,2016-11-25,23:00:00,0,664.9920,8.143
42,2016-11-25,23:15:00,0,664.9540,8.143
43,2016-11-25,23:30:00,0,664.8980,8.141
44,2016-11-25,23:45:00,0,664.8680,8.141
45,2016-11-26,00:00:00,0,664.7480,8.141
46,2016-11-26,00:15:00,0,664.6100,8.142
47,2016-11-26,00:30:00,0,664.5400,8.141
48,2016-11-26,00:45:00,0,664.5291,8.142
49,2016-11-26,01:00:00,0,664.5330,8.142
50,2016-11-26,01:15:00,0,664.4771,8.141
51,2016-11-26,01:30:00,0,664.4550,8.140
52,2016-11-26,01:45:00,0,664.6310,8.139
53,2016-11-26,02:00:00,0,664.6721,8.139
54,2016-11-26,02:15:00,0,664.1740,8.138
55,2016-11-26,02:30:00,0,663.9120,8.140
56,2016-11-26,02:45:00,0,664.3900,8.140
57,2016-11-26,03:00:00,0,663.5300,8.140
58,2016-11-26,03:15:00,0,664.1520,8.140
59,2016-11-26,03:30:00,0,664.2711,8.139
60,2016-11-26,03:45:00,0,662.8020,8.140
61,2016-11-26,04:00:00,0,663.6140,8.139
62,2016-11-26,04:15:00,0,663.4901,8.139
