Serial Number
	1016043
Project ID
	03037031
Location
	ST-ALPHONSE
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		90        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,788.5781,7.909
2,2017-05-03,13:15:00,0,788.8370,7.869
3,2017-05-03,13:30:00,0,789.1201,7.933
4,2017-05-03,13:45:00,0,789.3580,7.885
5,2017-05-03,14:00:00,0,789.7271,7.921
6,2017-05-03,14:15:00,0,790.1110,7.917
7,2017-05-03,14:30:00,0,790.3101,7.938
8,2017-05-03,14:45:00,0,790.5560,7.866
9,2017-05-03,15:00:00,0,790.8530,7.899
10,2017-05-03,15:15:00,0,791.0551,7.920
11,2017-05-03,15:30:00,0,791.2711,7.916
12,2017-05-03,15:45:00,0,791.4401,7.922
13,2017-05-03,16:00:00,0,791.5811,7.904
14,2017-05-03,16:15:00,0,791.7230,7.921
15,2017-05-03,16:30:00,0,791.8580,7.922
16,2017-05-03,16:45:00,0,790.3240,7.900
17,2017-05-03,17:00:00,0,792.0580,7.902
18,2017-05-03,17:15:00,0,792.3460,7.918
19,2017-05-03,17:30:00,0,792.5891,7.900
20,2017-05-03,17:45:00,0,791.7900,7.882
21,2017-05-03,18:00:00,0,792.6790,7.900
22,2017-05-03,18:15:00,0,793.1851,7.919
23,2017-05-03,18:30:00,0,790.7820,7.884
24,2017-05-03,18:45:00,0,793.2090,7.868
25,2017-05-03,19:00:00,0,793.7811,7.913
26,2017-05-03,19:15:00,0,793.9641,7.900
27,2017-05-03,19:30:00,0,794.2180,7.919
28,2017-05-03,19:45:00,0,794.4470,7.903
29,2017-05-03,20:00:00,0,794.2841,7.900
30,2017-05-03,20:15:00,0,794.8200,7.857
31,2017-05-03,20:30:00,0,795.1100,7.898
32,2017-05-03,20:45:00,0,795.3911,7.892
33,2017-05-03,21:00:00,0,795.6411,7.886
34,2017-05-03,21:15:00,0,795.7280,7.929
35,2017-05-03,21:30:00,0,796.1090,7.908
36,2017-05-03,21:45:00,0,796.4230,7.881
37,2017-05-03,22:00:00,0,796.6530,7.884
38,2017-05-03,22:15:00,0,796.9680,7.905
39,2017-05-03,22:30:00,0,797.3361,7.893
40,2017-05-03,22:45:00,0,797.4611,7.916
41,2017-05-03,23:00:00,0,797.8980,7.875
42,2017-05-03,23:15:00,0,798.3690,7.876
43,2017-05-03,23:30:00,0,798.7930,7.906
44,2017-05-03,23:45:00,0,798.8870,7.890
45,2017-05-04,00:00:00,0,799.1511,7.886
46,2017-05-04,00:15:00,0,799.2100,7.899
47,2017-05-04,00:30:00,0,799.4540,7.884
48,2017-05-04,00:45:00,0,799.6440,7.890
49,2017-05-04,01:00:00,0,799.7631,7.887
50,2017-05-04,01:15:00,0,799.8590,7.926
51,2017-05-04,01:30:00,0,799.9661,7.899
52,2017-05-04,01:45:00,0,800.0620,7.915
53,2017-05-04,02:00:00,0,800.3940,7.923
54,2017-05-04,02:15:00,0,800.5900,7.904
55,2017-05-04,02:30:00,0,800.7811,7.917
56,2017-05-04,02:45:00,0,800.9070,7.901
57,2017-05-04,03:00:00,0,801.0280,7.880
58,2017-05-04,03:15:00,0,801.0430,7.921
59,2017-05-04,03:30:00,0,800.9850,7.877
60,2017-05-04,03:45:00,0,801.0320,7.876
61,2017-05-04,04:00:00,0,801.0280,7.900
62,2017-05-04,04:15:00,0,801.1760,7.921
63,2017-05-04,04:30:00,0,801.1860,7.920
64,2017-05-04,04:45:00,0,801.2761,7.917
65,2017-05-04,05:00:00,0,801.2960,7.902
66,2017-05-04,05:15:00,0,801.4830,7.923
67,2017-05-04,05:30:00,0,800.3400,7.910
68,2017-05-04,05:45:00,0,801.6390,7.920
