Serial Number
	1016394
Project ID
	BARO 03037031
Location
	BARO_ST-ALPHONSE
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		90        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,13:00:00,0,89.1000,4.423
2,2016-11-25,13:15:00,0,88.9345,4.413
3,2016-11-25,13:30:00,0,88.7240,4.428
4,2016-11-25,13:45:00,0,88.7457,4.462
5,2016-11-25,14:00:00,0,88.7497,4.438
6,2016-11-25,14:15:00,0,88.8391,4.436
7,2016-11-25,14:30:00,0,88.9404,4.440
8,2016-11-25,14:45:00,0,88.9715,4.413
9,2016-11-25,15:00:00,0,89.0118,4.366
10,2016-11-25,15:15:00,0,89.0204,4.358
11,2016-11-25,15:30:00,0,89.0785,4.294
12,2016-11-25,15:45:00,0,89.0582,4.264
13,2016-11-25,16:00:00,0,89.0847,4.260
14,2016-11-25,16:15:00,0,89.0939,4.200
15,2016-11-25,16:30:00,0,89.1555,4.176
16,2016-11-25,16:45:00,0,89.1652,4.149
17,2016-11-25,17:00:00,0,89.2167,4.099
18,2016-11-25,17:15:00,0,89.2389,4.078
19,2016-11-25,17:30:00,0,89.2795,4.088
20,2016-11-25,17:45:00,0,89.4079,4.089
21,2016-11-25,18:00:00,0,89.4396,4.091
22,2016-11-25,18:15:00,0,89.5731,4.058
23,2016-11-25,18:30:00,0,89.5849,4.029
24,2016-11-25,18:45:00,0,89.5825,4.070
25,2016-11-25,19:00:00,0,89.6015,4.046
26,2016-11-25,19:15:00,0,89.6216,4.030
27,2016-11-25,19:30:00,0,89.5329,4.064
28,2016-11-25,19:45:00,0,89.4685,4.080
29,2016-11-25,20:00:00,0,89.4961,4.070
30,2016-11-25,20:15:00,0,89.4087,4.046
31,2016-11-25,20:30:00,0,89.3733,4.013
32,2016-11-25,20:45:00,0,89.2585,4.027
33,2016-11-25,21:00:00,0,89.1440,4.052
34,2016-11-25,21:15:00,0,89.1370,4.054
35,2016-11-25,21:30:00,0,89.1306,4.021
36,2016-11-25,21:45:00,0,89.0340,4.040
37,2016-11-25,22:00:00,0,88.9326,4.007
38,2016-11-25,22:15:00,0,88.8240,4.020
39,2016-11-25,22:30:00,0,88.9112,4.035
40,2016-11-25,22:45:00,0,88.8753,3.993
41,2016-11-25,23:00:00,0,88.7661,4.030
42,2016-11-25,23:15:00,0,88.6942,3.997
43,2016-11-25,23:30:00,0,88.6483,4.009
44,2016-11-25,23:45:00,0,88.6113,3.952
45,2016-11-26,00:00:00,0,88.4767,3.947
46,2016-11-26,00:15:00,0,88.2989,3.983
47,2016-11-26,00:30:00,0,88.1916,3.966
48,2016-11-26,00:45:00,0,88.1785,3.987
49,2016-11-26,01:00:00,0,88.1635,3.984
50,2016-11-26,01:15:00,0,88.0883,3.972
51,2016-11-26,01:30:00,0,88.0969,3.989
52,2016-11-26,01:45:00,0,88.2795,3.978
53,2016-11-26,02:00:00,0,88.3356,3.975
54,2016-11-26,02:15:00,0,88.4652,3.965
55,2016-11-26,02:30:00,0,88.3799,3.940
56,2016-11-26,02:45:00,0,88.2110,3.908
57,2016-11-26,03:00:00,0,88.0734,3.948
58,2016-11-26,03:15:00,0,88.0084,3.953
59,2016-11-26,03:30:00,0,87.9760,3.973
60,2016-11-26,03:45:00,0,87.8823,3.934
61,2016-11-26,04:00:00,0,87.8003,3.891
62,2016-11-26,04:15:00,0,87.6238,3.910
63,2016-11-26,04:30:00,0,87.6306,3.933
64,2016-11-26,04:45:00,0,87.6729,3.946
65,2016-11-26,05:00:00,0,87.7013,3.940
66,2016-11-26,05:15:00,0,87.9422,3.921
67,2016-11-26,05:30:00,0,87.8052,3.934
68,2016-11-26,05:45:00,0,88.0463,3.917
69,2016-11-26,06:00:00,0,87.9618,3.899
70,2016-11-26,06:15:00,0,87.8320,3.876
71,2016-11-26,06:30:00,0,87.7638,3.878
72,2016-11-26,06:45:00,0,87.7096,3.875
73,2016-11-26,07:00:00,0,87.6925,3.859
74,2016-11-26,07:15:00,0,87.6721,3.880
75,2016-11-26,07:30:00,0,87.6960,3.874
76,2016-11-26,07:45:00,0,87.7343,3.889
77,2016-11-26,08:00:00,0,87.5603,3.914
78,2016-11-26,08:15:00,0,87.5039,3.975
79,2016-11-26,08:30:00,0,87.3586,4.013
80,2016-11-26,08:45:00,0,87.3720,4.060
81,2016-11-26,09:00:00,0,87.4200,4.099
82,2016-11-26,09:15:00,0,87.4866,4.151
83,2016-11-26,09:30:00,0,87.5461,4.170
84,2016-11-26,09:45:00,0,87.5332,4.192
85,2016-11-26,10:00:00,0,87.5005,4.184
86,2016-11-26,10:15:00,0,87.4222,4.199
87,2016-11-26,10:30:00,0,87.2537,4.203
88,2016-11-26,10:45:00,0,87.0821,4.221
89,2016-11-26,11:00:00,0,86.8692,4.227
90,2016-11-26,11:15:00,0,86.6784,4.256
91,2016-11-26,11:30:00,0,86.6176,4.281
92,2016-11-26,11:45:00,0,86.5151,4.296
93,2016-11-26,12:00:00,0,86.4223,4.307
94,2016-11-26,12:15:00,0,86.3542,4.303
95,2016-11-26,12:30:00,0,86.2512,4.309
96,2016-11-26,12:45:00,0,86.1525,4.321
97,2016-11-26,13:00:00,0,86.0637,4.307
98,2016-11-26,13:15:00,0,86.0610,4.291
99,2016-11-26,13:30:00,0,86.0648,4.271
100,2016-11-26,13:45:00,0,86.0321,4.248
101,2016-11-26,14:00:00,0,86.0847,4.286
102,2016-11-26,14:15:00,0,86.1184,4.278
103,2016-11-26,14:30:00,0,86.3056,4.255
104,2016-11-26,14:45:00,0,86.4837,4.218
105,2016-11-26,15:00:00,0,86.5781,4.188
106,2016-11-26,15:15:00,0,86.6572,4.179
107,2016-11-26,15:30:00,0,86.8217,4.149
108,2016-11-26,15:45:00,0,86.9306,4.109
109,2016-11-26,16:00:00,0,87.0408,4.049
