Serial Number
	1021781
Project ID
	03037071
Location
	Ste-Christine
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		170       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-23,19:00:00,0,789.8710,7.374
2,2016-11-23,19:15:00,0,790.0601,7.375
3,2016-11-23,19:30:00,0,790.0110,7.374
4,2016-11-23,19:45:00,0,790.2241,7.375
5,2016-11-23,20:00:00,0,790.2730,7.375
6,2016-11-23,20:15:00,0,790.3710,7.375
7,2016-11-23,20:30:00,0,790.4771,7.376
8,2016-11-23,20:45:00,0,790.5421,7.375
9,2016-11-23,21:00:00,0,790.3840,7.376
10,2016-11-23,21:15:00,0,790.5700,7.376
11,2016-11-23,21:30:00,0,790.6591,7.376
12,2016-11-23,21:45:00,0,790.7510,7.376
13,2016-11-23,22:00:00,0,790.9340,7.377
14,2016-11-23,22:15:00,0,791.1220,7.377
15,2016-11-23,22:30:00,0,791.2050,7.377
16,2016-11-23,22:45:00,0,791.2900,7.379
17,2016-11-23,23:00:00,0,791.3411,7.376
18,2016-11-23,23:15:00,0,791.2980,7.378
19,2016-11-23,23:30:00,0,791.3621,7.378
20,2016-11-23,23:45:00,0,791.2850,7.379
21,2016-11-24,00:00:00,0,791.3051,7.379
22,2016-11-24,00:15:00,0,791.4141,7.379
23,2016-11-24,00:30:00,0,791.4061,7.379
24,2016-11-24,00:45:00,0,791.3260,7.379
25,2016-11-24,01:00:00,0,791.3110,7.380
26,2016-11-24,01:15:00,0,791.3550,7.380
27,2016-11-24,01:30:00,0,791.3521,7.379
28,2016-11-24,01:45:00,0,791.3051,7.380
29,2016-11-24,02:00:00,0,791.1730,7.380
30,2016-11-24,02:15:00,0,791.1230,7.380
31,2016-11-24,02:30:00,0,790.9840,7.380
32,2016-11-24,02:45:00,0,790.9691,7.380
33,2016-11-24,03:00:00,0,790.7650,7.379
34,2016-11-24,03:15:00,0,790.6461,7.382
35,2016-11-24,03:30:00,0,790.7371,7.382
36,2016-11-24,03:45:00,0,790.7520,7.382
37,2016-11-24,04:00:00,0,790.7321,7.382
38,2016-11-24,04:15:00,0,790.8460,7.382
39,2016-11-24,04:30:00,0,790.9020,7.382
40,2016-11-24,04:45:00,0,790.9141,7.382
41,2016-11-24,05:00:00,0,790.9360,7.383
42,2016-11-24,05:15:00,0,790.8730,7.382
43,2016-11-24,05:30:00,0,790.8881,7.383
44,2016-11-24,05:45:00,0,790.7990,7.382
45,2016-11-24,06:00:00,0,790.8810,7.384
46,2016-11-24,06:15:00,0,791.0740,7.384
47,2016-11-24,06:30:00,0,791.1931,7.384
48,2016-11-24,06:45:00,0,791.1610,7.384
49,2016-11-24,07:00:00,0,791.1931,7.383
50,2016-11-24,07:15:00,0,791.1671,7.384
51,2016-11-24,07:30:00,0,791.1561,7.385
52,2016-11-24,07:45:00,0,790.9880,7.385
53,2016-11-24,08:00:00,0,790.9550,7.385
54,2016-11-24,08:15:00,0,791.0100,7.386
55,2016-11-24,08:30:00,0,790.9630,7.385
