Serial Number
	1031923
Project ID
	03040005
Location
	Saint-Amable
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		42        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-24,19:00:00,0,604.3781,8.530
2,2016-11-24,19:15:00,0,604.4060,8.529
3,2016-11-24,19:30:00,0,604.4301,8.529
4,2016-11-24,19:45:00,0,604.3680,8.529
5,2016-11-24,20:00:00,0,604.3450,8.530
6,2016-11-24,20:15:00,0,604.3320,8.529
7,2016-11-24,20:30:00,0,604.3080,8.530
8,2016-11-24,20:45:00,0,604.2971,8.531
9,2016-11-24,21:00:00,0,604.2670,8.530
10,2016-11-24,21:15:00,0,604.2640,8.531
11,2016-11-24,21:30:00,0,604.1650,8.530
12,2016-11-24,21:45:00,0,604.1260,8.529
13,2016-11-24,22:00:00,0,604.0040,8.531
14,2016-11-24,22:15:00,0,604.1151,8.530
15,2016-11-24,22:30:00,0,604.2271,8.530
16,2016-11-24,22:45:00,0,604.2150,8.531
17,2016-11-24,23:00:00,0,604.2940,8.531
18,2016-11-24,23:15:00,0,604.4000,8.531
19,2016-11-24,23:30:00,0,604.3540,8.531
20,2016-11-24,23:45:00,0,604.2640,8.531
21,2016-11-25,00:00:00,0,604.1820,8.531
22,2016-11-25,00:15:00,0,604.2180,8.532
23,2016-11-25,00:30:00,0,604.1270,8.532
24,2016-11-25,00:45:00,0,604.0320,8.532
25,2016-11-25,01:00:00,0,604.0320,8.532
26,2016-11-25,01:15:00,0,604.1090,8.531
27,2016-11-25,01:30:00,0,604.1730,8.532
28,2016-11-25,01:45:00,0,604.2070,8.532
29,2016-11-25,02:00:00,0,604.2410,8.531
30,2016-11-25,02:15:00,0,604.2390,8.531
31,2016-11-25,02:30:00,0,604.2841,8.532
32,2016-11-25,02:45:00,0,604.4400,8.531
33,2016-11-25,03:00:00,0,604.5280,8.532
34,2016-11-25,03:15:00,0,604.5610,8.532
35,2016-11-25,03:30:00,0,604.4570,8.531
36,2016-11-25,03:45:00,0,604.4470,8.533
37,2016-11-25,04:00:00,0,604.3170,8.534
38,2016-11-25,04:15:00,0,604.1820,8.533
39,2016-11-25,04:30:00,0,604.2220,8.532
40,2016-11-25,04:45:00,0,604.2170,8.532
