Serial Number
	1031923
Project ID
	03040005
Location
	Saint-Amable
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		42        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,19:00:00,0,601.2451,8.238
2,2017-05-02,19:15:00,0,601.2620,8.252
3,2017-05-02,19:30:00,0,601.2661,8.223
4,2017-05-02,19:45:00,0,601.2490,8.266
5,2017-05-02,20:00:00,0,601.3400,8.237
6,2017-05-02,20:15:00,0,601.3880,8.270
7,2017-05-02,20:30:00,0,601.4410,8.228
8,2017-05-02,20:45:00,0,601.6370,8.239
9,2017-05-02,21:00:00,0,601.6770,8.236
10,2017-05-02,21:15:00,0,601.7300,8.263
11,2017-05-02,21:30:00,0,601.8800,8.256
12,2017-05-02,21:45:00,0,602.0610,8.246
13,2017-05-02,22:00:00,0,602.2250,8.249
14,2017-05-02,22:15:00,0,602.3720,8.237
15,2017-05-02,22:30:00,0,602.3290,8.239
16,2017-05-02,22:45:00,0,602.3620,8.257
17,2017-05-02,23:00:00,0,602.4431,8.266
18,2017-05-02,23:15:00,0,602.3330,8.243
19,2017-05-02,23:30:00,0,602.4270,8.246
20,2017-05-02,23:45:00,0,602.4470,8.242
21,2017-05-03,00:00:00,0,602.4750,8.267
22,2017-05-03,00:15:00,0,602.5500,8.248
23,2017-05-03,00:30:00,0,602.5990,8.226
24,2017-05-03,00:45:00,0,602.6190,8.239
25,2017-05-03,01:00:00,0,602.6230,8.237
26,2017-05-03,01:15:00,0,602.6411,8.228
27,2017-05-03,01:30:00,0,602.7120,8.240
28,2017-05-03,01:45:00,0,602.5900,8.276
29,2017-05-03,02:00:00,0,602.6411,8.245
30,2017-05-03,02:15:00,0,602.7020,8.232
31,2017-05-03,02:30:00,0,602.7900,8.233
32,2017-05-03,02:45:00,0,602.7531,8.222
33,2017-05-03,03:00:00,0,602.7440,8.262
34,2017-05-03,03:15:00,0,602.8120,8.234
35,2017-05-03,03:30:00,0,603.0211,8.273
36,2017-05-03,03:45:00,0,603.1281,8.237
37,2017-05-03,04:00:00,0,603.2890,8.253
38,2017-05-03,04:15:00,0,603.4340,8.269
39,2017-05-03,04:30:00,0,603.4670,8.260
40,2017-05-03,04:45:00,0,603.6660,8.263
41,2017-05-03,05:00:00,0,603.8250,8.270
42,2017-05-03,05:15:00,0,604.0100,8.250
43,2017-05-03,05:30:00,0,604.2360,8.260
44,2017-05-03,05:45:00,0,604.2200,8.242
45,2017-05-03,06:00:00,0,604.4070,8.270
46,2017-05-03,06:15:00,0,604.5880,8.255
47,2017-05-03,06:30:00,0,604.7500,8.239
48,2017-05-03,06:45:00,0,604.8920,8.246
49,2017-05-03,07:00:00,0,605.1790,8.238
50,2017-05-03,07:15:00,0,605.2990,8.246
51,2017-05-03,07:30:00,0,605.4710,8.251
52,2017-05-03,07:45:00,0,605.5240,8.273
53,2017-05-03,08:00:00,0,605.6450,8.270
54,2017-05-03,08:15:00,0,605.8620,8.255
55,2017-05-03,08:30:00,0,606.2240,8.249
56,2017-05-03,08:45:00,0,606.3360,8.259
57,2017-05-03,09:00:00,0,606.5341,8.220
58,2017-05-03,09:15:00,0,606.6660,8.271
59,2017-05-03,09:30:00,0,606.7690,8.247
