Serial Number
	1032416
Project ID
	03030015
Location
	Cowansville_PO-18-B
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		108       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-03,13:00:00,0,1233.5900,9.021
2,2017-05-03,13:15:00,0,1233.9500,9.022
3,2017-05-03,13:30:00,0,1234.1899,9.021
4,2017-05-03,13:45:00,0,1234.4099,9.022
5,2017-05-03,14:00:00,0,1234.7400,9.021
6,2017-05-03,14:15:00,0,1235.0599,9.021
7,2017-05-03,14:30:00,0,1235.2000,9.021
8,2017-05-03,14:45:00,0,1235.5599,9.021
9,2017-05-03,15:00:00,0,1235.7100,9.021
10,2017-05-03,15:15:00,0,1235.8199,9.021
11,2017-05-03,15:30:00,0,1236.0499,9.023
12,2017-05-03,15:45:00,0,1236.0499,9.021
13,2017-05-03,16:00:00,0,1236.1100,9.023
14,2017-05-03,16:15:00,0,1235.9800,9.022
15,2017-05-03,16:30:00,0,1236.1400,9.021
16,2017-05-03,16:45:00,0,1236.2400,9.021
17,2017-05-03,17:00:00,0,1236.4299,9.020
18,2017-05-03,17:15:00,0,1236.5200,9.020
19,2017-05-03,17:30:00,0,1236.6000,9.020
20,2017-05-03,17:45:00,0,1236.4900,9.018
21,2017-05-03,18:00:00,0,1236.8099,9.018
22,2017-05-03,18:15:00,0,1236.8800,9.016
23,2017-05-03,18:30:00,0,1237.1400,9.017
24,2017-05-03,18:45:00,0,1237.2600,9.016
25,2017-05-03,19:00:00,0,1237.5000,9.018
26,2017-05-03,19:15:00,0,1237.6200,9.017
27,2017-05-03,19:30:00,0,1237.7100,9.017
28,2017-05-03,19:45:00,0,1237.8900,9.018
29,2017-05-03,20:00:00,0,1238.0399,9.018
30,2017-05-03,20:15:00,0,1238.2400,9.017
31,2017-05-03,20:30:00,0,1238.4099,9.017
32,2017-05-03,20:45:00,0,1238.6200,9.016
33,2017-05-03,21:00:00,0,1238.8900,9.017
34,2017-05-03,21:15:00,0,1238.9399,9.016
35,2017-05-03,21:30:00,0,1239.2899,9.017
36,2017-05-03,21:45:00,0,1239.6300,9.017
37,2017-05-03,22:00:00,0,1239.7999,9.017
38,2017-05-03,22:15:00,0,1240.1300,9.017
39,2017-05-03,22:30:00,0,1240.3900,9.017
40,2017-05-03,22:45:00,0,1240.7700,9.017
41,2017-05-03,23:00:00,0,1241.0599,9.017
42,2017-05-03,23:15:00,0,1241.5699,9.018
43,2017-05-03,23:30:00,0,1241.9900,9.018
44,2017-05-03,23:45:00,0,1242.0499,9.018
45,2017-05-04,00:00:00,0,1242.2300,9.018
46,2017-05-04,00:15:00,0,1242.2200,9.019
47,2017-05-04,00:30:00,0,1242.4800,9.019
48,2017-05-04,00:45:00,0,1242.7700,9.019
49,2017-05-04,01:00:00,0,1242.7500,9.019
