Serial Number
	1034117
Project ID
	03030006
Location
	St-Damase
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		35        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-24,13:00:00,0,1196.2300,9.009
2,2016-11-24,13:15:00,0,1196.2300,9.009
3,2016-11-24,13:30:00,0,1196.1100,9.009
4,2016-11-24,13:45:00,0,1195.9900,9.008
5,2016-11-24,14:00:00,0,1195.9000,9.009
6,2016-11-24,14:15:00,0,1195.9500,9.009
7,2016-11-24,14:30:00,0,1195.8700,9.009
8,2016-11-24,14:45:00,0,1195.8400,9.010
9,2016-11-24,15:00:00,0,1195.8700,9.010
10,2016-11-24,15:15:00,0,1195.8600,9.009
11,2016-11-24,15:30:00,0,1195.8600,9.009
12,2016-11-24,15:45:00,0,1195.8099,9.008
13,2016-11-24,16:00:00,0,1195.6799,9.011
14,2016-11-24,16:15:00,0,1195.8300,9.009
15,2016-11-24,16:30:00,0,1195.5900,9.010
16,2016-11-24,16:45:00,0,1195.6600,9.011
17,2016-11-24,17:00:00,0,1195.6600,9.010
18,2016-11-24,17:15:00,0,1195.6500,9.010
19,2016-11-24,17:30:00,0,1195.6699,9.010
20,2016-11-24,17:45:00,0,1195.5000,9.010
21,2016-11-24,18:00:00,0,1195.4900,9.011
22,2016-11-24,18:15:00,0,1195.4500,9.010
23,2016-11-24,18:30:00,0,1195.3800,9.009
24,2016-11-24,18:45:00,0,1195.4199,9.010
25,2016-11-24,19:00:00,0,1195.3400,9.009
26,2016-11-24,19:15:00,0,1195.2999,9.009
27,2016-11-24,19:30:00,0,1195.2899,9.010
28,2016-11-24,19:45:00,0,1195.2700,9.011
29,2016-11-24,20:00:00,0,1195.2400,9.010
30,2016-11-24,20:15:00,0,1195.2600,9.010
31,2016-11-24,20:30:00,0,1195.1600,9.010
32,2016-11-24,20:45:00,0,1195.1400,9.010
33,2016-11-24,21:00:00,0,1195.0900,9.009
34,2016-11-24,21:15:00,0,1195.0499,9.009
35,2016-11-24,21:30:00,0,1195.0100,9.010
36,2016-11-24,21:45:00,0,1194.9900,9.010
37,2016-11-24,22:00:00,0,1194.7999,9.011
38,2016-11-24,22:15:00,0,1194.7600,9.010
39,2016-11-24,22:30:00,0,1194.8600,9.010
40,2016-11-24,22:45:00,0,1194.9900,9.010
41,2016-11-24,23:00:00,0,1195.0699,9.008
42,2016-11-24,23:15:00,0,1195.1000,9.010
43,2016-11-24,23:30:00,0,1195.2100,9.010
44,2016-11-24,23:45:00,0,1195.1200,9.010
45,2016-11-25,00:00:00,0,1194.9000,9.010
46,2016-11-25,00:15:00,0,1194.8400,9.009
47,2016-11-25,00:30:00,0,1194.8700,9.009
48,2016-11-25,00:45:00,0,1194.6699,9.010
49,2016-11-25,01:00:00,0,1194.6200,9.010
