Serial Number
	1040983
Project ID
	BARO-03020001
Location
	BARO-Orford
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		287       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,13:00:00,0,93.1570,6.264
2,2016-11-23,13:15:00,0,93.1732,6.271
3,2016-11-23,13:30:00,0,93.4869,6.217
4,2016-11-23,13:45:00,0,93.6564,6.141
5,2016-11-23,14:00:00,0,93.9026,6.138
6,2016-11-23,14:15:00,0,94.0383,6.188
7,2016-11-23,14:30:00,0,94.1435,6.216
8,2016-11-23,14:45:00,0,94.3586,6.220
9,2016-11-23,15:00:00,0,94.5152,6.228
10,2016-11-23,15:15:00,0,94.5399,6.268
11,2016-11-23,15:30:00,0,94.8494,6.311
12,2016-11-23,15:45:00,0,95.0880,6.333
13,2016-11-23,16:00:00,0,95.2709,6.367
14,2016-11-23,16:15:00,0,95.3680,6.420
15,2016-11-23,16:30:00,0,95.4598,6.448
16,2016-11-23,16:45:00,0,95.5799,6.476
17,2016-11-23,17:00:00,0,95.6492,6.515
18,2016-11-23,17:15:00,0,95.6637,6.545
19,2016-11-23,17:30:00,0,95.7639,6.580
20,2016-11-23,17:45:00,0,95.6711,6.605
21,2016-11-23,18:00:00,0,95.5752,6.614
22,2016-11-23,18:15:00,0,95.5049,6.615
23,2016-11-23,18:30:00,0,95.3923,6.609
24,2016-11-23,18:45:00,0,95.5799,6.635
25,2016-11-23,19:00:00,0,95.7124,6.628
26,2016-11-23,19:15:00,0,95.9008,6.636
27,2016-11-23,19:30:00,0,95.9785,6.627
28,2016-11-23,19:45:00,0,96.2365,6.611
29,2016-11-23,20:00:00,0,96.3067,6.613
30,2016-11-23,20:15:00,0,96.4677,6.619
31,2016-11-23,20:30:00,0,96.4677,6.619
32,2016-11-23,20:45:00,0,96.6828,6.604
33,2016-11-23,21:00:00,0,96.6276,6.600
34,2016-11-23,21:15:00,0,96.6077,6.596
35,2016-11-23,21:30:00,0,96.6458,6.599
36,2016-11-23,21:45:00,0,96.7396,6.614
37,2016-11-23,22:00:00,0,96.9382,6.611
38,2016-11-23,22:15:00,0,97.1237,6.616
39,2016-11-23,22:30:00,0,97.2096,6.615
40,2016-11-23,22:45:00,0,97.2997,6.613
41,2016-11-23,23:00:00,0,97.3662,6.593
42,2016-11-23,23:15:00,0,97.3157,6.605
43,2016-11-23,23:30:00,0,97.3582,6.618
44,2016-11-23,23:45:00,0,97.3511,6.598
45,2016-11-24,00:00:00,0,97.2991,6.614
46,2016-11-24,00:15:00,0,97.2063,6.614
47,2016-11-24,00:30:00,0,97.2004,6.608
48,2016-11-24,00:45:00,0,97.3206,6.612
49,2016-11-24,01:00:00,0,97.1532,6.595
50,2016-11-24,01:15:00,0,97.0825,6.587
51,2016-11-24,01:30:00,0,97.1436,6.582
52,2016-11-24,01:45:00,0,97.1430,6.574
53,2016-11-24,02:00:00,0,97.0395,6.562
54,2016-11-24,02:15:00,0,96.9317,6.567
55,2016-11-24,02:30:00,0,96.9756,6.576
56,2016-11-24,02:45:00,0,96.7718,6.556
57,2016-11-24,03:00:00,0,96.5793,6.562
58,2016-11-24,03:15:00,0,96.5846,6.559
59,2016-11-24,03:30:00,0,96.6024,6.565
60,2016-11-24,03:45:00,0,96.5278,6.557
61,2016-11-24,04:00:00,0,96.5540,6.577
62,2016-11-24,04:15:00,0,96.7166,6.593
63,2016-11-24,04:30:00,0,96.7756,6.602
64,2016-11-24,04:45:00,0,96.7391,6.585
65,2016-11-24,05:00:00,0,96.7906,6.591
66,2016-11-24,05:15:00,0,96.7654,6.595
67,2016-11-24,05:30:00,0,96.8126,6.592
68,2016-11-24,05:45:00,0,96.8480,6.592
69,2016-11-24,06:00:00,0,97.0443,6.606
70,2016-11-24,06:15:00,0,97.1152,6.613
71,2016-11-24,06:30:00,0,97.1865,6.593
72,2016-11-24,06:45:00,0,97.1109,6.592
73,2016-11-24,07:00:00,0,97.2509,6.585
74,2016-11-24,07:15:00,0,97.2331,6.570
75,2016-11-24,07:30:00,0,97.1113,6.568
76,2016-11-24,07:45:00,0,97.0271,6.574
77,2016-11-24,08:00:00,0,97.0063,6.569
78,2016-11-24,08:15:00,0,97.0561,6.573
79,2016-11-24,08:30:00,0,97.0046,6.581
80,2016-11-24,08:45:00,0,96.8754,6.581
81,2016-11-24,09:00:00,0,96.8271,6.590
82,2016-11-24,09:15:00,0,96.7375,6.599
83,2016-11-24,09:30:00,0,96.6425,6.618
84,2016-11-24,09:45:00,0,96.6008,6.634
85,2016-11-24,10:00:00,0,96.4843,6.655
86,2016-11-24,10:15:00,0,96.3191,6.666
87,2016-11-24,10:30:00,0,96.0821,6.680
88,2016-11-24,10:45:00,0,95.9055,6.531
89,2016-11-24,11:00:00,0,95.7269,6.427
90,2016-11-24,11:15:00,0,95.4936,6.354
91,2016-11-24,11:30:00,0,95.3874,6.322
92,2016-11-24,11:45:00,0,95.2243,6.310
93,2016-11-24,12:00:00,0,95.1283,6.319
94,2016-11-24,12:15:00,0,95.1138,6.346
95,2016-11-24,12:30:00,0,94.9690,6.356
96,2016-11-24,12:45:00,0,94.8429,6.385
97,2016-11-24,13:00:00,0,94.8123,6.400
98,2016-11-24,13:15:00,0,94.7818,6.414
99,2016-11-24,13:30:00,0,94.7780,6.429
100,2016-11-24,13:45:00,0,94.7179,6.435
101,2016-11-24,14:00:00,0,94.6214,6.435
102,2016-11-24,14:15:00,0,94.6069,6.439
103,2016-11-24,14:30:00,0,94.6590,6.480
104,2016-11-24,14:45:00,0,94.6123,6.505
105,2016-11-24,15:00:00,0,94.6574,6.522
106,2016-11-24,15:15:00,0,94.6053,6.537
107,2016-11-24,15:30:00,0,94.5758,6.503
108,2016-11-24,15:45:00,0,94.5962,6.505
109,2016-11-24,16:00:00,0,94.6884,6.499
110,2016-11-24,16:15:00,0,94.6680,6.496
111,2016-11-24,16:30:00,0,94.7614,6.515
112,2016-11-24,16:45:00,0,94.7426,6.516
113,2016-11-24,17:00:00,0,94.8280,6.511
114,2016-11-24,17:15:00,0,94.8505,6.520
115,2016-11-24,17:30:00,0,94.8965,6.530
116,2016-11-24,17:45:00,0,94.9239,6.531
117,2016-11-24,18:00:00,0,95.0076,6.542
118,2016-11-24,18:15:00,0,94.9476,6.545
119,2016-11-24,18:30:00,0,94.8987,6.537
120,2016-11-24,18:45:00,0,94.9690,6.534
121,2016-11-24,19:00:00,0,95.0714,6.531
122,2016-11-24,19:15:00,0,95.0612,6.533
123,2016-11-24,19:30:00,0,95.0334,6.516
124,2016-11-24,19:45:00,0,95.0682,6.534
125,2016-11-24,20:00:00,0,95.0837,6.538
126,2016-11-24,20:15:00,0,94.9878,6.547
127,2016-11-24,20:30:00,0,94.9578,6.544
128,2016-11-24,20:45:00,0,94.9175,6.547
129,2016-11-24,21:00:00,0,94.9186,6.550
130,2016-11-24,21:15:00,0,94.8161,6.537
131,2016-11-24,21:30:00,0,94.7179,6.533
132,2016-11-24,21:45:00,0,94.6676,6.538
133,2016-11-24,22:00:00,0,94.6327,6.526
134,2016-11-24,22:15:00,0,94.5195,6.521
135,2016-11-24,22:30:00,0,94.5629,6.521
136,2016-11-24,22:45:00,0,94.6686,6.528
137,2016-11-24,23:00:00,0,94.6863,6.508
138,2016-11-24,23:15:00,0,94.7308,6.497
139,2016-11-24,23:30:00,0,94.6531,6.510
140,2016-11-24,23:45:00,0,94.6369,6.511
141,2016-11-25,00:00:00,0,94.5854,6.515
142,2016-11-25,00:15:00,0,94.5388,6.511
143,2016-11-25,00:30:00,0,94.4653,6.504
144,2016-11-25,00:45:00,0,94.3365,6.507
145,2016-11-25,01:00:00,0,94.3087,6.520
146,2016-11-25,01:15:00,0,94.1837,6.507
147,2016-11-25,01:30:00,0,94.1885,6.494
148,2016-11-25,01:45:00,0,94.1773,6.506
149,2016-11-25,02:00:00,0,94.1671,6.516
150,2016-11-25,02:15:00,0,94.1424,6.510
151,2016-11-25,02:30:00,0,94.1225,6.511
152,2016-11-25,02:45:00,0,94.2063,6.513
153,2016-11-25,03:00:00,0,94.2497,6.526
154,2016-11-25,03:15:00,0,94.2169,6.512
155,2016-11-25,03:30:00,0,94.4599,6.515
156,2016-11-25,03:45:00,0,94.3420,6.513
