Serial Number
	1047237
Project ID
	03040016
Location
	St-Ignace-de-Standbridge
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		85        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-25,19:00:00,0,1190.1000,8.484
2,2016-11-25,19:15:00,0,1190.0100,8.486
3,2016-11-25,19:30:00,0,1189.9399,8.484
4,2016-11-25,19:45:00,0,1189.8800,8.484
5,2016-11-25,20:00:00,0,1189.7899,8.484
6,2016-11-25,20:15:00,0,1189.8300,8.484
7,2016-11-25,20:30:00,0,1189.7400,8.486
8,2016-11-25,20:45:00,0,1189.6200,8.484
9,2016-11-25,21:00:00,0,1189.6300,8.485
10,2016-11-25,21:15:00,0,1189.6200,8.484
11,2016-11-25,21:30:00,0,1189.6100,8.483
12,2016-11-25,21:45:00,0,1189.5000,8.485
13,2016-11-25,22:00:00,0,1189.4299,8.484
14,2016-11-25,22:15:00,0,1189.3800,8.485
15,2016-11-25,22:30:00,0,1189.3700,8.485
16,2016-11-25,22:45:00,0,1189.5000,8.486
17,2016-11-25,23:00:00,0,1189.4000,8.484
18,2016-11-25,23:15:00,0,1189.2700,8.485
19,2016-11-25,23:30:00,0,1189.1400,8.486
20,2016-11-25,23:45:00,0,1189.0200,8.485
21,2016-11-26,00:00:00,0,1188.9299,8.485
22,2016-11-26,00:15:00,0,1188.8099,8.486
23,2016-11-26,00:30:00,0,1188.6699,8.484
24,2016-11-26,00:45:00,0,1188.6600,8.485
25,2016-11-26,01:00:00,0,1188.7600,8.485
26,2016-11-26,01:15:00,0,1188.6899,8.486
27,2016-11-26,01:30:00,0,1188.7100,8.486
28,2016-11-26,01:45:00,0,1188.7899,8.485
29,2016-11-26,02:00:00,0,1188.9399,8.485
30,2016-11-26,02:15:00,0,1189.0200,8.487
31,2016-11-26,02:30:00,0,1188.9399,8.485
32,2016-11-26,02:45:00,0,1188.9100,8.486
33,2016-11-26,03:00:00,0,1188.8300,8.486
34,2016-11-26,03:15:00,0,1188.6699,8.485
35,2016-11-26,03:30:00,0,1188.6699,8.486
