Serial Number
	1047237
Project ID
	03040016
Location
	St-Ignace-de-Standbridge
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		85        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-03,19:00:00,0,1198.9900,8.243
2,2017-05-03,19:15:00,0,1199.1000,8.260
3,2017-05-03,19:30:00,0,1199.3600,8.273
4,2017-05-03,19:45:00,0,1199.4199,8.261
5,2017-05-03,20:00:00,0,1199.6000,8.261
6,2017-05-03,20:15:00,0,1199.8600,8.272
7,2017-05-03,20:30:00,0,1200.1100,8.265
8,2017-05-03,20:45:00,0,1200.4100,8.261
9,2017-05-03,21:00:00,0,1200.6899,8.245
10,2017-05-03,21:15:00,0,1200.8099,8.273
11,2017-05-03,21:30:00,0,1201.1899,8.243
12,2017-05-03,21:45:00,0,1201.4600,8.271
13,2017-05-03,22:00:00,0,1201.8300,8.265
14,2017-05-03,22:15:00,0,1202.1000,8.256
15,2017-05-03,22:30:00,0,1202.4099,8.278
16,2017-05-03,22:45:00,0,1202.6599,8.248
17,2017-05-03,23:00:00,0,1203.1100,8.266
18,2017-05-03,23:15:00,0,1203.6300,8.267
19,2017-05-03,23:30:00,0,1203.9800,8.261
20,2017-05-03,23:45:00,0,1204.0200,8.259
21,2017-05-04,00:00:00,0,1203.9399,8.251
22,2017-05-04,00:15:00,0,1204.2200,8.255
23,2017-05-04,00:30:00,0,1204.4099,8.250
24,2017-05-04,00:45:00,0,1204.7500,8.260
25,2017-05-04,01:00:00,0,1204.6100,8.253
26,2017-05-04,01:15:00,0,1204.8099,8.240
27,2017-05-04,01:30:00,0,1204.8800,8.256
28,2017-05-04,01:45:00,0,1204.9299,8.252
29,2017-05-04,02:00:00,0,1205.3400,8.259
30,2017-05-04,02:15:00,0,1205.5200,8.260
31,2017-05-04,02:30:00,0,1205.7300,8.261
32,2017-05-04,02:45:00,0,1205.7700,8.261
33,2017-05-04,03:00:00,0,1205.6799,8.251
34,2017-05-04,03:15:00,0,1205.6699,8.240
35,2017-05-04,03:30:00,0,1205.7600,8.247
36,2017-05-04,03:45:00,0,1205.7700,8.260
37,2017-05-04,04:00:00,0,1205.8199,8.263
38,2017-05-04,04:15:00,0,1205.7999,8.261
39,2017-05-04,04:30:00,0,1205.7700,8.254
40,2017-05-04,04:45:00,0,1206.0599,8.250
41,2017-05-04,05:00:00,0,1206.1200,8.260
42,2017-05-04,05:15:00,0,1206.0599,8.248
43,2017-05-04,05:30:00,0,1206.4299,8.279
44,2017-05-04,05:45:00,0,1206.3600,8.235
45,2017-05-04,06:00:00,0,1206.3199,8.253
46,2017-05-04,06:15:00,0,1206.6200,8.259
47,2017-05-04,06:30:00,0,1206.7200,8.265
48,2017-05-04,06:45:00,0,1206.9700,8.253
49,2017-05-04,07:00:00,0,1207.0599,8.263
50,2017-05-04,07:15:00,0,1207.1500,8.271
51,2017-05-04,07:30:00,0,1207.3600,8.271
52,2017-05-04,07:45:00,0,1207.5000,8.258
53,2017-05-04,08:00:00,0,1207.7300,8.268
54,2017-05-04,08:15:00,0,1207.8800,8.256
55,2017-05-04,08:30:00,0,1207.9800,8.268
56,2017-05-04,08:45:00,0,1207.8900,8.270
57,2017-05-04,09:00:00,0,1207.9700,8.260
58,2017-05-04,09:15:00,0,1207.8700,8.267
59,2017-05-04,09:30:00,0,1207.8199,8.252
60,2017-05-04,09:45:00,0,1207.5599,8.272
61,2017-05-04,10:00:00,0,1207.5100,8.289
62,2017-05-04,10:15:00,0,1207.3800,8.250
63,2017-05-04,10:30:00,0,1207.4700,8.254
64,2017-05-04,10:45:00,0,1207.4299,8.251
65,2017-05-04,11:00:00,0,1207.1100,8.257
66,2017-05-04,11:15:00,0,1206.8400,8.273
67,2017-05-04,11:30:00,0,1206.5499,8.272
68,2017-05-04,11:45:00,0,1206.5300,8.252
69,2017-05-04,12:00:00,0,1206.1699,8.242
70,2017-05-04,12:15:00,0,1205.8700,8.254
71,2017-05-04,12:30:00,0,1205.6100,8.264
72,2017-05-04,12:45:00,0,1205.5000,8.253
73,2017-05-04,13:00:00,0,1205.3400,8.271
74,2017-05-04,13:15:00,0,1205.2200,8.254
75,2017-05-04,13:30:00,0,1205.0699,8.260
76,2017-05-04,13:45:00,0,1204.9399,8.283
77,2017-05-04,14:00:00,0,1204.5699,8.260
78,2017-05-04,14:15:00,0,1204.3300,8.249
79,2017-05-04,14:30:00,0,1204.0399,8.269
80,2017-05-04,14:45:00,0,1203.7999,8.259
81,2017-05-04,15:00:00,0,1203.5300,8.258
82,2017-05-04,15:15:00,0,1203.4199,8.240
83,2017-05-04,15:30:00,0,1203.2700,8.257
84,2017-05-04,15:45:00,0,1203.1799,8.243
85,2017-05-04,16:00:00,0,1203.1300,8.264
86,2017-05-04,16:15:00,0,1203.0200,8.280
87,2017-05-04,16:30:00,0,1202.8700,8.261
88,2017-05-04,16:45:00,0,1202.6500,8.263
89,2017-05-04,17:00:00,0,1202.3400,8.250
90,2017-05-04,17:15:00,0,1202.1799,8.249
91,2017-05-04,17:30:00,0,1202.0399,8.231
92,2017-05-04,17:45:00,0,1201.8900,8.225
93,2017-05-04,18:00:00,0,1201.9500,8.255
94,2017-05-04,18:15:00,0,1201.8800,8.250
95,2017-05-04,18:30:00,0,1201.7899,8.258
96,2017-05-04,18:45:00,0,1201.6799,8.259
97,2017-05-04,19:00:00,0,1201.5900,8.259
98,2017-05-04,19:15:00,0,1201.5800,8.238
99,2017-05-04,19:30:00,0,1201.7899,8.251
100,2017-05-04,19:45:00,0,1201.8300,8.254
