Serial Number
	1047413
Project ID
	03030007
Location
	St-Valerien-de-Milton_Baro
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		63        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-23,19:00:00,0,94.9958,8.320
2,2016-11-23,19:15:00,0,95.1599,8.327
3,2016-11-23,19:30:00,0,95.2312,8.340
4,2016-11-23,19:45:00,0,95.1116,8.334
5,2016-11-23,20:00:00,0,95.1808,8.321
6,2016-11-23,20:15:00,0,95.1701,8.342
7,2016-11-23,20:30:00,0,95.1154,8.336
8,2016-11-23,20:45:00,0,95.1358,8.346
9,2016-11-23,21:00:00,0,95.2114,8.333
10,2016-11-23,21:15:00,0,95.2533,8.314
11,2016-11-23,21:30:00,0,95.3921,8.325
12,2016-11-23,21:45:00,0,95.6679,8.311
13,2016-11-23,22:00:00,0,95.7322,8.308
14,2016-11-23,22:15:00,0,95.8240,8.305
15,2016-11-23,22:30:00,0,96.0498,8.293
16,2016-11-23,22:45:00,0,96.0401,8.281
17,2016-11-23,23:00:00,0,96.0976,8.282
18,2016-11-23,23:15:00,0,96.1313,8.298
19,2016-11-23,23:30:00,0,96.1517,8.298
20,2016-11-23,23:45:00,0,96.2268,8.299
21,2016-11-24,00:00:00,0,96.0236,8.281
22,2016-11-24,00:15:00,0,95.9913,8.284
23,2016-11-24,00:30:00,0,95.9039,8.301
24,2016-11-24,00:45:00,0,95.7800,8.302
25,2016-11-24,01:00:00,0,95.7258,8.304
26,2016-11-24,01:15:00,0,95.6121,8.291
27,2016-11-24,01:30:00,0,95.6228,8.289
28,2016-11-24,01:45:00,0,95.7086,8.296
29,2016-11-24,02:00:00,0,95.8186,8.301
30,2016-11-24,02:15:00,0,95.5268,8.303
31,2016-11-24,02:30:00,0,95.4356,8.293
32,2016-11-24,02:45:00,0,95.3036,8.294
33,2016-11-24,03:00:00,0,95.2731,8.298
34,2016-11-24,03:15:00,0,95.2022,8.307
35,2016-11-24,03:30:00,0,95.2007,8.297
36,2016-11-24,03:45:00,0,95.1176,8.293
37,2016-11-24,04:00:00,0,95.1589,8.308
38,2016-11-24,04:15:00,0,95.1325,8.305
39,2016-11-24,04:30:00,0,95.2533,8.290
40,2016-11-24,04:45:00,0,95.1417,8.294
41,2016-11-24,05:00:00,0,95.2125,8.279
42,2016-11-24,05:15:00,0,95.1867,8.278
43,2016-11-24,05:30:00,0,95.2221,8.272
44,2016-11-24,05:45:00,0,95.2827,8.271
45,2016-11-24,06:00:00,0,95.5112,8.259
46,2016-11-24,06:15:00,0,95.5274,8.270
47,2016-11-24,06:30:00,0,95.5525,8.252
48,2016-11-24,06:45:00,0,95.6529,8.260
49,2016-11-24,07:00:00,0,95.5493,8.260
50,2016-11-24,07:15:00,0,95.3461,8.260
51,2016-11-24,07:30:00,0,95.2259,8.272
52,2016-11-24,07:45:00,0,95.2784,8.275
53,2016-11-24,08:00:00,0,95.4265,8.273
54,2016-11-24,08:15:00,0,95.3782,8.287
55,2016-11-24,08:30:00,0,95.1846,8.288
56,2016-11-24,08:45:00,0,95.0918,8.295
57,2016-11-24,09:00:00,0,94.8697,8.294
58,2016-11-24,09:15:00,0,94.7405,8.301
59,2016-11-24,09:30:00,0,94.7495,8.306
60,2016-11-24,09:45:00,0,94.8198,8.304
61,2016-11-24,10:00:00,0,94.6402,8.296
62,2016-11-24,10:15:00,0,94.5065,8.290
63,2016-11-24,10:30:00,0,94.3124,8.298
64,2016-11-24,10:45:00,0,94.0700,8.318
65,2016-11-24,11:00:00,0,93.7980,8.318
66,2016-11-24,11:15:00,0,93.7213,8.321
67,2016-11-24,11:30:00,0,93.6559,8.307
68,2016-11-24,11:45:00,0,93.5100,8.314
69,2016-11-24,12:00:00,0,93.3780,8.316
70,2016-11-24,12:15:00,0,93.1758,8.321
71,2016-11-24,12:30:00,0,93.0953,8.323
72,2016-11-24,12:45:00,0,93.0518,8.313
73,2016-11-24,13:00:00,0,92.9821,8.300
74,2016-11-24,13:15:00,0,92.9269,8.311
