Serial Number
	1047547
Project ID
	03040006
Location
	Saint-Mathias
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		11        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,19:00:00,0,575.3870,8.386
2,2017-05-02,19:15:00,0,575.5070,8.406
3,2017-05-02,19:30:00,0,575.5140,8.399
4,2017-05-02,19:45:00,0,575.4280,8.417
5,2017-05-02,20:00:00,0,575.4160,8.399
6,2017-05-02,20:15:00,0,575.3181,8.392
7,2017-05-02,20:30:00,0,575.4620,8.390
8,2017-05-02,20:45:00,0,575.5421,8.398
9,2017-05-02,21:00:00,0,575.6500,8.409
10,2017-05-02,21:15:00,0,575.6630,8.380
11,2017-05-02,21:30:00,0,575.7650,8.397
12,2017-05-02,21:45:00,0,575.9100,8.408
13,2017-05-02,22:00:00,0,576.0031,8.391
14,2017-05-02,22:15:00,0,575.9730,8.378
15,2017-05-02,22:30:00,0,575.9210,8.395
16,2017-05-02,22:45:00,0,575.8480,8.390
17,2017-05-02,23:00:00,0,575.7280,8.413
18,2017-05-02,23:15:00,0,575.5031,8.405
19,2017-05-02,23:30:00,0,575.4810,8.420
20,2017-05-02,23:45:00,0,575.4980,8.390
21,2017-05-03,00:00:00,0,575.4990,8.384
22,2017-05-03,00:15:00,0,575.6080,8.390
23,2017-05-03,00:30:00,0,575.5370,8.414
24,2017-05-03,00:45:00,0,575.5540,8.407
25,2017-05-03,01:00:00,0,575.5860,8.400
26,2017-05-03,01:15:00,0,575.4970,8.412
27,2017-05-03,01:30:00,0,575.6030,8.416
28,2017-05-03,01:45:00,0,575.5350,8.422
29,2017-05-03,02:00:00,0,575.5610,8.419
30,2017-05-03,02:15:00,0,575.3600,8.393
31,2017-05-03,02:30:00,0,575.5400,8.419
32,2017-05-03,02:45:00,0,575.6500,8.425
33,2017-05-03,03:00:00,0,575.7360,8.413
34,2017-05-03,03:15:00,0,575.8480,8.387
35,2017-05-03,03:30:00,0,576.0310,8.407
36,2017-05-03,03:45:00,0,576.1370,8.399
37,2017-05-03,04:00:00,0,576.4520,8.381
38,2017-05-03,04:15:00,0,576.6071,8.402
39,2017-05-03,04:30:00,0,576.7230,8.393
40,2017-05-03,04:45:00,0,576.7500,8.406
41,2017-05-03,05:00:00,0,576.9250,8.399
42,2017-05-03,05:15:00,0,577.1931,8.374
43,2017-05-03,05:30:00,0,577.5010,8.406
44,2017-05-03,05:45:00,0,577.5700,8.395
45,2017-05-03,06:00:00,0,577.6580,8.373
46,2017-05-03,06:15:00,0,578.0130,8.406
47,2017-05-03,06:30:00,0,578.1790,8.395
48,2017-05-03,06:45:00,0,578.3701,8.390
49,2017-05-03,07:00:00,0,578.6900,8.371
50,2017-05-03,07:15:00,0,578.8230,8.355
51,2017-05-03,07:30:00,0,578.9340,8.392
52,2017-05-03,07:45:00,0,579.0410,8.402
53,2017-05-03,08:00:00,0,579.2370,8.400
54,2017-05-03,08:15:00,0,579.3870,8.385
55,2017-05-03,08:30:00,0,579.5811,8.394
56,2017-05-03,08:45:00,0,579.7310,8.391
57,2017-05-03,09:00:00,0,579.9130,8.397
58,2017-05-03,09:15:00,0,580.1281,8.387
59,2017-05-03,09:30:00,0,580.2791,8.388
60,2017-05-03,09:45:00,0,580.4780,8.396
61,2017-05-03,10:00:00,0,580.7360,8.407
62,2017-05-03,10:15:00,0,580.9280,8.409
63,2017-05-03,10:30:00,0,581.1140,8.401
64,2017-05-03,10:45:00,0,581.3420,8.390
65,2017-05-03,11:00:00,0,581.5480,8.409
66,2017-05-03,11:15:00,0,581.7930,8.401
67,2017-05-03,11:30:00,0,581.9700,8.404
68,2017-05-03,11:45:00,0,582.1030,8.379
69,2017-05-03,12:00:00,0,582.1920,8.402
70,2017-05-03,12:15:00,0,582.4080,8.378
71,2017-05-03,12:30:00,0,582.3840,8.376
72,2017-05-03,12:45:00,0,582.6520,8.386
73,2017-05-03,13:00:00,0,582.8051,8.404
74,2017-05-03,13:15:00,0,583.1510,8.400
75,2017-05-03,13:30:00,0,583.2810,8.406
76,2017-05-03,13:45:00,0,583.4510,8.390
77,2017-05-03,14:00:00,0,583.5230,8.377
78,2017-05-03,14:15:00,0,583.7860,8.368
79,2017-05-03,14:30:00,0,583.9480,8.392
80,2017-05-03,14:45:00,0,584.1140,8.402
81,2017-05-03,15:00:00,0,584.2090,8.385
82,2017-05-03,15:15:00,0,584.3651,8.396
83,2017-05-03,15:30:00,0,584.5100,8.397
84,2017-05-03,15:45:00,0,584.6151,8.385
85,2017-05-03,16:00:00,0,584.7180,8.418
86,2017-05-03,16:15:00,0,584.6660,8.372
87,2017-05-03,16:30:00,0,584.7520,8.399
88,2017-05-03,16:45:00,0,584.9431,8.396
89,2017-05-03,17:00:00,0,585.0060,8.393
90,2017-05-03,17:15:00,0,585.0830,8.401
91,2017-05-03,17:30:00,0,585.1850,8.380
92,2017-05-03,17:45:00,0,585.3760,8.410
93,2017-05-03,18:00:00,0,585.4720,8.384
94,2017-05-03,18:15:00,0,585.5980,8.381
95,2017-05-03,18:30:00,0,585.6970,8.396
96,2017-05-03,18:45:00,0,585.7200,8.385
97,2017-05-03,19:00:00,0,585.7960,8.414
98,2017-05-03,19:15:00,0,585.8990,8.366
99,2017-05-03,19:30:00,0,586.0240,8.401
100,2017-05-03,19:45:00,0,586.1990,8.416
101,2017-05-03,20:00:00,0,586.2210,8.411
102,2017-05-03,20:15:00,0,586.4660,8.408
103,2017-05-03,20:30:00,0,586.6570,8.395
104,2017-05-03,20:45:00,0,586.7200,8.391
105,2017-05-03,21:00:00,0,586.9240,8.395
106,2017-05-03,21:15:00,0,587.1190,8.378
107,2017-05-03,21:30:00,0,587.3730,8.397
108,2017-05-03,21:45:00,0,587.4110,8.401
109,2017-05-03,22:00:00,0,587.5770,8.409
110,2017-05-03,22:15:00,0,587.7040,8.412
111,2017-05-03,22:30:00,0,588.0510,8.396
112,2017-05-03,22:45:00,0,588.1690,8.392
113,2017-05-03,23:00:00,0,588.4250,8.396
114,2017-05-03,23:15:00,0,588.6750,8.381
115,2017-05-03,23:30:00,0,588.7990,8.403
116,2017-05-03,23:45:00,0,589.0220,8.386
117,2017-05-04,00:00:00,0,588.9660,8.390
118,2017-05-04,00:15:00,0,588.9750,8.382
119,2017-05-04,00:30:00,0,589.1900,8.372
120,2017-05-04,00:45:00,0,589.2271,8.400
121,2017-05-04,01:00:00,0,589.1970,8.394
122,2017-05-04,01:15:00,0,589.2290,8.387
123,2017-05-04,01:30:00,0,589.2640,8.397
