Serial Number
	1047632
Project ID
	03030003
Location
	St-Hugues
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		36        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2016-11-24,13:00:00,0,1300.1200,7.501
2,2016-11-24,13:15:00,0,1299.9199,7.501
3,2016-11-24,13:30:00,0,1300.0599,7.503
4,2016-11-24,13:45:00,0,1300.0200,7.503
5,2016-11-24,14:00:00,0,1299.9700,7.502
6,2016-11-24,14:15:00,0,1300.0399,7.502
7,2016-11-24,14:30:00,0,1300.0699,7.500
8,2016-11-24,14:45:00,0,1300.0300,7.501
9,2016-11-24,15:00:00,0,1300.0100,7.502
10,2016-11-24,15:15:00,0,1300.0900,7.500
11,2016-11-24,15:30:00,0,1300.0900,7.500
12,2016-11-24,15:45:00,0,1300.0800,7.502
13,2016-11-24,16:00:00,0,1300.0200,7.501
14,2016-11-24,16:15:00,0,1300.0399,7.501
15,2016-11-24,16:30:00,0,1300.1000,7.499
16,2016-11-24,16:45:00,0,1300.3199,7.500
17,2016-11-24,17:00:00,0,1300.2000,7.501
18,2016-11-24,17:15:00,0,1300.1500,7.501
19,2016-11-24,17:30:00,0,1300.2000,7.501
20,2016-11-24,17:45:00,0,1300.1899,7.501
21,2016-11-24,18:00:00,0,1300.2000,7.500
22,2016-11-24,18:15:00,0,1300.1400,7.500
23,2016-11-24,18:30:00,0,1300.1200,7.500
24,2016-11-24,18:45:00,0,1300.0800,7.501
25,2016-11-24,19:00:00,0,1300.1200,7.500
26,2016-11-24,19:15:00,0,1300.0200,7.500
27,2016-11-24,19:30:00,0,1300.0499,7.500
28,2016-11-24,19:45:00,0,1300.0200,7.500
29,2016-11-24,20:00:00,0,1300.0000,7.499
30,2016-11-24,20:15:00,0,1299.9500,7.499
31,2016-11-24,20:30:00,0,1300.0300,7.500
32,2016-11-24,20:45:00,0,1299.9399,7.501
33,2016-11-24,21:00:00,0,1299.8700,7.500
34,2016-11-24,21:15:00,0,1299.8900,7.499
35,2016-11-24,21:30:00,0,1299.8500,7.499
36,2016-11-24,21:45:00,0,1299.7999,7.499
37,2016-11-24,22:00:00,0,1299.7500,7.500
38,2016-11-24,22:15:00,0,1299.7200,7.499
39,2016-11-24,22:30:00,0,1299.8500,7.500
40,2016-11-24,22:45:00,0,1299.8600,7.500
41,2016-11-24,23:00:00,0,1300.0499,7.500
42,2016-11-24,23:15:00,0,1300.2000,7.501
43,2016-11-24,23:30:00,0,1300.0100,7.500
44,2016-11-24,23:45:00,0,1300.0200,7.499
45,2016-11-25,00:00:00,0,1300.0300,7.500
46,2016-11-25,00:15:00,0,1299.9199,7.500
47,2016-11-25,00:30:00,0,1299.8700,7.498
48,2016-11-25,00:45:00,0,1299.7600,7.500
49,2016-11-25,01:00:00,0,1299.5499,7.501
50,2016-11-25,01:15:00,0,1299.4800,7.500
51,2016-11-25,01:30:00,0,1299.6000,7.499
52,2016-11-25,01:45:00,0,1299.6699,7.502
53,2016-11-25,02:00:00,0,1299.8199,7.500
54,2016-11-25,02:15:00,0,1299.7999,7.499
55,2016-11-25,02:30:00,0,1299.7899,7.499
56,2016-11-25,02:45:00,0,1300.0499,7.499
57,2016-11-25,03:00:00,0,1300.0000,7.501
58,2016-11-25,03:15:00,0,1300.0300,7.498
59,2016-11-25,03:30:00,0,1300.1799,7.500
60,2016-11-25,03:45:00,0,1300.1300,7.500
61,2016-11-25,04:00:00,0,1300.0499,7.498
62,2016-11-25,04:15:00,0,1299.8500,7.499
63,2016-11-25,04:30:00,0,1299.8600,7.499
64,2016-11-25,04:45:00,0,1299.8900,7.500
65,2016-11-25,05:00:00,0,1299.9099,7.498
66,2016-11-25,05:15:00,0,1299.8900,7.500
67,2016-11-25,05:30:00,0,1299.6300,7.499
68,2016-11-25,05:45:00,0,1299.7700,7.500
69,2016-11-25,06:00:00,0,1299.9399,7.499
70,2016-11-25,06:15:00,0,1299.8400,7.501
71,2016-11-25,06:30:00,0,1299.9199,7.500
72,2016-11-25,06:45:00,0,1300.1000,7.500
73,2016-11-25,07:00:00,0,1299.8700,7.500
74,2016-11-25,07:15:00,0,1299.8800,7.498
75,2016-11-25,07:30:00,0,1299.8800,7.500
76,2016-11-25,07:45:00,0,1299.9800,7.501
77,2016-11-25,08:00:00,0,1300.1400,7.501
78,2016-11-25,08:15:00,0,1299.6100,7.499
79,2016-11-25,08:30:00,0,1299.6899,7.500
80,2016-11-25,08:45:00,0,1299.6699,7.500
81,2016-11-25,09:00:00,0,1299.5900,7.501
82,2016-11-25,09:15:00,0,1299.3600,7.500
83,2016-11-25,09:30:00,0,1299.3800,7.500
84,2016-11-25,09:45:00,0,1299.5300,7.500
85,2016-11-25,10:00:00,0,1299.1899,7.500
86,2016-11-25,10:15:00,0,1299.0399,7.500
87,2016-11-25,10:30:00,0,1298.8099,7.502
88,2016-11-25,10:45:00,0,1298.6400,7.500
89,2016-11-25,11:00:00,0,1298.4299,7.499
90,2016-11-25,11:15:00,0,1298.3199,7.499
91,2016-11-25,11:30:00,0,1298.2500,7.500
92,2016-11-25,11:45:00,0,1297.9700,7.500
93,2016-11-25,12:00:00,0,1297.9600,7.500
94,2016-11-25,12:15:00,0,1297.7999,7.499
95,2016-11-25,12:30:00,0,1297.7700,7.501
96,2016-11-25,12:45:00,0,1297.6699,7.501
97,2016-11-25,13:00:00,0,1297.4900,7.500
98,2016-11-25,13:15:00,0,1297.3400,7.500
99,2016-11-25,13:30:00,0,1297.4399,7.501
100,2016-11-25,13:45:00,0,1297.3900,7.501
101,2016-11-25,14:00:00,0,1297.4399,7.500
102,2016-11-25,14:15:00,0,1297.6400,7.501
103,2016-11-25,14:30:00,0,1297.7300,7.500
104,2016-11-25,14:45:00,0,1297.7100,7.499
105,2016-11-25,15:00:00,0,1297.8199,7.499
106,2016-11-25,15:15:00,0,1297.8099,7.498
107,2016-11-25,15:30:00,0,1297.7200,7.498
108,2016-11-25,15:45:00,0,1297.6699,7.499
109,2016-11-25,16:00:00,0,1297.7700,7.500
110,2016-11-25,16:15:00,0,1297.7300,7.502
111,2016-11-25,16:30:00,0,1297.7999,7.499
112,2016-11-25,16:45:00,0,1297.8199,7.500
113,2016-11-25,17:00:00,0,1297.8300,7.500
114,2016-11-25,17:15:00,0,1297.9000,7.499
115,2016-11-25,17:30:00,0,1297.9800,7.500
116,2016-11-25,17:45:00,0,1297.9199,7.500
117,2016-11-25,18:00:00,0,1298.0499,7.499
118,2016-11-25,18:15:00,0,1298.1500,7.500
119,2016-11-25,18:30:00,0,1298.0699,7.499
120,2016-11-25,18:45:00,0,1298.0499,7.502
121,2016-11-25,19:00:00,0,1298.0699,7.500
122,2016-11-25,19:15:00,0,1298.0800,7.500
123,2016-11-25,19:30:00,0,1298.0200,7.501
124,2016-11-25,19:45:00,0,1297.9099,7.500
125,2016-11-25,20:00:00,0,1297.8099,7.501
126,2016-11-25,20:15:00,0,1297.7500,7.499
127,2016-11-25,20:30:00,0,1297.7300,7.499
128,2016-11-25,20:45:00,0,1297.7200,7.500
129,2016-11-25,21:00:00,0,1297.7400,7.501
130,2016-11-25,21:15:00,0,1297.6200,7.500
131,2016-11-25,21:30:00,0,1297.7400,7.500
132,2016-11-25,21:45:00,0,1297.6799,7.502
133,2016-11-25,22:00:00,0,1297.6000,7.501
134,2016-11-25,22:15:00,0,1297.4600,7.499
135,2016-11-25,22:30:00,0,1297.4399,7.500
136,2016-11-25,22:45:00,0,1297.4700,7.500
137,2016-11-25,23:00:00,0,1297.4299,7.500
138,2016-11-25,23:15:00,0,1297.4600,7.500
139,2016-11-25,23:30:00,0,1297.3600,7.499
140,2016-11-25,23:45:00,0,1297.5200,7.501
141,2016-11-26,00:00:00,0,1297.2999,7.498
142,2016-11-26,00:15:00,0,1297.2300,7.502
143,2016-11-26,00:30:00,0,1297.1000,7.500
144,2016-11-26,00:45:00,0,1297.2700,7.500
145,2016-11-26,01:00:00,0,1297.2400,7.500
146,2016-11-26,01:15:00,0,1297.2800,7.500
147,2016-11-26,01:30:00,0,1297.3700,7.499
148,2016-11-26,01:45:00,0,1297.5699,7.500
149,2016-11-26,02:00:00,0,1297.6699,7.500
150,2016-11-26,02:15:00,0,1297.5399,7.501
151,2016-11-26,02:30:00,0,1297.5900,7.499
152,2016-11-26,02:45:00,0,1297.4800,7.500
153,2016-11-26,03:00:00,0,1297.2100,7.500
154,2016-11-26,03:15:00,0,1297.1899,7.499
155,2016-11-26,03:30:00,0,1297.2600,7.500
156,2016-11-26,03:45:00,0,1297.1300,7.500
157,2016-11-26,04:00:00,0,1297.3400,7.501
158,2016-11-26,04:15:00,0,1297.2100,7.500
159,2016-11-26,04:30:00,0,1297.2400,7.501
160,2016-11-26,04:45:00,0,1297.2100,7.501
161,2016-11-26,05:00:00,0,1297.0900,7.499
162,2016-11-26,05:15:00,0,1297.2200,7.501
163,2016-11-26,05:30:00,0,1297.3099,7.501
164,2016-11-26,05:45:00,0,1297.4299,7.499
165,2016-11-26,06:00:00,0,1297.5499,7.502
166,2016-11-26,06:15:00,0,1297.5599,7.500
167,2016-11-26,06:30:00,0,1297.4900,7.499
168,2016-11-26,06:45:00,0,1297.3900,7.501
169,2016-11-26,07:00:00,0,1297.3400,7.501
170,2016-11-26,07:15:00,0,1297.2000,7.501
171,2016-11-26,07:30:00,0,1297.2000,7.500
172,2016-11-26,07:45:00,0,1297.2400,7.500
173,2016-11-26,08:00:00,0,1297.2700,7.500
174,2016-11-26,08:15:00,0,1297.1699,7.500
175,2016-11-26,08:30:00,0,1297.0800,7.500
176,2016-11-26,08:45:00,0,1296.9500,7.500
177,2016-11-26,09:00:00,0,1296.9399,7.501
178,2016-11-26,09:15:00,0,1296.9600,7.501
