Serial Number
	1047632
Project ID
	03030003
Location
	St-Hugues
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		36        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-02,13:00:00,0,1293.6300,7.519
2,2017-05-02,13:15:00,0,1293.4500,7.519
3,2017-05-02,13:30:00,0,1293.3199,7.517
4,2017-05-02,13:45:00,0,1293.3400,7.518
5,2017-05-02,14:00:00,0,1293.0000,7.516
6,2017-05-02,14:15:00,0,1293.1100,7.515
7,2017-05-02,14:30:00,0,1293.0399,7.518
8,2017-05-02,14:45:00,0,1292.9800,7.517
9,2017-05-02,15:00:00,0,1292.6699,7.515
10,2017-05-02,15:15:00,0,1292.4099,7.516
11,2017-05-02,15:30:00,0,1292.3900,7.514
12,2017-05-02,15:45:00,0,1292.4600,7.517
13,2017-05-02,16:00:00,0,1292.4199,7.518
14,2017-05-02,16:15:00,0,1292.5900,7.518
15,2017-05-02,16:30:00,0,1292.6300,7.518
16,2017-05-02,16:45:00,0,1292.7500,7.517
17,2017-05-02,17:00:00,0,1292.7999,7.518
18,2017-05-02,17:15:00,0,1293.0300,7.517
19,2017-05-02,17:30:00,0,1293.2100,7.517
20,2017-05-02,17:45:00,0,1293.2000,7.516
21,2017-05-02,18:00:00,0,1293.3900,7.516
22,2017-05-02,18:15:00,0,1293.8199,7.516
23,2017-05-02,18:30:00,0,1294.0800,7.517
24,2017-05-02,18:45:00,0,1294.5399,7.518
25,2017-05-02,19:00:00,0,1294.7600,7.514
26,2017-05-02,19:15:00,0,1294.9099,7.518
27,2017-05-02,19:30:00,0,1294.8099,7.517
28,2017-05-02,19:45:00,0,1294.6799,7.516
29,2017-05-02,20:00:00,0,1294.5900,7.515
30,2017-05-02,20:15:00,0,1294.6200,7.516
31,2017-05-02,20:30:00,0,1294.5699,7.517
32,2017-05-02,20:45:00,0,1294.8900,7.517
33,2017-05-02,21:00:00,0,1295.1000,7.517
34,2017-05-02,21:15:00,0,1295.1699,7.517
35,2017-05-02,21:30:00,0,1295.3800,7.516
36,2017-05-02,21:45:00,0,1295.5499,7.516
37,2017-05-02,22:00:00,0,1295.5900,7.515
38,2017-05-02,22:15:00,0,1295.5399,7.516
39,2017-05-02,22:30:00,0,1295.6699,7.516
40,2017-05-02,22:45:00,0,1295.5800,7.517
41,2017-05-02,23:00:00,0,1295.6899,7.517
42,2017-05-02,23:15:00,0,1295.5399,7.517
43,2017-05-02,23:30:00,0,1295.6500,7.517
44,2017-05-02,23:45:00,0,1295.5399,7.517
45,2017-05-03,00:00:00,0,1295.6799,7.516
46,2017-05-03,00:15:00,0,1295.6699,7.516
47,2017-05-03,00:30:00,0,1295.7200,7.516
48,2017-05-03,00:45:00,0,1295.5300,7.516
49,2017-05-03,01:00:00,0,1295.5599,7.516
50,2017-05-03,01:15:00,0,1295.6200,7.516
51,2017-05-03,01:30:00,0,1295.6699,7.516
52,2017-05-03,01:45:00,0,1295.6300,7.516
53,2017-05-03,02:00:00,0,1295.6200,7.516
54,2017-05-03,02:15:00,0,1295.5699,7.517
55,2017-05-03,02:30:00,0,1295.6699,7.516
56,2017-05-03,02:45:00,0,1295.5800,7.516
57,2017-05-03,03:00:00,0,1295.7400,7.516
58,2017-05-03,03:15:00,0,1295.8199,7.516
59,2017-05-03,03:30:00,0,1295.7600,7.516
60,2017-05-03,03:45:00,0,1296.1300,7.517
61,2017-05-03,04:00:00,0,1296.2500,7.516
62,2017-05-03,04:15:00,0,1296.4299,7.516
63,2017-05-03,04:30:00,0,1296.4800,7.516
64,2017-05-03,04:45:00,0,1296.7200,7.516
65,2017-05-03,05:00:00,0,1296.7600,7.516
66,2017-05-03,05:15:00,0,1296.9600,7.516
67,2017-05-03,05:30:00,0,1297.2400,7.516
68,2017-05-03,05:45:00,0,1297.4700,7.515
69,2017-05-03,06:00:00,0,1297.6799,7.517
70,2017-05-03,06:15:00,0,1298.0599,7.515
71,2017-05-03,06:30:00,0,1298.1599,7.516
72,2017-05-03,06:45:00,0,1298.4399,7.518
73,2017-05-03,07:00:00,0,1298.6699,7.516
74,2017-05-03,07:15:00,0,1298.7300,7.516
