Serial Number
	1047642
Project ID
	03030008
Location
	Rougemont_PO-19
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		130       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,19:00:00,0,663.4530,9.855
2,2016-11-23,19:15:00,0,663.4091,9.853
3,2016-11-23,19:30:00,0,663.2880,9.850
4,2016-11-23,19:45:00,0,663.3260,9.848
5,2016-11-23,20:00:00,0,663.2520,9.846
6,2016-11-23,20:15:00,0,663.2360,9.844
7,2016-11-23,20:30:00,0,663.2921,9.844
8,2016-11-23,20:45:00,0,663.1870,9.843
9,2016-11-23,21:00:00,0,663.1370,9.843
10,2016-11-23,21:15:00,0,663.3280,9.842
11,2016-11-23,21:30:00,0,663.4990,9.841
12,2016-11-23,21:45:00,0,663.6240,9.840
13,2016-11-23,22:00:00,0,663.6860,9.841
14,2016-11-23,22:15:00,0,663.8010,9.840
15,2016-11-23,22:30:00,0,663.9750,9.839
16,2016-11-23,22:45:00,0,664.0980,9.839
17,2016-11-23,23:00:00,0,664.1170,9.839
18,2016-11-23,23:15:00,0,664.1680,9.839
19,2016-11-23,23:30:00,0,664.2241,9.839
20,2016-11-23,23:45:00,0,664.1600,9.839
21,2016-11-24,00:00:00,0,664.2220,9.839
22,2016-11-24,00:15:00,0,664.0360,9.839
23,2016-11-24,00:30:00,0,663.9580,9.839
24,2016-11-24,00:45:00,0,663.7661,9.838
25,2016-11-24,01:00:00,0,663.7581,9.838
26,2016-11-24,01:15:00,0,663.8990,9.837
27,2016-11-24,01:30:00,0,663.7940,9.837
28,2016-11-24,01:45:00,0,663.7950,9.839
29,2016-11-24,02:00:00,0,663.7560,9.839
30,2016-11-24,02:15:00,0,663.5970,9.837
31,2016-11-24,02:30:00,0,663.4760,9.837
32,2016-11-24,02:45:00,0,663.4431,9.837
33,2016-11-24,03:00:00,0,663.4250,9.837
34,2016-11-24,03:15:00,0,663.3010,9.837
35,2016-11-24,03:30:00,0,663.2480,9.836
36,2016-11-24,03:45:00,0,663.1660,9.838
37,2016-11-24,04:00:00,0,663.2160,9.836
38,2016-11-24,04:15:00,0,663.2141,9.837
39,2016-11-24,04:30:00,0,663.1080,9.837
40,2016-11-24,04:45:00,0,663.1960,9.837
41,2016-11-24,05:00:00,0,663.1950,9.837
42,2016-11-24,05:15:00,0,663.2910,9.836
43,2016-11-24,05:30:00,0,663.3101,9.836
44,2016-11-24,05:45:00,0,663.3571,9.837
45,2016-11-24,06:00:00,0,663.4880,9.838
46,2016-11-24,06:15:00,0,663.3940,9.837
47,2016-11-24,06:30:00,0,663.5020,9.837
48,2016-11-24,06:45:00,0,663.4200,9.837
49,2016-11-24,07:00:00,0,663.3250,9.837
50,2016-11-24,07:15:00,0,663.1721,9.836
51,2016-11-24,07:30:00,0,663.3800,9.837
52,2016-11-24,07:45:00,0,663.4650,9.837
53,2016-11-24,08:00:00,0,663.3580,9.837
54,2016-11-24,08:15:00,0,663.2560,9.836
55,2016-11-24,08:30:00,0,663.1610,9.836
56,2016-11-24,08:45:00,0,662.8470,9.836
57,2016-11-24,09:00:00,0,662.7830,9.836
58,2016-11-24,09:15:00,0,662.7141,9.836
59,2016-11-24,09:30:00,0,662.7000,9.836
60,2016-11-24,09:45:00,0,662.7780,9.836
61,2016-11-24,10:00:00,0,662.6560,9.836
62,2016-11-24,10:15:00,0,662.5120,9.835
63,2016-11-24,10:30:00,0,662.3781,9.837
64,2016-11-24,10:45:00,0,662.1400,9.836
65,2016-11-24,11:00:00,0,661.8870,9.836
66,2016-11-24,11:15:00,0,661.7841,9.835
67,2016-11-24,11:30:00,0,661.6910,9.836
68,2016-11-24,11:45:00,0,661.5500,9.836
69,2016-11-24,12:00:00,0,661.3970,9.835
70,2016-11-24,12:15:00,0,661.2200,9.835
71,2016-11-24,12:30:00,0,661.1170,9.835
72,2016-11-24,12:45:00,0,660.9140,9.835
73,2016-11-24,13:00:00,0,660.8820,9.835
74,2016-11-24,13:15:00,0,660.7810,9.836
75,2016-11-24,13:30:00,0,660.6830,9.835
76,2016-11-24,13:45:00,0,660.5570,9.836
77,2016-11-24,14:00:00,0,660.4000,9.835
78,2016-11-24,14:15:00,0,660.3940,9.836
79,2016-11-24,14:30:00,0,660.3460,9.836
80,2016-11-24,14:45:00,0,660.4330,9.835
81,2016-11-24,15:00:00,0,660.3800,9.836
82,2016-11-24,15:15:00,0,660.4620,9.836
83,2016-11-24,15:30:00,0,660.5020,9.836
84,2016-11-24,15:45:00,0,660.4050,9.835
85,2016-11-24,16:00:00,0,660.4091,9.835
86,2016-11-24,16:15:00,0,660.5020,9.835
87,2016-11-24,16:30:00,0,660.4720,9.837
88,2016-11-24,16:45:00,0,660.4050,9.835
89,2016-11-24,17:00:00,0,660.5090,9.835
90,2016-11-24,17:15:00,0,660.5811,9.835
91,2016-11-24,17:30:00,0,660.7080,9.835
92,2016-11-24,17:45:00,0,660.6210,9.836
93,2016-11-24,18:00:00,0,660.7100,9.836
94,2016-11-24,18:15:00,0,660.6870,9.835
95,2016-11-24,18:30:00,0,660.6580,9.835
96,2016-11-24,18:45:00,0,660.6931,9.836
97,2016-11-24,19:00:00,0,660.7430,9.835
98,2016-11-24,19:15:00,0,660.7120,9.835
99,2016-11-24,19:30:00,0,660.7390,9.836
100,2016-11-24,19:45:00,0,660.7490,9.836
101,2016-11-24,20:00:00,0,660.8260,9.836
102,2016-11-24,20:15:00,0,660.7890,9.835
103,2016-11-24,20:30:00,0,660.8150,9.835
104,2016-11-24,20:45:00,0,660.8231,9.836
105,2016-11-24,21:00:00,0,660.7540,9.836
106,2016-11-24,21:15:00,0,660.7661,9.835
107,2016-11-24,21:30:00,0,660.6870,9.836
108,2016-11-24,21:45:00,0,660.6580,9.836
109,2016-11-24,22:00:00,0,660.4670,9.836
110,2016-11-24,22:15:00,0,660.4180,9.837
111,2016-11-24,22:30:00,0,660.5460,9.836
112,2016-11-24,22:45:00,0,660.6310,9.836
113,2016-11-24,23:00:00,0,660.7470,9.835
114,2016-11-24,23:15:00,0,660.7890,9.836
115,2016-11-24,23:30:00,0,660.8450,9.836
116,2016-11-24,23:45:00,0,660.6760,9.836
117,2016-11-25,00:00:00,0,660.4150,9.835
118,2016-11-25,00:15:00,0,660.4370,9.835
119,2016-11-25,00:30:00,0,660.2740,9.837
120,2016-11-25,00:45:00,0,660.1510,9.836
121,2016-11-25,01:00:00,0,660.2170,9.836
122,2016-11-25,01:15:00,0,660.1290,9.835
123,2016-11-25,01:30:00,0,660.1040,9.836
124,2016-11-25,01:45:00,0,660.2080,9.837
125,2016-11-25,02:00:00,0,660.1290,9.835
126,2016-11-25,02:15:00,0,660.2501,9.836
127,2016-11-25,02:30:00,0,660.3710,9.835
128,2016-11-25,02:45:00,0,660.4360,9.836
129,2016-11-25,03:00:00,0,660.6180,9.835
130,2016-11-25,03:15:00,0,660.4561,9.836
131,2016-11-25,03:30:00,0,660.5161,9.835
132,2016-11-25,03:45:00,0,660.5681,9.835
133,2016-11-25,04:00:00,0,660.3831,9.836
134,2016-11-25,04:15:00,0,660.2480,9.835
135,2016-11-25,04:30:00,0,660.1690,9.836
136,2016-11-25,04:45:00,0,660.1970,9.836
137,2016-11-25,05:00:00,0,660.2100,9.837
138,2016-11-25,05:15:00,0,660.0360,9.836
139,2016-11-25,05:30:00,0,660.1230,9.836
140,2016-11-25,05:45:00,0,660.0790,9.836
141,2016-11-25,06:00:00,0,660.2241,9.836
142,2016-11-25,06:15:00,0,660.3690,9.836
143,2016-11-25,06:30:00,0,660.3580,9.835
144,2016-11-25,06:45:00,0,660.3030,9.836
145,2016-11-25,07:00:00,0,660.3361,9.836
146,2016-11-25,07:15:00,0,660.3670,9.836
147,2016-11-25,07:30:00,0,660.4180,9.836
148,2016-11-25,07:45:00,0,660.2791,9.837
149,2016-11-25,08:00:00,0,660.1050,9.836
150,2016-11-25,08:15:00,0,660.0610,9.836
151,2016-11-25,08:30:00,0,660.0471,9.836
152,2016-11-25,08:45:00,0,660.0440,9.836
153,2016-11-25,09:00:00,0,659.9590,9.836
154,2016-11-25,09:15:00,0,659.8961,9.837
155,2016-11-25,09:30:00,0,659.7241,9.836
156,2016-11-25,09:45:00,0,659.7271,9.836
157,2016-11-25,10:00:00,0,659.6160,9.836
158,2016-11-25,10:15:00,0,659.4460,9.837
159,2016-11-25,10:30:00,0,659.1541,9.837
160,2016-11-25,10:45:00,0,658.9400,9.836
161,2016-11-25,11:00:00,0,658.6970,9.836
162,2016-11-25,11:15:00,0,658.5610,9.837
163,2016-11-25,11:30:00,0,658.2940,9.836
164,2016-11-25,11:45:00,0,658.1790,9.836
165,2016-11-25,12:00:00,0,658.0270,9.836
166,2016-11-25,12:15:00,0,657.9110,9.836
167,2016-11-25,12:30:00,0,657.7010,9.836
168,2016-11-25,12:45:00,0,657.5211,9.836
169,2016-11-25,13:00:00,0,657.2280,9.837
170,2016-11-25,13:15:00,0,657.0941,9.836
171,2016-11-25,13:30:00,0,657.0690,9.836
172,2016-11-25,13:45:00,0,657.1260,9.837
173,2016-11-25,14:00:00,0,657.1550,9.837
174,2016-11-25,14:15:00,0,657.1870,9.837
175,2016-11-25,14:30:00,0,657.2451,9.837
176,2016-11-25,14:45:00,0,657.2950,9.837
177,2016-11-25,15:00:00,0,657.2531,9.837
178,2016-11-25,15:15:00,0,657.2960,9.837
179,2016-11-25,15:30:00,0,657.2780,9.837
180,2016-11-25,15:45:00,0,657.2520,9.836
181,2016-11-25,16:00:00,0,657.3680,9.838
182,2016-11-25,16:15:00,0,657.2890,9.836
183,2016-11-25,16:30:00,0,657.3970,9.836
184,2016-11-25,16:45:00,0,657.4700,9.837
185,2016-11-25,17:00:00,0,657.4360,9.837
186,2016-11-25,17:15:00,0,657.4790,9.837
187,2016-11-25,17:30:00,0,657.6480,9.837
188,2016-11-25,17:45:00,0,657.6830,9.836
189,2016-11-25,18:00:00,0,657.7340,9.837
190,2016-11-25,18:15:00,0,657.7290,9.837
191,2016-11-25,18:30:00,0,657.9070,9.837
192,2016-11-25,18:45:00,0,657.8560,9.836
193,2016-11-25,19:00:00,0,657.8590,9.837
194,2016-11-25,19:15:00,0,657.8480,9.837
195,2016-11-25,19:30:00,0,657.7250,9.837
196,2016-11-25,19:45:00,0,657.6801,9.837
197,2016-11-25,20:00:00,0,657.5980,9.838
198,2016-11-25,20:15:00,0,657.5060,9.837
199,2016-11-25,20:30:00,0,657.3930,9.838
200,2016-11-25,20:45:00,0,657.5370,9.837
201,2016-11-25,21:00:00,0,657.4741,9.838
202,2016-11-25,21:15:00,0,657.5211,9.837
203,2016-11-25,21:30:00,0,657.4810,9.837
204,2016-11-25,21:45:00,0,657.3391,9.838
205,2016-11-25,22:00:00,0,657.2520,9.837
206,2016-11-25,22:15:00,0,657.0830,9.837
207,2016-11-25,22:30:00,0,657.2230,9.837
