Serial Number
	1047642
Project ID
	03030008
Location
	Rougemont_PO-19
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		130       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-01,19:00:00,0,688.3060,7.607
2,2017-05-01,19:15:00,0,688.0601,7.602
3,2017-05-01,19:30:00,0,687.5620,7.616
4,2017-05-01,19:45:00,0,687.6420,7.599
5,2017-05-01,20:00:00,0,686.7070,7.620
6,2017-05-01,20:15:00,0,686.3311,7.590
7,2017-05-01,20:30:00,0,686.0830,7.618
8,2017-05-01,20:45:00,0,686.2870,7.626
9,2017-05-01,21:00:00,0,686.5740,7.614
10,2017-05-01,21:15:00,0,686.8690,7.644
11,2017-05-01,21:30:00,0,689.5970,7.603
12,2017-05-01,21:45:00,0,688.3370,7.561
13,2017-05-01,22:00:00,0,687.6050,7.612
14,2017-05-01,22:15:00,0,687.4440,7.609
15,2017-05-01,22:30:00,0,687.2401,7.608
16,2017-05-01,22:45:00,0,687.2891,7.657
17,2017-05-01,23:00:00,0,687.6920,7.614
18,2017-05-01,23:15:00,0,688.4330,7.562
19,2017-05-01,23:30:00,0,687.2921,7.621
20,2017-05-01,23:45:00,0,685.8480,7.639
21,2017-05-02,00:00:00,0,683.5930,7.645
22,2017-05-02,00:15:00,0,682.8500,7.623
23,2017-05-02,00:30:00,0,683.4730,7.600
24,2017-05-02,00:45:00,0,684.3911,7.574
25,2017-05-02,01:00:00,0,684.5460,7.612
26,2017-05-02,01:15:00,0,684.4370,7.610
27,2017-05-02,01:30:00,0,684.0610,7.615
28,2017-05-02,01:45:00,0,683.9930,7.623
29,2017-05-02,02:00:00,0,683.5731,7.593
30,2017-05-02,02:15:00,0,683.4741,7.668
31,2017-05-02,02:30:00,0,683.6780,7.660
32,2017-05-02,02:45:00,0,683.3651,7.649
33,2017-05-02,03:00:00,0,683.1910,7.624
34,2017-05-02,03:15:00,0,683.3441,7.668
35,2017-05-02,03:30:00,0,683.3280,7.616
36,2017-05-02,03:45:00,0,683.3640,7.630
37,2017-05-02,04:00:00,0,683.3911,7.656
38,2017-05-02,04:15:00,0,683.2570,7.692
39,2017-05-02,04:30:00,0,683.2540,7.608
40,2017-05-02,04:45:00,0,683.2480,7.618
41,2017-05-02,05:00:00,0,683.3040,7.588
42,2017-05-02,05:15:00,0,683.4540,7.578
43,2017-05-02,05:30:00,0,683.5580,7.613
44,2017-05-02,05:45:00,0,683.5960,7.579
45,2017-05-02,06:00:00,0,683.5920,7.626
46,2017-05-02,06:15:00,0,683.6641,7.606
47,2017-05-02,06:30:00,0,683.9360,7.642
48,2017-05-02,06:45:00,0,683.9951,7.567
49,2017-05-02,07:00:00,0,684.2160,7.633
50,2017-05-02,07:15:00,0,684.2791,7.648
51,2017-05-02,07:30:00,0,684.0250,7.632
52,2017-05-02,07:45:00,0,683.9171,7.651
53,2017-05-02,08:00:00,0,683.8260,7.603
54,2017-05-02,08:15:00,0,683.8231,7.644
55,2017-05-02,08:30:00,0,683.7510,7.638
56,2017-05-02,08:45:00,0,683.5031,7.607
57,2017-05-02,09:00:00,0,683.5620,7.592
58,2017-05-02,09:15:00,0,683.7010,7.626
59,2017-05-02,09:30:00,0,683.6620,7.584
60,2017-05-02,09:45:00,0,683.4030,7.619
61,2017-05-02,10:00:00,0,683.3870,7.646
62,2017-05-02,10:15:00,0,683.3150,7.608
63,2017-05-02,10:30:00,0,683.3560,7.608
