Serial Number
	1047656
Project ID
	03040014
Location
	Mansonville
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		195       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,13:00:00,0,9.2599,7.718
2,2016-11-25,13:15:00,0,9.2583,7.718
3,2016-11-25,13:30:00,0,9.2581,7.717
4,2016-11-25,13:45:00,0,9.2558,7.718
5,2016-11-25,14:00:00,0,9.2550,7.718
6,2016-11-25,14:15:00,0,9.2563,7.717
7,2016-11-25,14:30:00,0,9.2561,7.717
8,2016-11-25,14:45:00,0,9.2575,7.718
9,2016-11-25,15:00:00,0,9.2576,7.718
10,2016-11-25,15:15:00,0,9.2582,7.718
11,2016-11-25,15:30:00,0,9.2586,7.718
12,2016-11-25,15:45:00,0,9.2603,7.718
13,2016-11-25,16:00:00,0,9.2602,7.718
14,2016-11-25,16:15:00,0,9.2591,7.717
15,2016-11-25,16:30:00,0,9.2582,7.717
16,2016-11-25,16:45:00,0,9.2594,7.717
17,2016-11-25,17:00:00,0,9.2586,7.717
18,2016-11-25,17:15:00,0,9.2587,7.717
19,2016-11-25,17:30:00,0,9.2599,7.717
20,2016-11-25,17:45:00,0,9.2592,7.717
21,2016-11-25,18:00:00,0,9.2609,7.717
22,2016-11-25,18:15:00,0,9.2613,7.716
23,2016-11-25,18:30:00,0,9.2607,7.716
24,2016-11-25,18:45:00,0,9.2616,7.716
25,2016-11-25,19:00:00,0,9.2628,7.716
26,2016-11-25,19:15:00,0,9.2623,7.717
27,2016-11-25,19:30:00,0,9.2618,7.716
28,2016-11-25,19:45:00,0,9.2610,7.715
29,2016-11-25,20:00:00,0,9.2597,7.716
30,2016-11-25,20:15:00,0,9.2590,7.716
31,2016-11-25,20:30:00,0,9.2603,7.716
32,2016-11-25,20:45:00,0,9.2582,7.715
33,2016-11-25,21:00:00,0,9.2569,7.716
34,2016-11-25,21:15:00,0,9.2570,7.716
35,2016-11-25,21:30:00,0,9.2563,7.715
36,2016-11-25,21:45:00,0,9.2530,7.717
37,2016-11-25,22:00:00,0,9.2527,7.716
38,2016-11-25,22:15:00,0,9.2517,7.716
39,2016-11-25,22:30:00,0,9.2514,7.716
40,2016-11-25,22:45:00,0,9.2535,7.715
41,2016-11-25,23:00:00,0,9.2515,7.717
42,2016-11-25,23:15:00,0,9.2510,7.716
43,2016-11-25,23:30:00,0,9.2495,7.716
44,2016-11-25,23:45:00,0,9.2484,7.715
45,2016-11-26,00:00:00,0,9.2473,7.716
46,2016-11-26,00:15:00,0,9.2472,7.716
47,2016-11-26,00:30:00,0,9.2465,7.716
48,2016-11-26,00:45:00,0,9.2465,7.715
49,2016-11-26,01:00:00,0,9.2458,7.716
50,2016-11-26,01:15:00,0,9.2453,7.714
51,2016-11-26,01:30:00,0,9.2459,7.716
52,2016-11-26,01:45:00,0,9.2473,7.715
53,2016-11-26,02:00:00,0,9.2476,7.715
54,2016-11-26,02:15:00,0,9.2478,7.716
55,2016-11-26,02:30:00,0,9.2475,7.715
56,2016-11-26,02:45:00,0,9.2469,7.716
57,2016-11-26,03:00:00,0,9.2444,7.715
58,2016-11-26,03:15:00,0,9.2440,7.716
59,2016-11-26,03:30:00,0,9.2432,7.715
60,2016-11-26,03:45:00,0,9.2425,7.716
61,2016-11-26,04:00:00,0,9.2430,7.715
62,2016-11-26,04:15:00,0,9.2418,7.716
63,2016-11-26,04:30:00,0,9.2420,7.716
