Serial Number
	1047656
Project ID
	03040014
Location
	Mansonville
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		195       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,9.6865,7.732
2,2017-05-03,13:15:00,0,9.6900,7.731
3,2017-05-03,13:30:00,0,9.6938,7.732
4,2017-05-03,13:45:00,0,9.6986,7.733
5,2017-05-03,14:00:00,0,9.6999,7.733
6,2017-05-03,14:15:00,0,9.7027,7.733
7,2017-05-03,14:30:00,0,9.7070,7.732
8,2017-05-03,14:45:00,0,9.7100,7.732
9,2017-05-03,15:00:00,0,9.7134,7.732
10,2017-05-03,15:15:00,0,9.7153,7.732
11,2017-05-03,15:30:00,0,9.7172,7.730
12,2017-05-03,15:45:00,0,9.7201,7.731
13,2017-05-03,16:00:00,0,9.7195,7.731
14,2017-05-03,16:15:00,0,9.7215,7.730
15,2017-05-03,16:30:00,0,9.7199,7.729
16,2017-05-03,16:45:00,0,9.7224,7.730
17,2017-05-03,17:00:00,0,9.7248,7.729
18,2017-05-03,17:15:00,0,9.7260,7.729
19,2017-05-03,17:30:00,0,9.7281,7.729
20,2017-05-03,17:45:00,0,9.7276,7.729
21,2017-05-03,18:00:00,0,9.7302,7.729
22,2017-05-03,18:15:00,0,9.7316,7.729
23,2017-05-03,18:30:00,0,9.7336,7.728
24,2017-05-03,18:45:00,0,9.7358,7.729
25,2017-05-03,19:00:00,0,9.7390,7.729
26,2017-05-03,19:15:00,0,9.7421,7.729
27,2017-05-03,19:30:00,0,9.7449,7.728
28,2017-05-03,19:45:00,0,9.7468,7.729
29,2017-05-03,20:00:00,0,9.7468,7.729
30,2017-05-03,20:15:00,0,9.7514,7.728
31,2017-05-03,20:30:00,0,9.7528,7.729
32,2017-05-03,20:45:00,0,9.7556,7.729
33,2017-05-03,21:00:00,0,9.7587,7.729
34,2017-05-03,21:15:00,0,9.7610,7.728
