Serial Number
	1047666
Project ID
	03030018
Location
	Saint-Hyacinte
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		33        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-01,19:00:00,0,1321.9299,8.247
2,2017-05-01,19:15:00,0,1321.8400,8.248
3,2017-05-01,19:30:00,0,1321.7000,8.246
4,2017-05-01,19:45:00,0,1321.6400,8.246
5,2017-05-01,20:00:00,0,1321.3300,8.245
6,2017-05-01,20:15:00,0,1321.2999,8.244
7,2017-05-01,20:30:00,0,1321.4199,8.243
8,2017-05-01,20:45:00,0,1321.3700,8.244
9,2017-05-01,21:00:00,0,1321.3800,8.243
10,2017-05-01,21:15:00,0,1321.5100,8.243
11,2017-05-01,21:30:00,0,1322.7700,8.244
12,2017-05-01,21:45:00,0,1321.9700,8.245
13,2017-05-01,22:00:00,0,1321.7800,8.244
14,2017-05-01,22:15:00,0,1321.6699,8.245
15,2017-05-01,22:30:00,0,1321.5300,8.244
16,2017-05-01,22:45:00,0,1321.6200,8.246
17,2017-05-01,23:00:00,0,1321.3700,8.244
18,2017-05-01,23:15:00,0,1321.8700,8.244
19,2017-05-01,23:30:00,0,1321.3800,8.243
20,2017-05-01,23:45:00,0,1320.9199,8.246
21,2017-05-02,00:00:00,0,1320.7300,8.245
22,2017-05-02,00:15:00,0,1320.0699,8.244
23,2017-05-02,00:30:00,0,1320.1300,8.244
24,2017-05-02,00:45:00,0,1320.5300,8.244
25,2017-05-02,01:00:00,0,1320.6300,8.243
26,2017-05-02,01:15:00,0,1320.8300,8.245
27,2017-05-02,01:30:00,0,1320.7700,8.245
28,2017-05-02,01:45:00,0,1320.6699,8.244
29,2017-05-02,02:00:00,0,1320.4000,8.244
30,2017-05-02,02:15:00,0,1320.3099,8.244
31,2017-05-02,02:30:00,0,1320.5300,8.244
32,2017-05-02,02:45:00,0,1320.3900,8.245
33,2017-05-02,03:00:00,0,1320.3700,8.244
34,2017-05-02,03:15:00,0,1320.2200,8.244
35,2017-05-02,03:30:00,0,1320.2700,8.243
36,2017-05-02,03:45:00,0,1320.1500,8.244
37,2017-05-02,04:00:00,0,1320.2600,8.243
38,2017-05-02,04:15:00,0,1320.2100,8.243
39,2017-05-02,04:30:00,0,1320.1400,8.244
40,2017-05-02,04:45:00,0,1320.0800,8.245
41,2017-05-02,05:00:00,0,1319.9800,8.245
42,2017-05-02,05:15:00,0,1319.9900,8.244
43,2017-05-02,05:30:00,0,1319.9800,8.245
44,2017-05-02,05:45:00,0,1320.0300,8.244
45,2017-05-02,06:00:00,0,1320.0100,8.244
46,2017-05-02,06:15:00,0,1319.9800,8.244
47,2017-05-02,06:30:00,0,1320.0200,8.244
48,2017-05-02,06:45:00,0,1320.0100,8.245
49,2017-05-02,07:00:00,0,1320.1899,8.245
50,2017-05-02,07:15:00,0,1320.1899,8.246
51,2017-05-02,07:30:00,0,1320.1200,8.243
52,2017-05-02,07:45:00,0,1320.0399,8.244
53,2017-05-02,08:00:00,0,1319.9099,8.244
54,2017-05-02,08:15:00,0,1320.0800,8.243
55,2017-05-02,08:30:00,0,1319.9299,8.243
56,2017-05-02,08:45:00,0,1319.8800,8.246
57,2017-05-02,09:00:00,0,1319.9700,8.243
58,2017-05-02,09:15:00,0,1319.9700,8.242
59,2017-05-02,09:30:00,0,1319.8300,8.243
60,2017-05-02,09:45:00,0,1319.7500,8.244
61,2017-05-02,10:00:00,0,1319.6500,8.243
62,2017-05-02,10:15:00,0,1319.6500,8.244
63,2017-05-02,10:30:00,0,1319.7200,8.245
64,2017-05-02,10:45:00,0,1319.5499,8.244
65,2017-05-02,11:00:00,0,1319.7100,8.242
66,2017-05-02,11:15:00,0,1319.6899,8.245
67,2017-05-02,11:30:00,0,1319.6300,8.243
68,2017-05-02,11:45:00,0,1319.5800,8.243
69,2017-05-02,12:00:00,0,1319.5200,8.243
70,2017-05-02,12:15:00,0,1319.5399,8.243
71,2017-05-02,12:30:00,0,1319.3500,8.243
72,2017-05-02,12:45:00,0,1319.2800,8.244
73,2017-05-02,13:00:00,0,1319.2200,8.244
74,2017-05-02,13:15:00,0,1319.1899,8.244
75,2017-05-02,13:30:00,0,1319.0800,8.243
76,2017-05-02,13:45:00,0,1319.0000,8.243
77,2017-05-02,14:00:00,0,1318.9299,8.243
78,2017-05-02,14:15:00,0,1318.9000,8.243
79,2017-05-02,14:30:00,0,1318.9000,8.243
80,2017-05-02,14:45:00,0,1318.7899,8.244
81,2017-05-02,15:00:00,0,1318.8199,8.244
82,2017-05-02,15:15:00,0,1318.6599,8.244
83,2017-05-02,15:30:00,0,1318.7200,8.245
84,2017-05-02,15:45:00,0,1318.5800,8.245
85,2017-05-02,16:00:00,0,1318.7100,8.244
86,2017-05-02,16:15:00,0,1318.5200,8.245
87,2017-05-02,16:30:00,0,1318.5599,8.244
88,2017-05-02,16:45:00,0,1318.3500,8.244
89,2017-05-02,17:00:00,0,1318.6500,8.244
90,2017-05-02,17:15:00,0,1318.5800,8.244
91,2017-05-02,17:30:00,0,1318.6799,8.244
92,2017-05-02,17:45:00,0,1318.6799,8.243
93,2017-05-02,18:00:00,0,1318.6699,8.244
94,2017-05-02,18:15:00,0,1318.7600,8.243
95,2017-05-02,18:30:00,0,1318.7899,8.244
96,2017-05-02,18:45:00,0,1319.0900,8.244
97,2017-05-02,19:00:00,0,1318.9700,8.245
98,2017-05-02,19:15:00,0,1318.7800,8.245
99,2017-05-02,19:30:00,0,1318.8900,8.243
100,2017-05-02,19:45:00,0,1319.0900,8.244
