Serial Number
	1047993
Project ID
	03040010
Location
	St-Jean/St-Blaise
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		32        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,19:00:00,0,651.2460,8.833
2,2016-11-25,19:15:00,0,650.1530,8.833
3,2016-11-25,19:30:00,0,650.4250,8.832
4,2016-11-25,19:45:00,0,651.0400,8.833
5,2016-11-25,20:00:00,0,652.0280,8.833
6,2016-11-25,20:15:00,0,652.6931,8.834
7,2016-11-25,20:30:00,0,652.9440,8.834
8,2016-11-25,20:45:00,0,653.1400,8.832
9,2016-11-25,21:00:00,0,652.8860,8.832
10,2016-11-25,21:15:00,0,652.6100,8.833
11,2016-11-25,21:30:00,0,652.7820,8.833
12,2016-11-25,21:45:00,0,651.9080,8.833
13,2016-11-25,22:00:00,0,652.2330,8.833
14,2016-11-25,22:15:00,0,652.0580,8.834
15,2016-11-25,22:30:00,0,652.1550,8.833
16,2016-11-25,22:45:00,0,652.5770,8.832
17,2016-11-25,23:00:00,0,652.9520,8.833
18,2016-11-25,23:15:00,0,653.1331,8.833
19,2016-11-25,23:30:00,0,653.1620,8.833
20,2016-11-25,23:45:00,0,652.5750,8.833
21,2016-11-26,00:00:00,0,651.7180,8.834
22,2016-11-26,00:15:00,0,652.7760,8.833
23,2016-11-26,00:30:00,0,653.1100,8.832
24,2016-11-26,00:45:00,0,652.8270,8.833
25,2016-11-26,01:00:00,0,653.3020,8.832
26,2016-11-26,01:15:00,0,653.5620,8.833
27,2016-11-26,01:30:00,0,653.8571,8.833
28,2016-11-26,01:45:00,0,654.0050,8.833
29,2016-11-26,02:00:00,0,653.7321,8.832
30,2016-11-26,02:15:00,0,654.0930,8.834
31,2016-11-26,02:30:00,0,653.7590,8.833
32,2016-11-26,02:45:00,0,653.6320,8.833
33,2016-11-26,03:00:00,0,653.9780,8.832
34,2016-11-26,03:15:00,0,654.0770,8.831
35,2016-11-26,03:30:00,0,654.1780,8.833
36,2016-11-26,03:45:00,0,654.3850,8.834
37,2016-11-26,04:00:00,0,654.5360,8.834
38,2016-11-26,04:15:00,0,654.5341,8.833
39,2016-11-26,04:30:00,0,654.7430,8.833
40,2016-11-26,04:45:00,0,654.8450,8.833
41,2016-11-26,05:00:00,0,654.9880,8.834
42,2016-11-26,05:15:00,0,655.0740,8.833
43,2016-11-26,05:30:00,0,655.0601,8.833
44,2016-11-26,05:45:00,0,655.1430,8.833
45,2016-11-26,06:00:00,0,655.1340,8.834
46,2016-11-26,06:15:00,0,655.1550,8.834
47,2016-11-26,06:30:00,0,655.2250,8.832
48,2016-11-26,06:45:00,0,655.1290,8.834
49,2016-11-26,07:00:00,0,653.4880,8.833
50,2016-11-26,07:15:00,0,654.6910,8.833
51,2016-11-26,07:30:00,0,654.8911,8.833
52,2016-11-26,07:45:00,0,652.7090,8.834
