Serial Number
	1047993
Project ID
	03040010
Location
	St-Jean/St-Blaise
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		32        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-02,19:00:00,0,691.7271,8.707
2,2017-05-02,19:15:00,0,691.1511,8.694
3,2017-05-02,19:30:00,0,691.6880,8.700
4,2017-05-02,19:45:00,0,690.2220,8.710
5,2017-05-02,20:00:00,0,692.8831,8.716
6,2017-05-02,20:15:00,0,694.2150,8.717
7,2017-05-02,20:30:00,0,694.3340,8.720
8,2017-05-02,20:45:00,0,695.1470,8.711
9,2017-05-02,21:00:00,0,694.7340,8.715
10,2017-05-02,21:15:00,0,695.0200,8.723
11,2017-05-02,21:30:00,0,696.1450,8.729
12,2017-05-02,21:45:00,0,695.5001,8.721
13,2017-05-02,22:00:00,0,696.4110,8.697
14,2017-05-02,22:15:00,0,696.7350,8.696
15,2017-05-02,22:30:00,0,697.0480,8.710
16,2017-05-02,22:45:00,0,697.0350,8.688
17,2017-05-02,23:00:00,0,697.4580,8.728
18,2017-05-02,23:15:00,0,697.5430,8.708
19,2017-05-02,23:30:00,0,697.8550,8.692
20,2017-05-02,23:45:00,0,698.0861,8.708
21,2017-05-03,00:00:00,0,696.5750,8.712
22,2017-05-03,00:15:00,0,698.1700,8.724
23,2017-05-03,00:30:00,0,698.6021,8.707
24,2017-05-03,00:45:00,0,698.7280,8.711
25,2017-05-03,01:00:00,0,698.9030,8.714
26,2017-05-03,01:15:00,0,698.8130,8.721
27,2017-05-03,01:30:00,0,699.1470,8.719
28,2017-05-03,01:45:00,0,699.2971,8.707
29,2017-05-03,02:00:00,0,699.5050,8.704
30,2017-05-03,02:15:00,0,699.7260,8.702
31,2017-05-03,02:30:00,0,699.8540,8.712
32,2017-05-03,02:45:00,0,699.9771,8.715
33,2017-05-03,03:00:00,0,700.3441,8.721
34,2017-05-03,03:15:00,0,700.5900,8.718
35,2017-05-03,03:30:00,0,700.8101,8.707
36,2017-05-03,03:45:00,0,700.9980,8.714
37,2017-05-03,04:00:00,0,701.1641,8.714
38,2017-05-03,04:15:00,0,701.3710,8.712
39,2017-05-03,04:30:00,0,701.4741,8.725
40,2017-05-03,04:45:00,0,701.6740,8.715
41,2017-05-03,05:00:00,0,701.4310,8.718
42,2017-05-03,05:15:00,0,701.6940,8.704
43,2017-05-03,05:30:00,0,698.7010,8.717
44,2017-05-03,05:45:00,0,699.7470,8.702
45,2017-05-03,06:00:00,0,701.3831,8.705
46,2017-05-03,06:15:00,0,701.7200,8.719
47,2017-05-03,06:30:00,0,701.2280,8.716
48,2017-05-03,06:45:00,0,700.2960,8.711
49,2017-05-03,07:00:00,0,698.2410,8.723
50,2017-05-03,07:15:00,0,700.6511,8.717
51,2017-05-03,07:30:00,0,700.6591,8.698
52,2017-05-03,07:45:00,0,701.1240,8.702
53,2017-05-03,08:00:00,0,701.6000,8.712
54,2017-05-03,08:15:00,0,700.9110,8.721
55,2017-05-03,08:30:00,0,700.3820,8.711
56,2017-05-03,08:45:00,0,700.6760,8.711
57,2017-05-03,09:00:00,0,700.7401,8.728
58,2017-05-03,09:15:00,0,700.7430,8.730
59,2017-05-03,09:30:00,0,698.7791,8.713
60,2017-05-03,09:45:00,0,699.8930,8.713
61,2017-05-03,10:00:00,0,699.6450,8.706
62,2017-05-03,10:15:00,0,699.7670,8.716
63,2017-05-03,10:30:00,0,699.3181,8.716
64,2017-05-03,10:45:00,0,698.2020,8.695
65,2017-05-03,11:00:00,0,696.8500,8.713
66,2017-05-03,11:15:00,0,696.5570,8.712
67,2017-05-03,11:30:00,0,697.3470,8.719
68,2017-05-03,11:45:00,0,697.4470,8.705
69,2017-05-03,12:00:00,0,698.4041,8.710
70,2017-05-03,12:15:00,0,698.6260,8.711
71,2017-05-03,12:30:00,0,697.2120,8.712
72,2017-05-03,12:45:00,0,697.4030,8.727
73,2017-05-03,13:00:00,0,698.5050,8.708
74,2017-05-03,13:15:00,0,698.9330,8.707
75,2017-05-03,13:30:00,0,698.6560,8.708
76,2017-05-03,13:45:00,0,698.8010,8.711
77,2017-05-03,14:00:00,0,698.4271,8.715
78,2017-05-03,14:15:00,0,698.8120,8.714
79,2017-05-03,14:30:00,0,698.9041,8.703
80,2017-05-03,14:45:00,0,699.0480,8.698
81,2017-05-03,15:00:00,0,699.2661,8.687
82,2017-05-03,15:15:00,0,699.1970,8.705
83,2017-05-03,15:30:00,0,696.6580,8.711
84,2017-05-03,15:45:00,0,698.2340,8.710
85,2017-05-03,16:00:00,0,697.7891,8.704
86,2017-05-03,16:15:00,0,698.0910,8.717
87,2017-05-03,16:30:00,0,698.4670,8.705
88,2017-05-03,16:45:00,0,698.8400,8.712
89,2017-05-03,17:00:00,0,697.6671,8.714
90,2017-05-03,17:15:00,0,697.9260,8.712
91,2017-05-03,17:30:00,0,698.0031,8.714
92,2017-05-03,17:45:00,0,694.4280,8.699
93,2017-05-03,18:00:00,0,696.4860,8.698
94,2017-05-03,18:15:00,0,694.9470,8.701
95,2017-05-03,18:30:00,0,695.3140,8.709
96,2017-05-03,18:45:00,0,696.0780,8.709
97,2017-05-03,19:00:00,0,693.7820,8.712
98,2017-05-03,19:15:00,0,693.7820,8.724
99,2017-05-03,19:30:00,0,696.6381,8.712
100,2017-05-03,19:45:00,0,697.9850,8.728
101,2017-05-03,20:00:00,0,697.7860,8.723
102,2017-05-03,20:15:00,0,697.8660,8.702
103,2017-05-03,20:30:00,0,698.7581,8.711
104,2017-05-03,20:45:00,0,698.7830,8.710
105,2017-05-03,21:00:00,0,697.2120,8.712
106,2017-05-03,21:15:00,0,696.5391,8.726
107,2017-05-03,21:30:00,0,698.7470,8.688
108,2017-05-03,21:45:00,0,699.6180,8.699
109,2017-05-03,22:00:00,0,699.4561,8.713
110,2017-05-03,22:15:00,0,698.7050,8.713
111,2017-05-03,22:30:00,0,700.0120,8.716
112,2017-05-03,22:45:00,0,700.7720,8.706
113,2017-05-03,23:00:00,0,701.4080,8.720
114,2017-05-03,23:15:00,0,702.0211,8.720
115,2017-05-03,23:30:00,0,702.3040,8.721
116,2017-05-03,23:45:00,0,702.4630,8.718
117,2017-05-04,00:00:00,0,702.7410,8.725
118,2017-05-04,00:15:00,0,703.0570,8.721
119,2017-05-04,00:30:00,0,703.1880,8.710
120,2017-05-04,00:45:00,0,703.3930,8.723
121,2017-05-04,01:00:00,0,703.6820,8.706
122,2017-05-04,01:15:00,0,703.8660,8.727
123,2017-05-04,01:30:00,0,704.1170,8.715
124,2017-05-04,01:45:00,0,704.3090,8.710
125,2017-05-04,02:00:00,0,704.7820,8.696
126,2017-05-04,02:15:00,0,704.8441,8.713
127,2017-05-04,02:30:00,0,705.0320,8.706
128,2017-05-04,02:45:00,0,705.1461,8.684
129,2017-05-04,03:00:00,0,698.3350,8.708
130,2017-05-04,03:15:00,0,701.6901,8.706
131,2017-05-04,03:30:00,0,700.7000,8.719
132,2017-05-04,03:45:00,0,700.7670,8.700
133,2017-05-04,04:00:00,0,700.7430,8.711
134,2017-05-04,04:15:00,0,702.1201,8.700
135,2017-05-04,04:30:00,0,698.9410,8.708
136,2017-05-04,04:45:00,0,702.5640,8.700
137,2017-05-04,05:00:00,0,703.1270,8.706
138,2017-05-04,05:15:00,0,704.4141,8.711
139,2017-05-04,05:30:00,0,705.2210,8.722
140,2017-05-04,05:45:00,0,705.7191,8.715
141,2017-05-04,06:00:00,0,706.1620,8.731
142,2017-05-04,06:15:00,0,705.3030,8.707
143,2017-05-04,06:30:00,0,702.2990,8.718
144,2017-05-04,06:45:00,0,704.7200,8.726
145,2017-05-04,07:00:00,0,704.3000,8.715
146,2017-05-04,07:15:00,0,703.8130,8.704
147,2017-05-04,07:30:00,0,704.8690,8.715
148,2017-05-04,07:45:00,0,705.7220,8.704
149,2017-05-04,08:00:00,0,704.6920,8.715
150,2017-05-04,08:15:00,0,705.2210,8.712
151,2017-05-04,08:30:00,0,705.1901,8.698
