Serial Number
	1047998
Project ID
	03040015
Location
	Eastman
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		258       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-23,13:00:00,0,620.3521,6.561
2,2016-11-23,13:15:00,0,620.5910,6.561
3,2016-11-23,13:30:00,0,620.8781,6.560
4,2016-11-23,13:45:00,0,621.0150,6.560
5,2016-11-23,14:00:00,0,621.1400,6.560
6,2016-11-23,14:15:00,0,621.0830,6.560
7,2016-11-23,14:30:00,0,621.1440,6.561
8,2016-11-23,14:45:00,0,621.3010,6.561
9,2016-11-23,15:00:00,0,621.3070,6.561
10,2016-11-23,15:15:00,0,621.4720,6.561
11,2016-11-23,15:30:00,0,621.6120,6.562
12,2016-11-23,15:45:00,0,621.9070,6.562
13,2016-11-23,16:00:00,0,621.9230,6.562
14,2016-11-23,16:15:00,0,621.8790,6.562
15,2016-11-23,16:30:00,0,621.9250,6.562
16,2016-11-23,16:45:00,0,621.9431,6.562
17,2016-11-23,17:00:00,0,621.9700,6.562
18,2016-11-23,17:15:00,0,622.1290,6.562
19,2016-11-23,17:30:00,0,622.0350,6.563
20,2016-11-23,17:45:00,0,621.9270,6.563
21,2016-11-23,18:00:00,0,621.9431,6.563
22,2016-11-23,18:15:00,0,621.8880,6.563
23,2016-11-23,18:30:00,0,621.7860,6.562
24,2016-11-23,18:45:00,0,621.7890,6.563
25,2016-11-23,19:00:00,0,621.7860,6.563
26,2016-11-23,19:15:00,0,621.8530,6.563
27,2016-11-23,19:30:00,0,622.0510,6.564
28,2016-11-23,19:45:00,0,622.1740,6.564
29,2016-11-23,20:00:00,0,622.1230,6.564
30,2016-11-23,20:15:00,0,622.2670,6.564
31,2016-11-23,20:30:00,0,622.3990,6.565
32,2016-11-23,20:45:00,0,622.3950,6.564
33,2016-11-23,21:00:00,0,622.4221,6.564
34,2016-11-23,21:15:00,0,622.5640,6.564
35,2016-11-23,21:30:00,0,622.5870,6.565
36,2016-11-23,21:45:00,0,622.7160,6.564
37,2016-11-23,22:00:00,0,622.9180,6.565
38,2016-11-23,22:15:00,0,623.0551,6.565
39,2016-11-23,22:30:00,0,623.2050,6.565
40,2016-11-23,22:45:00,0,623.2820,6.564
41,2016-11-23,23:00:00,0,623.4240,6.565
42,2016-11-23,23:15:00,0,623.4110,6.565
43,2016-11-23,23:30:00,0,623.3290,6.565
44,2016-11-23,23:45:00,0,623.4380,6.564
45,2016-11-24,00:00:00,0,623.4750,6.565
46,2016-11-24,00:15:00,0,623.3970,6.564
47,2016-11-24,00:30:00,0,623.4030,6.564
48,2016-11-24,00:45:00,0,623.4641,6.565
49,2016-11-24,01:00:00,0,623.3370,6.565
50,2016-11-24,01:15:00,0,623.2980,6.565
51,2016-11-24,01:30:00,0,623.4080,6.565
52,2016-11-24,01:45:00,0,623.4960,6.565
53,2016-11-24,02:00:00,0,623.5250,6.566
54,2016-11-24,02:15:00,0,623.4771,6.566
55,2016-11-24,02:30:00,0,623.3060,6.565
56,2016-11-24,02:45:00,0,623.0620,6.565
57,2016-11-24,03:00:00,0,623.1050,6.566
58,2016-11-24,03:15:00,0,623.0150,6.565
59,2016-11-24,03:30:00,0,622.9790,6.566
60,2016-11-24,03:45:00,0,623.0440,6.566
61,2016-11-24,04:00:00,0,622.9250,6.566
62,2016-11-24,04:15:00,0,623.0360,6.565
63,2016-11-24,04:30:00,0,622.9920,6.566
64,2016-11-24,04:45:00,0,623.0670,6.566
65,2016-11-24,05:00:00,0,622.9920,6.566
66,2016-11-24,05:15:00,0,622.9030,6.567
67,2016-11-24,05:30:00,0,622.9280,6.567
68,2016-11-24,05:45:00,0,622.9091,6.567
69,2016-11-24,06:00:00,0,623.0341,6.567
70,2016-11-24,06:15:00,0,623.1770,6.567
71,2016-11-24,06:30:00,0,623.0570,6.567
72,2016-11-24,06:45:00,0,623.0570,6.567
73,2016-11-24,07:00:00,0,623.0310,6.567
74,2016-11-24,07:15:00,0,622.9420,6.568
75,2016-11-24,07:30:00,0,622.8020,6.567
76,2016-11-24,07:45:00,0,622.7640,6.568
77,2016-11-24,08:00:00,0,622.8170,6.568
78,2016-11-24,08:15:00,0,622.7130,6.568
79,2016-11-24,08:30:00,0,622.7020,6.568
80,2016-11-24,08:45:00,0,622.5540,6.568
81,2016-11-24,09:00:00,0,622.4481,6.569
82,2016-11-24,09:15:00,0,622.3770,6.569
83,2016-11-24,09:30:00,0,622.3101,6.568
84,2016-11-24,09:45:00,0,622.3220,6.569
85,2016-11-24,10:00:00,0,622.2180,6.569
86,2016-11-24,10:15:00,0,622.1400,6.569
87,2016-11-24,10:30:00,0,621.9310,6.569
88,2016-11-24,10:45:00,0,621.8190,6.569
89,2016-11-24,11:00:00,0,621.7230,6.570
90,2016-11-24,11:15:00,0,621.6880,6.569
91,2016-11-24,11:30:00,0,621.5090,6.569
92,2016-11-24,11:45:00,0,621.4351,6.569
93,2016-11-24,12:00:00,0,621.4650,6.570
94,2016-11-24,12:15:00,0,621.4041,6.569
95,2016-11-24,12:30:00,0,621.3361,6.570
96,2016-11-24,12:45:00,0,621.2480,6.570
97,2016-11-24,13:00:00,0,621.2870,6.569
98,2016-11-24,13:15:00,0,621.2670,6.570
99,2016-11-24,13:30:00,0,621.2220,6.569
100,2016-11-24,13:45:00,0,621.1870,6.571
101,2016-11-24,14:00:00,0,621.1390,6.570
102,2016-11-24,14:15:00,0,621.1870,6.570
103,2016-11-24,14:30:00,0,621.2510,6.570
104,2016-11-24,14:45:00,0,621.1940,6.571
105,2016-11-24,15:00:00,0,621.2080,6.571
106,2016-11-24,15:15:00,0,621.1830,6.571
107,2016-11-24,15:30:00,0,621.1780,6.571
108,2016-11-24,15:45:00,0,621.2330,6.571
109,2016-11-24,16:00:00,0,621.1250,6.572
110,2016-11-24,16:15:00,0,621.1340,6.572
111,2016-11-24,16:30:00,0,621.0790,6.571
112,2016-11-24,16:45:00,0,621.0480,6.572
113,2016-11-24,17:00:00,0,621.1160,6.572
114,2016-11-24,17:15:00,0,621.0690,6.572
115,2016-11-24,17:30:00,0,621.1151,6.573
116,2016-11-24,17:45:00,0,621.0370,6.573
117,2016-11-24,18:00:00,0,621.0380,6.573
118,2016-11-24,18:15:00,0,620.9630,6.573
119,2016-11-24,18:30:00,0,620.8250,6.573
120,2016-11-24,18:45:00,0,620.8720,6.573
121,2016-11-24,19:00:00,0,620.8831,6.574
122,2016-11-24,19:15:00,0,620.7650,6.573
123,2016-11-24,19:30:00,0,620.7210,6.574
124,2016-11-24,19:45:00,0,620.7240,6.574
125,2016-11-24,20:00:00,0,620.5800,6.573
126,2016-11-24,20:15:00,0,620.5780,6.575
127,2016-11-24,20:30:00,0,620.4740,6.574
128,2016-11-24,20:45:00,0,620.4600,6.574
129,2016-11-24,21:00:00,0,620.4221,6.574
130,2016-11-24,21:15:00,0,620.3410,6.574
131,2016-11-24,21:30:00,0,620.2141,6.574
132,2016-11-24,21:45:00,0,620.2200,6.574
133,2016-11-24,22:00:00,0,620.1620,6.574
134,2016-11-24,22:15:00,0,620.0630,6.575
135,2016-11-24,22:30:00,0,620.1520,6.575
136,2016-11-24,22:45:00,0,620.3690,6.575
137,2016-11-24,23:00:00,0,620.4490,6.574
138,2016-11-24,23:15:00,0,620.4771,6.575
139,2016-11-24,23:30:00,0,620.5031,6.575
140,2016-11-24,23:45:00,0,620.5100,6.575
141,2016-11-25,00:00:00,0,620.5540,6.575
142,2016-11-25,00:15:00,0,620.5450,6.575
143,2016-11-25,00:30:00,0,620.5240,6.576
144,2016-11-25,00:45:00,0,620.5480,6.575
145,2016-11-25,01:00:00,0,620.4810,6.575
146,2016-11-25,01:15:00,0,620.4580,6.576
147,2016-11-25,01:30:00,0,620.4910,6.575
148,2016-11-25,01:45:00,0,620.6260,6.575
149,2016-11-25,02:00:00,0,620.4570,6.575
150,2016-11-25,02:15:00,0,620.5790,6.576
151,2016-11-25,02:30:00,0,620.6580,6.576
152,2016-11-25,02:45:00,0,620.7900,6.576
153,2016-11-25,03:00:00,0,620.8900,6.577
154,2016-11-25,03:15:00,0,620.9570,6.576
155,2016-11-25,03:30:00,0,621.1071,6.576
156,2016-11-25,03:45:00,0,621.0360,6.577
157,2016-11-25,04:00:00,0,620.9481,6.577
158,2016-11-25,04:15:00,0,620.9301,6.577
159,2016-11-25,04:30:00,0,620.7440,6.577
160,2016-11-25,04:45:00,0,620.5640,6.577
161,2016-11-25,05:00:00,0,620.5950,6.577
162,2016-11-25,05:15:00,0,620.5660,6.577
163,2016-11-25,05:30:00,0,620.5370,6.578
164,2016-11-25,05:45:00,0,620.3860,6.578
165,2016-11-25,06:00:00,0,620.3980,6.578
166,2016-11-25,06:15:00,0,620.4221,6.578
167,2016-11-25,06:30:00,0,620.5260,6.578
168,2016-11-25,06:45:00,0,620.4800,6.578
169,2016-11-25,07:00:00,0,620.4771,6.578
170,2016-11-25,07:15:00,0,620.3400,6.578
171,2016-11-25,07:30:00,0,620.3651,6.579
