Serial Number
	1047998
Project ID
	03040015
Location
	Eastman
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		258       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-01,13:00:00,0,658.4660,5.798
2,2017-05-01,13:15:00,0,658.3680,5.787
3,2017-05-01,13:30:00,0,658.3911,5.799
4,2017-05-01,13:45:00,0,658.4160,5.800
5,2017-05-01,14:00:00,0,658.3890,5.808
6,2017-05-01,14:15:00,0,658.3181,5.816
7,2017-05-01,14:30:00,0,658.1050,5.819
8,2017-05-01,14:45:00,0,657.9871,5.800
9,2017-05-01,15:00:00,0,657.7930,5.820
10,2017-05-01,15:15:00,0,657.3890,5.798
11,2017-05-01,15:30:00,0,657.7020,5.791
12,2017-05-01,15:45:00,0,657.3400,5.819
13,2017-05-01,16:00:00,0,657.3370,5.836
14,2017-05-01,16:15:00,0,657.2850,5.819
15,2017-05-01,16:30:00,0,656.7271,5.807
16,2017-05-01,16:45:00,0,656.6981,5.788
17,2017-05-01,17:00:00,0,656.6100,5.803
18,2017-05-01,17:15:00,0,656.2510,5.803
19,2017-05-01,17:30:00,0,656.2490,5.796
20,2017-05-01,17:45:00,0,655.8770,5.834
21,2017-05-01,18:00:00,0,655.8400,5.819
22,2017-05-01,18:15:00,0,655.6580,5.807
23,2017-05-01,18:30:00,0,655.6381,5.819
24,2017-05-01,18:45:00,0,655.5861,5.796
25,2017-05-01,19:00:00,0,655.4600,5.810
26,2017-05-01,19:15:00,0,655.4410,5.809
27,2017-05-01,19:30:00,0,655.2921,5.800
28,2017-05-01,19:45:00,0,655.2340,5.790
29,2017-05-01,20:00:00,0,654.7850,5.812
30,2017-05-01,20:15:00,0,654.2990,5.801
31,2017-05-01,20:30:00,0,654.4890,5.799
32,2017-05-01,20:45:00,0,654.0780,5.811
33,2017-05-01,21:00:00,0,654.4611,5.806
34,2017-05-01,21:15:00,0,654.6890,5.786
35,2017-05-01,21:30:00,0,655.2501,5.809
