Serial Number
	1048034
Project ID
	03030011
Location
	Brome
LEVEL
	Unit
		m
	Offset
		0.00      m
	Altitude
		200       m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2017-05-03,13:00:00,0,6.9160,6.312
2,2017-05-03,13:15:00,0,6.9204,6.345
3,2017-05-03,13:30:00,0,6.9245,6.340
4,2017-05-03,13:45:00,0,6.9262,6.350
5,2017-05-03,14:00:00,0,6.9289,6.343
6,2017-05-03,14:15:00,0,6.9320,6.299
7,2017-05-03,14:30:00,0,6.9352,6.341
8,2017-05-03,14:45:00,0,6.9375,6.374
9,2017-05-03,15:00:00,0,6.9390,6.378
10,2017-05-03,15:15:00,0,6.9404,6.344
11,2017-05-03,15:30:00,0,6.9420,6.359
12,2017-05-03,15:45:00,0,6.9424,6.303
13,2017-05-03,16:00:00,0,6.9422,6.364
14,2017-05-03,16:15:00,0,6.9422,6.324
15,2017-05-03,16:30:00,0,6.9419,6.303
16,2017-05-03,16:45:00,0,6.9427,6.370
17,2017-05-03,17:00:00,0,6.9441,6.323
18,2017-05-03,17:15:00,0,6.9443,6.333
19,2017-05-03,17:30:00,0,6.9443,6.305
20,2017-05-03,17:45:00,0,6.9436,6.337
21,2017-05-03,18:00:00,0,6.9441,6.322
22,2017-05-03,18:15:00,0,6.9455,6.300
23,2017-05-03,18:30:00,0,6.9475,6.344
24,2017-05-03,18:45:00,0,6.9468,6.327
25,2017-05-03,19:00:00,0,6.9444,6.339
26,2017-05-03,19:15:00,0,6.9428,6.317
27,2017-05-03,19:30:00,0,6.9421,6.326
28,2017-05-03,19:45:00,0,6.9398,6.331
29,2017-05-03,20:00:00,0,6.9373,6.305
30,2017-05-03,20:15:00,0,6.9360,6.331
31,2017-05-03,20:30:00,0,6.9361,6.323
32,2017-05-03,20:45:00,0,6.9368,6.327
33,2017-05-03,21:00:00,0,6.9391,6.319
34,2017-05-03,21:15:00,0,6.9404,6.343
35,2017-05-03,21:30:00,0,6.9437,6.367
36,2017-05-03,21:45:00,0,6.9413,6.343
37,2017-05-03,22:00:00,0,6.9415,6.324
38,2017-05-03,22:15:00,0,6.9430,6.332
39,2017-05-03,22:30:00,0,6.9458,6.358
40,2017-05-03,22:45:00,0,6.9493,6.321
41,2017-05-03,23:00:00,0,6.9523,6.309
42,2017-05-03,23:15:00,0,6.9576,6.324
43,2017-05-03,23:30:00,0,6.9655,6.363
44,2017-05-03,23:45:00,0,6.9696,6.305
45,2017-05-04,00:00:00,0,6.9717,6.272
46,2017-05-04,00:15:00,0,6.9738,6.286
47,2017-05-04,00:30:00,0,6.9784,6.313
48,2017-05-04,00:45:00,0,6.9837,6.269
49,2017-05-04,01:00:00,0,6.9851,6.336
50,2017-05-04,01:15:00,0,6.9882,6.350
51,2017-05-04,01:30:00,0,6.9912,6.298
52,2017-05-04,01:45:00,0,6.9938,6.330
53,2017-05-04,02:00:00,0,6.9964,6.320
54,2017-05-04,02:15:00,0,7.0020,6.345
55,2017-05-04,02:30:00,0,7.0072,6.276
56,2017-05-04,02:45:00,0,7.0109,6.375
57,2017-05-04,03:00:00,0,7.0123,6.263
58,2017-05-04,03:15:00,0,7.0127,6.332
59,2017-05-04,03:30:00,0,7.0122,6.355
60,2017-05-04,03:45:00,0,7.0138,6.343
61,2017-05-04,04:00:00,0,7.0150,6.298
62,2017-05-04,04:15:00,0,7.0156,6.303
63,2017-05-04,04:30:00,0,7.0175,6.328
64,2017-05-04,04:45:00,0,7.0170,6.298
65,2017-05-04,05:00:00,0,7.0180,6.385
66,2017-05-04,05:15:00,0,7.0135,6.348
67,2017-05-04,05:30:00,0,7.0058,6.302
68,2017-05-04,05:45:00,0,7.0037,6.316
69,2017-05-04,06:00:00,0,7.0006,6.343
70,2017-05-04,06:15:00,0,6.9920,6.346
71,2017-05-04,06:30:00,0,6.9710,6.378
72,2017-05-04,06:45:00,0,6.9554,6.345
73,2017-05-04,07:00:00,0,6.9464,6.300
74,2017-05-04,07:15:00,0,6.9381,6.344
75,2017-05-04,07:30:00,0,6.9352,6.325
76,2017-05-04,07:45:00,0,6.9346,6.342
77,2017-05-04,08:00:00,0,6.9351,6.269
78,2017-05-04,08:15:00,0,6.9331,6.303
79,2017-05-04,08:30:00,0,6.9367,6.343
80,2017-05-04,08:45:00,0,6.9386,6.306
81,2017-05-04,09:00:00,0,6.9394,6.344
82,2017-05-04,09:15:00,0,6.9360,6.313
83,2017-05-04,09:30:00,0,6.9342,6.309
84,2017-05-04,09:45:00,0,6.9339,6.301
85,2017-05-04,10:00:00,0,6.9348,6.316
86,2017-05-04,10:15:00,0,6.9357,6.342
87,2017-05-04,10:30:00,0,6.9370,6.283
88,2017-05-04,10:45:00,0,6.9373,6.354
89,2017-05-04,11:00:00,0,6.9345,6.314
90,2017-05-04,11:15:00,0,6.9330,6.358
91,2017-05-04,11:30:00,0,6.9315,6.338
92,2017-05-04,11:45:00,0,6.9325,6.337
93,2017-05-04,12:00:00,0,6.9329,6.279
94,2017-05-04,12:15:00,0,6.9289,6.330
95,2017-05-04,12:30:00,0,6.9109,6.299
96,2017-05-04,12:45:00,0,6.8821,6.305
97,2017-05-04,13:00:00,0,6.8457,6.309
98,2017-05-04,13:15:00,0,6.8073,6.327
99,2017-05-04,13:30:00,0,6.7707,6.267
100,2017-05-04,13:45:00,0,6.7404,6.296
101,2017-05-04,14:00:00,0,6.7104,6.285
102,2017-05-04,14:15:00,0,6.6772,6.322
103,2017-05-04,14:30:00,0,6.6554,6.311
104,2017-05-04,14:45:00,0,6.6442,6.307
105,2017-05-04,15:00:00,0,6.6396,6.295
106,2017-05-04,15:15:00,0,6.6382,6.311
107,2017-05-04,15:30:00,0,6.6417,6.309
108,2017-05-04,15:45:00,0,6.6468,6.284
109,2017-05-04,16:00:00,0,6.6533,6.359
110,2017-05-04,16:15:00,0,6.6617,6.284
111,2017-05-04,16:30:00,0,6.6694,6.310
112,2017-05-04,16:45:00,0,6.6775,6.268
113,2017-05-04,17:00:00,0,6.6853,6.312
114,2017-05-04,17:15:00,0,6.6897,6.303
115,2017-05-04,17:30:00,0,6.6946,6.294
116,2017-05-04,17:45:00,0,6.7008,6.308
117,2017-05-04,18:00:00,0,6.7069,6.258
118,2017-05-04,18:15:00,0,6.7097,6.304
119,2017-05-04,18:30:00,0,6.7131,6.332
120,2017-05-04,18:45:00,0,6.7177,6.354
121,2017-05-04,19:00:00,0,6.7237,6.300
122,2017-05-04,19:15:00,0,6.7320,6.338
123,2017-05-04,19:30:00,0,6.7402,6.307
124,2017-05-04,19:45:00,0,6.7483,6.331
125,2017-05-04,20:00:00,0,6.7568,6.349
126,2017-05-04,20:15:00,0,6.7649,6.288
127,2017-05-04,20:30:00,0,6.7743,6.307
128,2017-05-04,20:45:00,0,6.7851,6.312
129,2017-05-04,21:00:00,0,6.7903,6.291
130,2017-05-04,21:15:00,0,6.7946,6.354
131,2017-05-04,21:30:00,0,6.7980,6.315
132,2017-05-04,21:45:00,0,6.8017,6.329
133,2017-05-04,22:00:00,0,6.8039,6.347
134,2017-05-04,22:15:00,0,6.8069,6.313
135,2017-05-04,22:30:00,0,6.8093,6.310
136,2017-05-04,22:45:00,0,6.8141,6.336
137,2017-05-04,23:00:00,0,6.8162,6.298
138,2017-05-04,23:15:00,0,6.8222,6.368
139,2017-05-04,23:30:00,0,6.8288,6.358
140,2017-05-04,23:45:00,0,6.8345,6.327
141,2017-05-05,00:00:00,0,6.8416,6.306
142,2017-05-05,00:15:00,0,6.8505,6.337
143,2017-05-05,00:30:00,0,6.8546,6.382
144,2017-05-05,00:45:00,0,6.8539,6.325
145,2017-05-05,01:00:00,0,6.8566,6.277
146,2017-05-05,01:15:00,0,6.8603,6.301
147,2017-05-05,01:30:00,0,6.8637,6.318
148,2017-05-05,01:45:00,0,6.8657,6.340
149,2017-05-05,02:00:00,0,6.8684,6.351
150,2017-05-05,02:15:00,0,6.8725,6.323
151,2017-05-05,02:30:00,0,6.8777,6.315
152,2017-05-05,02:45:00,0,6.8808,6.329
153,2017-05-05,03:00:00,0,6.8844,6.292
154,2017-05-05,03:15:00,0,6.8866,6.318
155,2017-05-05,03:30:00,0,6.8903,6.325
156,2017-05-05,03:45:00,0,6.8931,6.367
157,2017-05-05,04:00:00,0,6.8960,6.293
158,2017-05-05,04:15:00,0,6.8979,6.304
159,2017-05-05,04:30:00,0,6.8982,6.339
160,2017-05-05,04:45:00,0,6.8987,6.297
161,2017-05-05,05:00:00,0,6.8988,6.287
162,2017-05-05,05:15:00,0,6.8974,6.298
163,2017-05-05,05:30:00,0,6.8958,6.343
164,2017-05-05,05:45:00,0,6.8906,6.354
165,2017-05-05,06:00:00,0,6.8899,6.336
166,2017-05-05,06:15:00,0,6.8877,6.355
167,2017-05-05,06:30:00,0,6.8811,6.309
168,2017-05-05,06:45:00,0,6.8770,6.306
169,2017-05-05,07:00:00,0,6.8751,6.329
170,2017-05-05,07:15:00,0,6.8715,6.353
171,2017-05-05,07:30:00,0,6.8593,6.340
172,2017-05-05,07:45:00,0,6.8476,6.362
173,2017-05-05,08:00:00,0,6.8395,6.373
174,2017-05-05,08:15:00,0,6.8337,6.300
175,2017-05-05,08:30:00,0,6.8302,6.344
