Serial Number
	1048040
Project ID
	03040009
Location
	Saint-Jean-sur-Richelieu
LEVEL
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		34        m
TEMPERATURE
	Unit
		Deg C
,Date,Time,100 ms,LEVEL,TEMPERATURE
1,2016-11-25,19:00:00,0,714.7451,9.088
2,2016-11-25,19:15:00,0,714.6550,9.088
3,2016-11-25,19:30:00,0,714.7550,9.088
4,2016-11-25,19:45:00,0,714.6630,9.088
5,2016-11-25,20:00:00,0,714.4310,9.088
6,2016-11-25,20:15:00,0,714.4020,9.088
7,2016-11-25,20:30:00,0,714.3990,9.087
8,2016-11-25,20:45:00,0,714.3920,9.087
9,2016-11-25,21:00:00,0,714.4011,9.088
10,2016-11-25,21:15:00,0,714.4590,9.088
11,2016-11-25,21:30:00,0,714.4130,9.088
12,2016-11-25,21:45:00,0,714.4230,9.087
13,2016-11-25,22:00:00,0,714.1820,9.087
14,2016-11-25,22:15:00,0,714.2000,9.086
15,2016-11-25,22:30:00,0,714.2141,9.087
16,2016-11-25,22:45:00,0,714.2800,9.086
17,2016-11-25,23:00:00,0,714.1970,9.086
18,2016-11-25,23:15:00,0,714.0720,9.087
19,2016-11-25,23:30:00,0,714.0471,9.087
20,2016-11-25,23:45:00,0,714.0850,9.086
21,2016-11-26,00:00:00,0,714.0280,9.086
22,2016-11-26,00:15:00,0,713.9710,9.086
23,2016-11-26,00:30:00,0,714.0440,9.086
24,2016-11-26,00:45:00,0,713.9810,9.086
25,2016-11-26,01:00:00,0,714.0471,9.086
26,2016-11-26,01:15:00,0,714.0580,9.086
27,2016-11-26,01:30:00,0,714.2040,9.085
28,2016-11-26,01:45:00,0,714.2980,9.086
29,2016-11-26,02:00:00,0,714.2791,9.086
30,2016-11-26,02:15:00,0,714.4130,9.086
31,2016-11-26,02:30:00,0,714.3491,9.086
32,2016-11-26,02:45:00,0,714.2761,9.086
33,2016-11-26,03:00:00,0,714.1970,9.087
34,2016-11-26,03:15:00,0,714.1320,9.087
35,2016-11-26,03:30:00,0,713.9860,9.087
36,2016-11-26,03:45:00,0,713.9050,9.085
37,2016-11-26,04:00:00,0,713.8970,9.086
38,2016-11-26,04:15:00,0,713.9091,9.085
39,2016-11-26,04:30:00,0,713.9160,9.086
40,2016-11-26,04:45:00,0,714.1170,9.085
41,2016-11-26,05:00:00,0,714.2550,9.086
42,2016-11-26,05:15:00,0,714.3391,9.085
43,2016-11-26,05:30:00,0,714.3870,9.086
44,2016-11-26,05:45:00,0,714.4180,9.086
45,2016-11-26,06:00:00,0,714.3680,9.086
46,2016-11-26,06:15:00,0,714.3101,9.085
47,2016-11-26,06:30:00,0,714.2480,9.085
48,2016-11-26,06:45:00,0,714.2520,9.085
49,2016-11-26,07:00:00,0,714.2720,9.086
50,2016-11-26,07:15:00,0,714.4490,9.086
51,2016-11-26,07:30:00,0,714.3300,9.086
52,2016-11-26,07:45:00,0,714.2590,9.085
53,2016-11-26,08:00:00,0,714.3040,9.085
54,2016-11-26,08:15:00,0,714.3130,9.085
55,2016-11-26,08:30:00,0,714.3300,9.084
56,2016-11-26,08:45:00,0,714.4970,9.085
57,2016-11-26,09:00:00,0,714.4570,9.085
58,2016-11-26,09:15:00,0,714.4080,9.084
59,2016-11-26,09:30:00,0,714.4190,9.085
60,2016-11-26,09:45:00,0,714.4940,9.085
61,2016-11-26,10:00:00,0,714.4840,9.084
62,2016-11-26,10:15:00,0,714.4020,9.084
63,2016-11-26,10:30:00,0,714.2910,9.084
64,2016-11-26,10:45:00,0,714.1690,9.084
65,2016-11-26,11:00:00,0,714.0081,9.085
66,2016-11-26,11:15:00,0,713.9260,9.083
67,2016-11-26,11:30:00,0,713.8660,9.085
68,2016-11-26,11:45:00,0,713.8961,9.085
