Serial Number
	1048047
Project ID
	03030007
Location
	St-Valerien-de-Milton
Level
	Unit
		cm
	Offset
		0.00      cm
	Altitude
		63        m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2017-05-01,19:00:00,0,427.6350,8.205
2,2017-05-01,19:15:00,0,427.6260,8.200
3,2017-05-01,19:30:00,0,427.4660,8.191
4,2017-05-01,19:45:00,0,427.1150,8.193
5,2017-05-01,20:00:00,0,426.5870,8.185
6,2017-05-01,20:15:00,0,426.0850,8.201
7,2017-05-01,20:30:00,0,426.0740,8.201
8,2017-05-01,20:45:00,0,426.0160,8.182
9,2017-05-01,21:00:00,0,426.3920,8.172
10,2017-05-01,21:15:00,0,426.7740,8.167
11,2017-05-01,21:30:00,0,427.2830,8.210
12,2017-05-01,21:45:00,0,429.8190,8.233
13,2017-05-01,22:00:00,0,428.9570,8.191
14,2017-05-01,22:15:00,0,428.7310,8.207
15,2017-05-01,22:30:00,0,428.7550,8.185
16,2017-05-01,22:45:00,0,428.7130,8.213
17,2017-05-01,23:00:00,0,429.0130,8.242
18,2017-05-01,23:15:00,0,429.3490,8.192
19,2017-05-01,23:30:00,0,429.6470,8.189
20,2017-05-01,23:45:00,0,428.7120,8.150
21,2017-05-02,00:00:00,0,427.4150,8.176
22,2017-05-02,00:15:00,0,425.5790,8.203
23,2017-05-02,00:30:00,0,425.6340,8.168
24,2017-05-02,00:45:00,0,426.5470,8.206
25,2017-05-02,01:00:00,0,427.1540,8.210
26,2017-05-02,01:15:00,0,427.5350,8.207
27,2017-05-02,01:30:00,0,427.5200,8.228
28,2017-05-02,01:45:00,0,428.2650,8.198
29,2017-05-02,02:00:00,0,427.5220,8.177
30,2017-05-02,02:15:00,0,427.8580,8.192
31,2017-05-02,02:30:00,0,428.5040,8.215
32,2017-05-02,02:45:00,0,428.6420,8.195
33,2017-05-02,03:00:00,0,428.5190,8.207
34,2017-05-02,03:15:00,0,428.6540,8.178
35,2017-05-02,03:30:00,0,428.9400,8.229
36,2017-05-02,03:45:00,0,429.2130,8.215
37,2017-05-02,04:00:00,0,429.3740,8.170
38,2017-05-02,04:15:00,0,429.7350,8.208
39,2017-05-02,04:30:00,0,429.7000,8.160
40,2017-05-02,04:45:00,0,430.0200,8.187
41,2017-05-02,05:00:00,0,430.0750,8.216
42,2017-05-02,05:15:00,0,430.2860,8.173
43,2017-05-02,05:30:00,0,430.7970,8.200
44,2017-05-02,05:45:00,0,430.8860,8.183
45,2017-05-02,06:00:00,0,431.0590,8.181
46,2017-05-02,06:15:00,0,431.2130,8.177
47,2017-05-02,06:30:00,0,431.5240,8.203
48,2017-05-02,06:45:00,0,431.9240,8.207
49,2017-05-02,07:00:00,0,432.3400,8.203
50,2017-05-02,07:15:00,0,432.6180,8.200
51,2017-05-02,07:30:00,0,432.5820,8.216
52,2017-05-02,07:45:00,0,432.7750,8.224
53,2017-05-02,08:00:00,0,433.0700,8.204
54,2017-05-02,08:15:00,0,433.3100,8.187
55,2017-05-02,08:30:00,0,433.1890,8.174
56,2017-05-02,08:45:00,0,433.3700,8.201
57,2017-05-02,09:00:00,0,433.3530,8.196
58,2017-05-02,09:15:00,0,433.6620,8.178
59,2017-05-02,09:30:00,0,433.7660,8.164
60,2017-05-02,09:45:00,0,433.6710,8.186
61,2017-05-02,10:00:00,0,433.6840,8.167
62,2017-05-02,10:15:00,0,433.7210,8.145
63,2017-05-02,10:30:00,0,433.8490,8.194
64,2017-05-02,10:45:00,0,433.9090,8.184
65,2017-05-02,11:00:00,0,434.2520,8.182
66,2017-05-02,11:15:00,0,434.1050,8.183
67,2017-05-02,11:30:00,0,434.4410,8.207
68,2017-05-02,11:45:00,0,434.5260,8.204
69,2017-05-02,12:00:00,0,434.8200,8.219
70,2017-05-02,12:15:00,0,434.8700,8.218
71,2017-05-02,12:30:00,0,434.4640,8.200
72,2017-05-02,12:45:00,0,434.6640,8.205
73,2017-05-02,13:00:00,0,434.3740,8.206
74,2017-05-02,13:15:00,0,434.4720,8.188
75,2017-05-02,13:30:00,0,434.6430,8.218
76,2017-05-02,13:45:00,0,434.6450,8.165
77,2017-05-02,14:00:00,0,434.4320,8.217
78,2017-05-02,14:15:00,0,434.5150,8.194
79,2017-05-02,14:30:00,0,434.3200,8.187
